槍彈者大師	Bullet Marker Master	불릿 마커 마스터
取得射程[火槍手轉職]	Procuring Distance [Musketeer Advancement]	사거리 확보[머스킷티어 전직]
似乎不太適合我	It doesn't seem to fit for me	나와는 잘 안맞는 것 같다고 한다
疾病探測器[瘟疫醫生轉職]	Disease Detector [Plague Doctor Advancement]	질병 탐지기[플레이그닥터 전직]
我很想學	I want to learn for sure	꼭 배우고 싶다고 한다
以數字組成的世界[卡巴拉轉職]	A World Composed of Numbers [Kabbalist Advancement]	숫자로 이루어진 세상[카발리스트 전직]
我想體驗	I want to experience it	경험해보고 싶다고 한다
我拒絕複雜的任務	I decline complicated things	복잡한 건 거절한다고 한다
攻擊首重時機[擊劍手轉職]	Timing Attacks [Fencer Advancement]	공격은 타이밍[펜서 전직]
別被察覺[忍者轉職]	In Secret [Shinobi Advancement]	눈치채지 못하게[시노비 전직]
我考慮一下	I will think about it for a moment	잠시 생각 좀 해보곘다고 한다
阿勒篾森林的研究	The Research at Alemeth Forest	알레멧 숲의 연구
偷偷請求協助(1)	Request for the Secret Rescue (1)	은밀한 구조 요청(1)
偷偷請求協助(2)	Request for the Secret Rescue (2)	은밀한 구조 요청(2)
說這點事叫你自己去處理	Go alone	그 정도는 직접 가라고 한다
研究背後的真相(1)	True Nature of the Research (1)	연구의 실체(1)
先假裝幫忙	Act as if you are helping	일단 돕는 척 한다
說討厭做危險的事	I don't want to engage in a dangerous task	위험한 일은 싫다고 한다
研究背後的真相(2)	True Nature of the Research (2)	연구의 실체(2)
詢問是什麼東西	Ask what it is	어떤 것인지 묻는다
說去尋找其他方法吧	We should look for another way	다른 방법을 찾아 보자고 한다
研究背後的真相(3)	True Nature of the Research (3)	연구의 실체(3)
研究背後的真相(4)	True Nature of the Research (4)	연구의 실체(4)
妨礙研究(1)	Sabotaging the Research (1)	연구 방해공작(1)
說去確認研究日誌吧	Let's check the research paper	연구 일지를 확인해 보자고 한다
說無可疑之處	There's nothing suspicious	의심스러운 점은 없다고 한다
正在訴說有關日誌的內容	Telling him what's written on the paper	일지의 내용에 대해 말하는 중
妨礙研究(2)	Sabotaging the Research (2)	연구 방해공작(2)
說好像被發現了，趕快停止吧	Let's quit since he's going to find out about it	눈치챌 것 같으니 그만두자고 한다
妨礙研究(3)	Sabotaging the Research (3)	연구 방해공작(3)
說會帶走	I'll take it	가져가겠다고 한다
說好像被發現了，趕快停止吧	Let's quit since we may get discovered	들킬 것 같으니 그만두자고 한다
薩勒瑪的研究真相(1)	True Nature of Sarma's Research (1)	사르마의 연구 실체(1)
詢問為什麼不親自做	Why can't you do it yourself	어째서 직접 하지않느냐고 묻는다
薩勒瑪的研究真相(2)	True Nature of Sarma's Research (2)	사르마의 연구 실체(2)
說似乎無此必要	That is not needed	그럴 필요까진 없을 것 같다고 한다
正在噴灑溶液	Sprinkling the liquid	용액 뿌리는 중
居民離去前留下的紙條	Departured Villager's Memo	떠난 주민의 쪽지
正在閱讀紙條	Reading the memo	쪽지 읽는 중
居民離去前留下的罈子	Departured Villager's Pot	떠난 주민의 항아리
正在查看罈子	Looking at the pot	항아리 살펴보는 중
啟示守護者札那斯(1)	Revelation Guardian Zanas(1)	계시 수호자 자나스(1)
啟示守護者札那斯(2)	Revelation Guardian Zanas(2)	계시 수호자 자나스(2)
接受保護魔法後再過來	Say that you will go and receive the Protection Magic	보호 마법을 받고 오겠다고 한다
無法相信	Say that you do not believe him	믿을 수 없다고 한다
啟示守護者札那斯(3)	Revelation Guardian Zanas(3)	계시 수호자 자나스(3)
要去取得微弱綠色魔石	Say that you will get the Teal Magic Stone	은은한 녹색 마석을 찾아오겠다고 한다
不需要	Say that you do not need such things	그런건 필요 없다고 한다
沾染血的魔石	Bloody Magic Stone	피로 물들인 마석
誓言要收集魔族的血	Say that you will gather Demon Blood	마족의 피를 모아오겠다고 한다
無法做那種令人厭惡的行為	Say that you cannot do such things	그런 기분 나쁜 일은 못한다고 한다
對抗強敵的方法(1)	How to beat stronger foes(1)	강적을 상대하는 법(1)
要取得魔力抑制卷軸	Say that you will retrieve the Magic Control Scrolls	마력 억제 주문서를 구해오겠다고 한다
沒有那樣東西也足夠了	Say that you do not need such things	그런 거 없어도 충분하다고 한다
對抗強敵的方法(2)	How to beat stronger foes(2)	강적을 상대하는 법(2)
要注入魔力	Say that you will inscribe their magi	마력을 새겨오겠다고 한다
馬上去找曼達拉	Argue that you can go to Mandara now	바로 만다라에게 가자고 한다
對抗強敵的方法(3)	How to beat stronger foes(3)	강적을 상대하는 법(3)
消滅曼達拉後再過來	Say that you will defeat Mandara	만다라를 처치하고 오겠다고 한다
請你再稍等看看	Say that you need some more time	조금 더 기다리라고 한다
領域支配魔法	Dominance Magic	영역 지배 마법
前往器材室的秘密裝置	Go to the Subsidiary Material Storage Room's Secret Device	자재실의 비밀 장치로 간다
沒有那樣東西也很夠	Say that you do not need such things	그런 거 없어도 된다고 한다
接見所的結界	Visiting Room Barrier	접견소의 결계
問問看是不是很危險的事情	Ask if it isn't dangerous	위험한 일이 아니냐고 묻는다
我不知道你在說甚麼	Say that you don't know what he's talking about	무슨 소리인지 모르겠다고 한다
札那斯的另一個靈魂(1)	Another Soul of Zanas(1)	또 다른 자나스의 영혼(1)
這個主意不錯	Say that you think it's a good idea	좋은 생각이라고 한다
札那斯的另一個靈魂(2)	Another Soul of Zanas(2)	또 다른 자나스의 영혼(2)
真是不像話	Say that it is nonsense	역시 말도 안 된다고 한다
緊急情況預備用	Preparing for the worst	만약을 대비한
秀出微弱綠色魔石	Show the Teal Magic Stone	은은한 녹색 마석을 보여준다
追究為何讓事情複雜化	Argue that this is merely complicating things	왜 일을 복잡하게 만드냐고 따진다
保管室的燈(1)	Storage Lamp(1)	보관실의 램프(1)
先去點亮燈再過來	Say that you will light the Lamp	램프를 켜고 오겠다고 한다
看了說明書也不懂	Say that you have no idea what the instructions mean	설명서를 봐도 모르겠다고 한다
保管室的燈(2)	Storage Lamp(2)	보관실의 램프(2)
觀察藍燈中	Examining Blue Lamp	푸른 램프 살펴보는 중
點亮藍燈中	Lighting Blue Lamp	푸른 램프 켜는 중
保管室的燈(3)	Storage Lamp(3)	보관실의 램프(3)
觀察紅燈中	Examining Red Lamp	붉은 램프 살펴보는 중
點亮紅燈中	Lighting Red Lamp	붉은 램프 켜는 중
保管室的燈(4)	Storage Lamp(4)	보관실의 램프(4)
點亮最後一盞燈之後再來	Say that you will light the last Lamp	마지막 램프를 켜고 오겠다고 한다
看起來太複雜了	Say that it is too complicated	너무 복잡해 보인다고 한다
點亮黃燈中	Lighting Yellow Lamp	노란 램프 켜는 중
保管室的燈(5)	Storage Lamp(5)	보관실의 램프(5)
要取得王的紅寶石	Say that you will retrieve the King's Red Jewel	왕의 붉은 보석을 가져오겠다고 한다
先喘口氣再出發吧	Ask for a moment before continuing	잠시 숨 좀 돌리고 가자고 한다
保管室的結界(1)	Storage Room Barrier(1)	보관실의 결계(1)
沒甚麼大問題	Say that you don't think there will be much of a problem	별문제 없을 것이라고 한다
保管室的結界(2)	Storage Room Barrier(2)	보관실의 결계(2)
我是誰(1)	Who am I(1)	내가 누구게(1)
覺得這主意不錯	Say that you think it is a good idea	괜찮은 생각이라고 한다
不可能會被騙	Say that they will never fall for that	속을 리 없다고 한다
我是誰(2)	Who am I(2)	내가 누구게(2)
裝置啟動中	Activating Device	장치 가동 중
魔族的身分證	Demon identification	마족의 신분증
要去取得克萊獰怪的印章	Say that you will obtain Grinende's Seal	그라이넨더의 인장을 구해오겠다고 한다
用力推就可以了	Say that you will force them to hand it over	힘으로 밀어붙이면 된다고 한다
移動至監獄(1)	Prison Movement(1)	감옥이동(1)
給他點顏色瞧瞧	Say that you want to deal a blow to the Demons	제대로 한 방 먹여주자고 한다
魔族才不會那麼笨	Say that the Demons can't be that stupid	마족이 그렇게 멍청하지 않을 것이라고 한다
移動至監獄(2)	Prison Movement(2)	감옥이동(2)
要去長期服刑收監所	Say that you will go to the Long Sentence Prison Cell	장기 복역 수감소로 가겠다고 한다
還有東西要準備	Say that you have more to prepare	아직 준비할 것이 있다고 한다
完美的謀殺	The perfect massacre	완벽한 학살
回到玄關門那裏去了	Through the front door	현관문으로 들어왔다
克萊獰怪的印章使用中	Using Grinende' Seal	그라이넨더의 인장 사용 중
掃蕩獨房區域的殘餘勢力	Deal with the stragglers in the Solitary Cells	독방구역 잔당소탕
做點簡單的溝通吧	Say that the you are starting to deal with the stragglers	잔당소탕을 시작하자고 한다
好累喔暫時休息一下吧	State that you are tired and need to rest	지쳤으니 잠시 쉬자고 한다
6個水晶	Six Crystals	여섯 개의 수정
現在馬上出發	Say that you should leave at once	지금 바로 출발하겠다고 한다
現在先休息一下	Say that you need to rest now	지금 바로 쉬겠다고 한다
獨房區域的結界	Solitary Cell Barrier	독방구역의 결계
回去的路上(1)	The Road Back(1)	돌아가는 길(1)
與札那斯的靈魂交談中	Talking to Zanas' Spirit	자나스의 영혼과 이야기하는 중
回去的路上(2)	The Road Back(2)	돌아가는 길(2)
詢問那特別的字句是甚麼意思	Ask what the special Crest is	특별한 문장이 무엇인지 묻는다
等待直到魔族魔法解除	Say that you should wait until the Demon Magic is undone	마족의 마법이 풀릴 때까지 기다리자고 한다
被束縛的札那斯的靈魂(1)	The Restrained Spirit of Zanas(1)	구속된 자나스의 영혼(1)
被束縛的札那斯的靈魂(2)	The Restrained Spirit of Zanas(2)	구속된 자나스의 영혼(2)
束縛魔法陣解除中	Disarming the Restrainment Magic Circle	속박 마법진 해제 중
收集碎片(1)	Shard Collection(1)	조각 모음(1)
我贊成	Say that you think it is a good idea	그게 좋겠다고 한다
馬上到內比爾拉斯那裏去	Say that you think it is better to head directly to Nebulas	당장 네뷸라스에게 가자고 한다
收集碎片(2)	Shard Collection(2)	조각 모음(2)
先去強化碎片再過來	Say that you will purify the Shards	조각을 정화하고 오겠다고 한다
收集碎片(3)	Shard Collection(3)	조각 모음(3)
請使用秘密裝置的前、後、兩側的碎片。	Use the Shards on all four sides of the Device	비밀 장치의 앞, 뒤, 양옆에 각각의 조각을 사용하세요
作業場爆炸	Destruction of the Workshop	작업장 폭발
這裡有說明書	Say that there are instructions	설명서가 있다고 한다
一起很煩惱	Ponder on how to proceed together	함께 고민에 빠진다
作業場的結界(1)	Workshop Barrier(1)	작업장의 결계(1)
我都會處理別擔心喔	Say that you will deal with it all	모두 처리할 테니 걱정 말라고 한다
先給我點時間喘口氣吧	Ask for some time to recover before carrying on	잠깐 숨 좀 돌릴 시간을 달라고 한다
作業場的結界(2)	Workshop Barrier(2)	작업장의 결계(2)
預料之外的狀況(2)	Unexpected Situation(2)	예상치 못한 상황(2)
要修理監視用探測器	Say that you will attempt to repair the Observational Detector	감시용 탐색기를 고쳐보겠다고 한다
這東西已經沒用了	Say that it is already useless	이미 쓸 수 없는 물건일 것이라고 한다
維修中	Repairing	수리 중
札那斯的決心(1)	Zanas' Resolve(1)	자나스의 결심(1)
正在聊有關收監室的結界	Talking about the Cell's Barrier	수감실의 결계에 대해 이야기하는 중
詢問是不是一定要那樣做	Ask if you must do so	꼭 그래야만 하는지 묻는다
會再考慮看看	Say that you should think about it some more	조금 더 생각을 해보자고 한다
札那斯的決心(2)	Zanas' Resolve(2)	자나스의 결심(2)
會再考慮看看	Say that he should rethink his options	다시 생각해보라고 한다
元氣結晶使用中	Using Energy Crystal	원기의 결정 사용 중
現在最要緊的事情(1)	What Must Be Done (1)	지금 해야 할 일은(1)
一定要盡力完成	Say that you will not fail	반드시 해내겠다고 한다
這是不可能的	Say that it is impossible	불가능하다고 한다
現在最要緊的事情(2)	What Must Be Done (2)	지금 해야 할 일은(2)
魔法裝置啟動後，審問室生成了幻影。	Illusions have been summoned in the Interrogation Room after the Magic Device was activated	마법 장치가 가동되어 심문실에 환영이 생성되었습니다
現在最要緊的事情(3)	What Must Be Done (3)	지금 해야 할 일은(3)
開啟裝置中	Activating the Device	장치를 작동하는 중
開啟裝置中	Opening the Device	장치를 여는 중
現在最要緊的事情(4)	What Must Be Done (4)	지금 해야 할 일은(4)
請對怪物使用那個老舊的重力磁場石吧！	Use the Worn Gravity Stone on monsters	몬스터에게 낡은 그라비티 스톤을 사용하세요
現在最要緊的事情(5)	What Must Be Done (5)	지금 해야 할 일은(5)
使用老舊的重力磁場石來去除魔族的召喚水晶吧。	Use the Worn Gravity Stone to remove the Demon Summoning Crystal	낡은 그라비티 스톤을 사용해서 마족 소환수정을 제거하세요
他的名字是札那斯	His Name is Zanas	그의 이름은 자나스
微弱綠色魔石使用中	Using the Teal Magic Stone	은은한 녹색 마석 사용 중
走私的囚犯	Prisoner Contraband	죄수의 밀반입
確認牆壁上的塗鴉中	Checking Writing on the Walls	벽의 낙서 확인 중
接見所的秘密裝置	Visiting Room's Secret Device	접견소의 비밀 장치
秘密裝置觀察中	Examining the Secret Device	비밀 장치 살펴보는 중
保管室的秘密裝置	Supply Room's Secret Device	보관실의 비밀 장치
成功開啟秘密裝置了。	You have succeeded in opening the Secret Device	비밀 장치를 여는데 성공했습니다
囚犯的收押品	Confiscated Prisoner Belongings	죄수의 압수품
讀取牆壁上寫著的字句	Reading the Writing on the Walls	벽에 쓰인 글 읽는 중
閱讀信件中	Reading the Letter	편지를 읽어보는 중
作業場的秘密裝置	Workshop's Secret Device	작업장의 비밀 장치
審問室的秘密裝置	Interrogation Room's Secret Device	심문실의 비밀 장치
不會忘記	Will Not Forget	잊지 않을게
觀察邪念體中	Examining Echo	사념체를 살피는 중
傳達能量至邪念中	Passing energy to the Echo	사념에 에너지 전달 중
巴勒哈森林的解毒劑(2)	Barha Forest's Antidote(2)	바르하 숲의 해독제(2)
要取得蘑菇精的滑溜汁液	Say that you will gather Griba Juice	그리바의 미끈한 즙을 구해오겠다고 한다
剩下的請他自己想辦法	Say that he is on his own now	나머지는 알아서 하라고 한다
巴勒哈森林的解毒劑(3)	Barha Forest's Antidote(3)	바르하 숲의 해독제(3)
要製作解毒劑後再過來	Say that you will craft the Antidote	해독제를 만들어오겠다고 한다
懷疑他根本就是裝病	Ask if he isn't faking it	사실 꾀병이 아니냐고 의심한다
解毒劑製作中	Crafting the Antidote	해독제 제작 중
巴勒哈森林的解毒劑(4)	Barha Forest's Antidote(4)	바르하 숲의 해독제(4)
解毒劑使用中	Using the Antidote	해독제 사용 중
經過樹木藤蔓(1)	Pass the Tree Vines(1)	나무 덩굴을 지나서(1)
詢問中和劑製作方法	Ask how you can craft the Neutralizer	중화제를 만드는 방법을 묻는다
盲目的等待	Simply wait here	무작정 기다린다
經過樹木藤蔓(2)	Pass the Tree Vines(2)	나무 덩굴을 지나서(2)
正在尋找中和劑的催化劑	Looking for the Neutralizer reagent	중화제의 촉매 찾는 중
過度成長溶液的中和劑製作中	Crafting Overgrowth Potion Neutralizer	과성장 용액의 중화제 제작 중
經過樹木藤蔓(3)	Pass the Tree Vines(3)	나무 덩굴을 지나서(3)
要強化解毒劑	Say that you will enhance the Antidote	해독제를 강화하겠다고 한다
靠毅力繼續撐下去	Say that you can endure	근성으로 버틸 수 있다고 한다
中和劑潑灑中	Spraying Neutralizer	중화제 뿌리는 중
更強的解毒劑(1)	A Stronger Antidote(1)	더 강력한 해독제(1)
更強的解毒劑(2)	A Stronger Antidote(2)	더 강력한 해독제(2)
更強的解毒劑(3)	A Stronger Antidote(3)	더 강력한 해독제(3)
正在委託解毒劑製作	Requesting the crafting of the Antidote	해독제 제조를 부탁하는 중
