無_helmet	Empty_helmet	없음_helmet
摩普拉長劍	Moplah	모플라
上級短劍	Superior Gladius	슈페리어 글라디우스
偃月刀	Falchion	폴쳔
上級偃月刀	Superior Falchion	슈페리어 폴쳔
卡斯卡拉劍	Kaskara	카스카라
上級五指劍	Superior Cinquedea	슈페리어 친퀘데아
上級軍刀	Superior Sabre	슈페리어 사브르
上級彎刀	Superior Shamshir	슈페리어 샴시르
鄧凱爾軍刀	Dunkel Sabre	던켈 사브르
鄧凱爾刺刀	Dunkel Snickersnee	던켈 스니커스니
鄧凱爾偃月刀	Dunkel Falchion	던켈 폴쳔
鄧凱爾卡斯卡拉劍	Dunkel Kaskara	던켈 카스카라
鄧凱爾五指劍	Dunkel Cinquedea	던켈 친퀘데아
鄧凱爾彎刀	Dunkel Shamshir	던켈 샴시르
小柄	Kozuka	코주카
闊刃彎刀	Badelaire	바들레르
賽伊夫劍	Saif	사이프
克里希馬德禮劍	Colichemarde	콜리슈마르드
菲蘭奇劍	Firangi	피란기
射擊卡特短劍	Thorn Cutter	쏜 커터
黛米溫劍	Demion Sword	데미온소드
約魯基斯闊刃彎刀	Yorgis Badelaire	요르기스 바들레르
柯培倫之劍	Koperon Sword	코페론 소드
上級柯培倫之劍	Superior Koperon Sword	슈페리어 코페론 소드
沙耶	Saja	사야
標準劍	Standard Sword	기준검
(舊)複製品米坎堤之劍	(Old) Replica Migantis Sword	(구)레플리카 미간티스 소드
(舊)複製品芙迪邁絲之劍	(Old) Replica Pevordimas Sword	(구)레플리카 페버디마스 소드
潘圖劍	Panto Sword	판토 소드
佛羅納斯軍刀	Flonas Sabre	플로나스 사브르
金光偃月刀	Golden Falchion	골든 폴쳔
鋼鐵偃月刀	Steel Falchion	스틸 폴쳔
銀光偃月刀	Silver Falchion	실버 폴쳔
曼德拉菁英劍	Mandrapick	만드라픽
法師刀鋒劍	Wizard Blade	위저드 블레이드
凱米尼斯劍	Cheminis Sword	케미니스 소드
奧茲塔斯劍	Austas	아우스타스
米斯卡斯軍刀	Miskas Sabre	미스카스 사브르
印帕勒尼劍	Imperni Sword	임페르니 소드
葛瑞達斯劍	Gritas	그리타스
騎兵劍	Spatha	스파타
劍刃的長度變長，彌補了短劍本身的缺點。 	The increased length of geomnal complements the deficiencies of the gladius sword	검날의 길이를 늘려 글라디우스의 부족한 점을 보완한 검입니다. 
阿拉斯的偃月刀	Aras' Falchion	아라스의 폴쳔
史密斯劍	Smith Sword	스미스 소드
葛拉比斯劍	Klavis Sword	클라비스 소드
迪奧劍	Dio Sword	디오 소드
特雷希劍	Thresh Sword	트레시 소드
塞茲塔斯劍	Sestas Sword	세스타스 소드
德拉特劍	Dratt Sword	드라트 소드
亞斯頓劍	Aston Sword	아스턴 소드
泰內劍	Tenet Sword	테넷 소드
帕特里斯劍	Patrice Sword	파트리스 소드
魯卡斯劍	Lukas Sword	루카스 소드
皮里斯劍	Philis Sword	필리스 소드
艾沙奇烏劍	Escanciu Sword	에산치우 소드
克雷格劍	Krag Sword	크래그 소드
朝聖者劍	Pilgrim Sword	필그림 소드
伊斯托拉劍	Istora Sword	이스토라 소드
亞蒂賽伊夫劍	Artie Saif	아티 사이프
比尼闊刃彎刀	Vienie Badelaire	비니 바들레르
魔氣克里希馬德禮劍	Magi Colichemarde	마기 콜리슈마르드
露瑪斯劍	Lumas Sword	루마스 소드
亞蒂菲蘭奇劍	Artie Farangi	아티 피란기
比尼射擊卡特短劍	Vienie Thorn Cutter	비니 쏜 커터
杜羅黛米溫劍	Duro Demion Sword	듀로 데미온소드
比尼柯培倫之劍	Vienie Koperon Sword	비니 코페론 소드
優黛雷單刃刀	Futere Scimitar	퓨테레 시미터
魔氣彎刀	Magi Shamshir	마기 샴시르
支援用闊刃彎刀	Supportive Badelaire	지원용 바들레르
泰芙林劍	Tevhrin Sword	테브린 소드
(褪色的)米坎堤之劍	(Faded) Migantis Sword	(바랜)미간티스 소드
(褪色的)芙迪邁絲之劍	(Faded) Pevordimas Sword	(바랜)페버디마스 소드
米坎堤之劍	Migantis Sword	미간티스 소드
芙迪邁絲之劍	Pevordimas Sword	페버디마스 소드
羽麒麟單手劍	Fyringy	피린기
夏菲賽特	Harvester	하베스터
塞柯帝斯之劍	Sketis Sword	스케티스 소드
帕澤里達斯之劍	Pajoritas Sword	파저리타스 소드
拉帕伊之劍	Raffye Sword	라파이 소드
崔妮蒂劍	Trinity Sword	트리니티 소드
杜蘭朵劍	Durandal	듀란달
貝爾尼烏波劍	Velniup	벨니웁
福爾蒂斯	Fortis	포르티스
烈焰	Flame	플레임
死亡魔女卡特短劍	Deathweaver Cutter	데스위버 커터
死靈查普利劍	Chapparition Sword	채퍼리션 소드
鯊魚刀	Shark Cutter	샤크 커터
賽伊摩斯劍	Seimos Sword	세이모스 소드
瑪加斯劍	Magas Sword	마가스 소드
上帝之劍	Holy Blade	홀리 블레이드
亞伊拉之劍	Ira Blade	아이라 블레이드
班夏拉劍	Pensara Sword	펜사라 소드
皮雷納劍	Pierene Sword	피레네 소드
(褪色的)羽麒麟單手劍	(Faded) Fyringy	(바랜)피린기
(褪色的)夏菲賽特	(Faded) Harvester	(바랜)하베스터
(褪色的)塞柯帝斯之劍	(Faded) Sketis Sword	(바랜)스케티스 소드
(褪色的)帕澤里達斯之劍	(Faded) Pajoritas Sword	(바랜)파저리타스 소드
(褪色的)弗麗聶米坎堤之劍	(Faded) Purine Migantis Sword	(바랜)퓨리네 미간티스 소드
(褪色的)弗麗聶芙迪邁絲之劍	(Faded) Purine Pevordimas Sword	(바랜)퓨리네 페버디마스 소드
貝爾塔斯米坎堤之劍	Berthas Migantis Sword	베르타스 미간티스 소드
貝爾塔斯芙迪邁絲之劍	Berthas Pevordimas Sword	베르타스 페버디마스 소드
貝爾塔斯羽麒麟單手劍	Berthas Fyringy	베르타스 피린기
貝爾塔斯夏菲賽特	Berthas Harvester	베르타스 하베스터
貝爾塔斯塞柯帝斯之劍	Berthas Sketis Sword	베르타스 스케티스 소드
貝爾塔斯帕澤里達斯之劍	Berthas Pajoritas Sword	베르타스 파저리타스 소드
貝爾塔斯拉帕伊之劍	Berthas Raffye Sword	베르타스 라파이 소드
邊特拉斯劍	Bendras Sword	벤드라스 소드
伊利智亞神劍	Illizia	일리지아
卡拉圖尼斯劍	Galatunis Sword	갈라투니스 소드
魯馬劍	Ruma Sword	루마 소드
地下墓穴之劍	Catacombs Blade	카타콤 블레이드
羅洛班索劍	Lolopanther Sword	롤로팬서 소드
索爾米奇劍	Solmiki Sword	솔미키 소드
艾布都查單手劍	Abdochar	아브도챠
普利摩斯米坎堤之劍	Primus Migantis Sword	프리머스 미간티스 소드
普利摩斯芙迪邁絲之劍	Primus Pevordimas Sword	프리머스 페버디마스 소드
普利摩斯羽麒麟單手劍	Primus Fyringy	프리머스 피린기
普利摩斯夏菲賽特	Primus Harvester	프리머스 하베스터
普利摩斯塞柯帝斯之劍	Primus Sketis Sword	프리머스 스케티스 소드
普利摩斯帕澤里達斯之劍	Primus Pajoritas Sword	프리머스 파저리타스 소드
普利摩斯拉帕伊之劍	Primus Raffye Sword	프리머스 라파이 소드
摩西尼奧斯劍	Masinios Sword	마시니오스 소드
預計刪除	Scheduled for deletion	삭제예정
雙手劍[斬擊]	Two-handed Sword [Slash]	양손검[베기]
鄧凱爾混種劍	Dunkel Bastard Sword	던켈 바스타드 소드
水波紋劍	Flamberge	플랑베르쥬
野太刀	Nodachi	노다치
雙手斬劍	Claymore	클레이모어
巨劍	Colossus	콜로서스
黃金劍	Caliburn	칼리번
波斯劍	Quaddara	콰다라
輕巧雙手斬劍	Light Claymore	라이트 클레이모어
老舊巨劍	Old Colossus	오래된 콜로서스
霸刀	Ilwoon	일룬
練習用混種劍	Practice Bastard Sword	연습용 바스타드 소드
混種劍	Bastard Sword	바스타드 소드
上級水波紋劍	Superior Flamberge	슈페리어 플랑베르쥬
上級野太刀	Superior Nodachi	슈페리어 노다치
上級雙手斬劍	Superior Claymore	슈페리어 클레이모어
鄧凱爾野太刀	Dunkel Nodachi	던켈 노다치
鄧凱爾波斯劍	Dunkel Quaddara	던켈 콰다라
鄧凱爾水波紋劍	Dunkel Flamberge	던켈 플랑베르쥬
鄧凱爾雙手斬劍	Dunkel Claymore	던켈 클레이모어
名家劍	Greatsword	그레이트 소드
德式鬥劍	Katzbalger	카츠발게르
禮服佩劍	Dress Sword	드레스 소드
日爾曼雙手大劍	Zweihander	쯔바이핸더
死刑之劍	Executioner's Sword	엑스큐셔너스 소드
盧邁雙手劍	Lumai Two-handed Sword	루마이 투 핸드 소드
奧弗匕首	Overknife	오버나이프
約魯基斯德式鬥劍	Yorgis Katzbalger	요르기스 카츠발게르
雙刀刃	Twin Blade	트윈 블레이드
上級雙刀刃	Superior Twin Blade	슈페리어 트윈 블레이드
(褪色的)複製品米坎堤雙手劍	(Faded) Replica Migantis Two-handed Sword	(바랜)레플리카 미간티스 투 핸드 소드
(褪色的)複製品芙迪邁絲雙手劍	(Faded) Replica Pevordimas Two-handed Sword	(바랜)레플리카 페버디마스 투 핸드 소드
標準雙手劍	Standard Two-handed Sword	기준양손검
潛能之劍	Potentia	포텐티아
坦索斯水波紋劍	Temsus Flamberge	템서스 플랑베르쥬
迪德爾巨劍	Didel Colossus	디델 콜로서스
寇雷圖勒劍	Collecture	콜렉투르
霍克瑪名家劍	Hogma Greatsword	호그마 그레이트 소드
凱米尼斯混種劍	Cheminis Bastard Sword	케미니스 바스타드 소드
普利瑪魯傑劍	Primaluce	프리마루체
高加索短劍	Kindzal	킨드잘
印帕勒尼雙手劍	Imperni Two-handed Sword	임페르니 투 핸드 소드
暮色雙手劍	Prieblanda	프리에블란다
拉比斯德式鬥劍	Lapis Katzbalger	라피스 카츠발게르
史密斯雙手劍	Smith Two-handed Sword	스미스 투 핸드 소드
葛拉比斯雙手劍	Klavis Two-handed Sword	클라비스 투 핸드 소드
迪奧雙手劍	Dio Two-handed Sword	디오 투 핸드 소드
特雷希雙手劍	Thresh Two-handed Sword	트레시 투 핸드 소드
塞茲塔斯雙手劍	Sestas Two-handed Sword	세스타스 투 핸드 소드
德拉特雙手劍	Dratt Two-handed Sword	드라트 투 핸드 소드
亞斯頓雙手劍	Aston Two-handed Sword	아스턴 투 핸드 소드
泰內雙手劍	Tenet Two-handed Sword	테넷 투 핸드 소드
帕特里斯雙手劍	Patrice Two-handed Sword	파트리스 투 핸드 소드
魯卡斯雙手劍	Lukas Two-handed Sword	루카스 투 핸드 소드
皮里斯雙手劍	Philips Two-handed Sword	필리스 투 핸드 소드
艾沙奇烏雙手劍	Escanciu Two-handed Sword	에산치우 투 핸드 소드
克雷格雙手劍	Krag Two-handed Sword	크래그 투 핸드 소드
朝聖者雙手劍	Pilgrim Two-handed Sword	필그림 투 핸드 소드
伊斯托拉雙手劍	Istora Two-handed Sword	이스토라 투 핸드 소드
賈斯德式鬥劍	Jaas Katzbalger	자스 카츠발게르
大地禮服佩劍	Earth Dress Sword	어스 드레스 소드
斯爾拉凱日爾曼雙手大劍	Slaake Zweihander	슬라케 쯔바이핸더
露瑪斯雙手劍	Lumas Two-handed Sword	루마스 투 핸드 소드
魔氣死刑之劍	Magi Executioner's Sword	마기 엑스큐셔너스 소드
亞蒂名家劍	Artie Greatsword	아티 그레이트 소드
比尼奧弗匕首	Vienie Overknife	비니 오버나이프
杜里斯雙劍	Duris Twin Blade	듀리스 트윈 블레이드
艾奇盧邁雙手劍	Eki Lumai Two-handed Sword	에키 루마이 투 핸드 소드
比尼雙刀刃	Vienie Twin Blade	비니 트윈 블레이드
支援用德式鬥劍	Supportive Katzbalger	지원용 카츠발게르
泰芙林雙手劍	Tevhrin Two-handed Sword	테브린 투 핸드 소드
(褪色的)米坎堤雙手劍	(Faded) Migantis Two-handed Sword	(바랜)미간티스 투 핸드 소드
(褪色的)芙迪邁絲雙手劍	(Faded) Pevordimas Two-handed Sword	(바랜)페버디마스 투 핸드 소드
菲露尼艾	Paulownia	파우로니아
雙手劍[打擊]	Two-handed Sword [Strike]	양손검[타격]
克里斯塔利斯	Crystaras	크리스타라스
塞柯帝斯雙手劍	Sketis Two-Handed Sword	스케티스 투 핸드 소드
帕澤里達斯雙手劍	Pajoritas Two-Handed Sword	파저리타스 투 핸드 소드
米坎堤雙手劍	Migantis Two-handed Sword	미간티스 투 핸드 소드
芙迪邁絲雙手劍	Pevordimas Two-handed Sword	페버디마스 투 핸드 소드
拉帕伊雙手劍	Raffye Two-handed Sword	라파이 투 핸드 소드
弗拉米尼劍	Flamini	플라미니
法師殺戮劍	Wizard Slayer	위저드 슬레이어
魯西杜斯劍	Luciduce	루시두스
天堂地獄劍	Hell and Heaven	헬 엔드 헤븐
死亡魔女利牙	Deathweaver Tooth	데스위버 투스
死靈查普利雙手劍	Chapparition Two-handed Sword	채퍼리션 투 핸드 소드
鋸子	Saw	톱
咒語破壞者	Spell Breaker	스펠 브레이커
賽伊摩斯雙手劍	Seimos Two-handed Sword	세이모스 투 핸드 소드
堤爾利雙手劍	Tilly Two-handed Sword	틸리 투 핸드 소드
卡斯堤雙手劍	Khasti Two-handed Sword	카스티 투 핸드 소드
班夏拉雙手劍	Pensara Two-handed Sword	펜사라 투 핸드 소드
蓋伊實萊修	Gale Slasher	게일 슬래셔
(褪色的)菲露尼艾	(Faded) Paulownia	(바랜)파우로니아
(褪色的)克里斯塔利斯	(Faded) Crystaras	(바랜)크리스타라스
(褪色的)塞柯帝斯雙手劍	(Faded) Sketis Two-Handed Sword	(바랜)스케티스 투 핸드 소드
(褪色的)帕澤里達斯雙手劍	(Faded) Pajoritas Two-Handed Sword	(바랜)파저리타스 투 핸드 소드
(褪色的)弗麗聶米坎堤雙手劍	(Faded) Purine Migantis Two-handed Sword	(바랜)퓨리네 미간티스 투 핸드 소드
(褪色的)弗麗聶芙迪邁絲雙手劍	(Faded) Purine Pevordimas Two-handed Sword	(바랜)퓨리네 페버디마스 투 핸드 소드
貝爾塔斯菲露尼艾	Berthas Paulownia	베르타스 파우로니아
貝爾塔斯克里斯塔利斯	Berthas Crystaras	베르타스 크리스타라스
貝爾塔斯塞柯帝斯雙手劍	Berthas Sketis Two-handed Sword	베르타스 스케티스 투 핸드 소드
貝爾塔斯帕澤里達斯雙手劍	Berthas Pajoritas Two-handed Sword	베르타스 파저리타스 투 핸드 소드
貝爾塔斯米坎堤雙手劍	Berthas Migantis Two-handed Sword	베르타스 미간티스 투 핸드 소드
貝爾塔斯芙迪邁絲雙手劍	Berthas Pevordimas Two-handed Sword	베르타스 페버디마스 투 핸드 소드
貝爾塔斯拉帕伊雙手劍	Berthas Raffye Two-handed Sword	베르타스 라파이 투 핸드 소드
努爾利斯劍	Nulis	눌리스
重力劍	Gravity	그래비티
卡拉圖尼斯雙手劍	Galatunis Two-handed Sword	갈라투니스 투 핸드 소드
瑪加雙手劍	Magi Two-handed Sword	마가 투 핸드 소드
羅洛班索雙手劍	Lolopanther Two-handed Sword	롤로팬서 투 핸드 소드
索爾米奇雙手劍	Solmiki Two-handed Sword	솔미키 투 핸드 소드
薩克米斯	Sarkmis	사크미스
普利摩斯菲露尼艾	Primus Paulownia	프리머스 파우로니아
普利摩斯克里斯塔利斯	Primus Crystaras	프리머스 크리스타라스
普利摩斯塞柯帝斯雙手劍	Primus Sketis Two-handed Sword	프리머스 스케티스 투 핸드 소드
普利摩斯帕澤里達斯雙手劍	Primus Pajoritas Two-handed Sword	프리머스 파저리타스 투 핸드 소드
普利摩斯米坎堤雙手劍	Primus Migantis Two-handed Sword	프리머스 미간티스 투 핸드 소드
普利摩斯芙迪邁絲雙手劍	Primus Pevordimas Two-handed Sword	프리머스 페버디마스 투 핸드 소드
普利摩斯拉帕伊雙手劍	Primus Raffye Two-handed Sword	프리머스 라파이 투 핸드 소드
摩西尼奧斯雙手劍	Masinios Two-handed Sword	마시니오스 투 핸드 소드
老舊短型權杖	Old Short Rod	오래된 숏 로드
權杖[打擊]	Rod [Strike]	로드[타격]
短型權杖	Short Rod	숏 로드
簡陋長型權杖	Crude Long Rod	크루드 롱 로드
簡陋凱恩手杖	Crude Cane Rover	크루드 케인 로버
手杖	Cane	케인
鉤杖	Crook	크룩
普特權杖	Pewter Rod	퓨터 로드
貓頭鷹權杖	Owl Rod	아울 로드
符文權杖	Rune Rod	룬 로드
水晶權杖	Crystal Rod	크리스탈 로드
老舊普特權杖	Old Puter Rod	오래된 퓨터 로드
老舊貓頭鷹權杖	Old Owl Rod	오래된 아울 로드
士兵的短型權杖	Soldier's Short Rod	병사의 숏 로드
村長的長型權杖	Chieftain's Long Rod	촌장의 롱 로드
老舊凱恩手杖	Old Cane Rover	오래된 케인 로버
戰鬥權杖	Battle Rod	배틀 로드
上級短型權杖	Superior Short Rod	슈페리어 숏 로드
長型權杖	Long Rod	롱 로드
上級長型權杖	Superior Long Rod	슈페리어 롱 로드
凱恩手杖	Cane Rover	케인 로버
上級手杖	Superior Cane	슈페리어 케인
上級鉤杖	Superior Crook	슈페리어 크룩
上級普特權杖	Superior Puter Rod	슈페리어 퓨터 로드
鄧凱爾鉤杖	Dunkel Crook	던켈 크룩
鄧凱爾水晶權杖	Dunkel Crystal Rod	던켈 크리스탈 로드
鄧凱爾長型權杖	Dunkel Long Rod	던켈 롱 로드
鄧凱爾凱恩手杖	Dunkel Cane Rover	던켈 케인 로버
鄧凱爾手杖	Dunkel Cane	던켈 케인
鄧凱爾普特權杖	Dunkel Pewter Rod	던켈 퓨터 로드
蛇形權杖	Snake Rod	스네이크 로드
奧爾特權杖	Alter Rod	알터 로드
納爾特權杖	Nald Rod	날드 로드
埃爾德權杖	Elder Rod	엘더 로드
流星權杖	Meteor Rod	미티어 로드
環形權杖	Ring Rod	링 로드
奴隸權杖	Servant Rod	서번트 로드
約魯基斯奧爾特權杖	Yorgis Alter Rod	요르기스 알터 로드
日冕權杖	Corona Rod	코로나 로드
上級日冕權杖	Superior Corona Rod	슈페리어 코로나 로드
(褪色的)複製品米坎堤權杖	(Faded) Replica Migantis Rod	(바랜)레플리카 미간티스 로드
(褪色的)複製品芙迪邁絲權杖	(Faded)  Replica Pevordimas Rod	(바랜)레플리카 페버디마스 로드
潘圖魔杖	Panto Rod	판토 로드
冰凍權杖	Ice Rod	아이스 로드
火焰權杖	Fire Rod	파이어 로드
瓦夏權杖	Vasia Rod	바시아 로드
魔法權杖	Magic Rod	매직 로드
克里那斯權杖	Grynas Rod	그리나스 로드
凱米尼斯權杖	Cheminis Rod	케미니스 로드
亞克權杖	Arch Rod	아크 로드
印帕勒尼權杖	Imperni Rod	임페르니 로드
士兵的長權杖	Soldier's Long Rod	병사의 롱 로드
史密斯權杖	Smith Rod	스미스 로드
葛拉比斯權杖	Klavis Rod	클라비스 로드
迪奧權杖	Dio Rod	디오 로드
特雷希權杖	Thresh Rod	트레시 로드
塞茲塔斯權杖	Sestas Rod	세스타스 로드
德拉特權杖	Dratt Rod	드라트 로드
亞斯頓權杖	Aston Rod	아스턴 로드
泰內權杖	Tenet Rod	테넷 로드
帕特里斯權杖	Patrice Rod	파트리스 로드
魯卡斯權杖	Lukas Rod	루카스 로드
皮里斯權杖	Philis Rod	필리스 로드
艾沙奇烏權杖	Escanciu Rod	에산치우 로드
克雷格權杖	Krag Rod	크래그 로드
朝聖者權杖	Pilgrim Rod	필그림 로드
伊斯托拉權杖	Istora Rod	이스토라 로드
魔氣奧爾特權杖	Magi Alter Rod	마기 알터 로드
亞蒂納爾特權杖	Artie Nald Rod	아티 날드 로드
希佩爾埃爾德權杖	Schipell Meteor Rod	시펠 엘더 로드
露瑪斯權杖	Lumas Rod	루마스 로드
斯爾拉凱流星權杖	Slaake Meteor Rod	슬라케 미티어 로드
狩獵戒指權杖	Hunting Ring Rod	헌팅 링 로드
比特日冕權杖	Vitt Corona Rod	비트 코로나 로드
杜里斯戰鬥權杖	Duris Battle Rod	듀리스 배틀 로드
亞蒂蛇形權杖	Artie Snake Rod	아티 스네이크 로드
支援用奧爾特權杖	Supportive Alter Rod	지원용 알터 로드
泰芙林權杖	Tevhrin Rod	테브린 로드
(褪色的)米坎堤權杖	(Faded) Migantis Rod	(바랜)미간티스 로드
(褪色的)芙迪邁絲權杖	(Faded) Pevordimas Rod	(바랜)페버디마스 로드
保羅史派亞	Baule Sphere	보울 스피아
波馬涅權杖	Pamane Rod	파마네 로드
塞柯帝斯權杖	Sketis Rod	스케티스 로드
帕澤里達斯權杖	Pajoritas Rod	파저리타스 로드
米坎堤權杖	Migantis Rod	미간티스 로드
芙迪邁絲權杖	Pevordimas Rod	페버디마스 로드
拉帕伊權杖	Raffye Rod	라파이 로드
黛梅雷權杖	Temere	테메레
燃燒權杖	Ignition	이그니션
賽克雷頓權杖	Secretum	세크레툼
死亡魔女權杖	Deathweaver Rod	데스위버 로드
死靈查普利權杖	Chapparition Rod	채퍼리션 로드
階權杖	Circle Rod	서클 로드
賽伊摩斯權杖	Seimos Rod	세이모스 로드
