札卡里耶爾的忠誠守護者	Zachariel's Faithful Protector	자카리엘의 충직한 수호자
莉莉亞的回聲	Liliya's Echo	릴리야의 메아리
那邊的草叢好像埋著什麼？	Is something buried under that grass?	저 풀더미에 뭔가 묻혀 있는 게 아닐까?
瓦卡麗涅女神像	Statue of Goddess Vakarine	바카리네 여신상
要選擇什麼情況呢？	Which way do you choose?	어느 경우를 선택하시겠습니까?
祝福的聖所	Sanctum of Blessings	축복의 성소
要捐獻嗎？	Are you going to make a contribution?	헌금 하시겠습니까?
真的有藥效嗎？	Does the medicine really work?	약효가 정말 있는 건가?
聲音	Voice	목소리
多慮的婦人	Worried Wife	걱정 많은 부인
老人的弟子	Disciple of the Elderly	노인의 제자
佩迪米安中年婦人	Fedimian Old Lady	페디미안 중년 부인
探險家巴奇斯的靈魂	Adventurer Varkis' Spirit	탐험가 바키스의 영혼
崩塌公所	Crumbled Chapel	무너진 공소
奇怪的女神像	Strange Goddess Statue	이상한 여신상
訓練兵布蘭	Soldier Recruit Bran	훈련병 브란
訓練所長亞爾留斯	Training Manager Alius	훈련소장 알류스
還沒有看到其他啟示者們嗎？{nl}	Have you not met other Revelators yet?	아직 다른 계시자들을 만난 적이 없으신가 보지요?{nl}
雕刻的文字	Carved Writings	새겨진 글
在充滿黑暗的地方，能讓你迎向光芒往前的，到底是什麼呢？	What makes you walk towards the light in a place full of darkness?	어둠으로 가득 찬 장소에서 빛을 향해 걸을 수 있게 만드는 것은 무엇인가.
副官薛黎納	Aide de Camp Selina	부관 셀리나
觀看者	Beholder	주시자
警告板	Warning	경고판
被束縛士兵靈魂	Trapped Soul of Soldier	속박된 병사 영혼
好痛苦。	It's so painful	고통스럽습니다.
憤怒的貓頭鷹雕像	Enraged Owl Statue	분노한 부엉이 조각상
還有許多留戀的商人靈魂	Regretful Merchant's Soul	미련많은 상인 영혼
沉睡的貓頭鷹雕像	Sleeping Owl Statue	잠든 부엉이 조각상
爆破兵路易那	Blaster Ruina	폭파병 루이나
市場管理員	Market Manager	마켓 관리인
求婚卡	Proposal Card	프로포즈 카드
仁慈的爺爺	Benevolent Old Man	인자한 할아버지
營業說明	Business Guide	영업 안내
公告	Notice	안내문
指南針	Compass	나침반
請選擇情報。	Select Information	정보를 선택하세요.
出入警告文	Warning	출입 경고문
難民家族妻子	Wife of a Refugee Family	피난민 가족 아내
難民家族的老婦	Old Man of a Refugee Family	피난민 가족의 노부
朝聖者	Pilgrim	순례자
佩迪米安工人	Fedimian Worker	페디미안 일꾼
年老的陶瓷工匠	Old Potter	늙은 도공
推車工人	Wagon Carrier	수레꾼
佩迪米安警備兵	Fedimian Guard	페디미안 경비병
王國旗	The Kingdom's Flag	왕국기
千年祭的故事	Story of the Millenary	천년제 이야기
祭禮全書	Festival Zensho	제례 전서
神樹之日的紀錄	Records of Medzio Diena	신수의 날의 기록
植物圖鑑	Flora	식물지
柯拉佩達主教令公告文	Declaration of Klaipeda Priest-Bishop	클라페다 주교령 포고문
英雄戰	Hero Biography	영웅전
叛亂的歷史	History of the Rebellion	반란의 역사
我們的朋友	Our Friend	우리의 친구
柯拉佩達的女神像	Klaipeda Goddess Statue	클라페다의 여신상
札卡里耶爾王陵的守護者	Guardian of Zachariel's Royal Mausoleum	자카리엘 왕릉의 수호자
聖者梅伊班的見解	Maven's Opinion	성자 메이번의 견해
火之女神加比婭	Goddess Gabija of Fire	불의 여신 가비야
萬物的意志	Will of All Things	만물의 의지
輕易學會的著火魔法	Elementary Fire Magic	쉽게 배우는 발화 마법
亞佳伊拉弗羅里的日記	Agailla Flurry's Diary	아가일라 플러리의 일기
時間魔法論註釋	Chronomancer Ron	시간 마법론 주석
魔法的體系	The Pedigree of Magic	마법의 계보
高階結界魔法調查報告書	The Report of the High Barrier Magic	고위 결계 마법 조사 보고서
魔力的理解	The Understanding of Mana	마나의 이해
安塔列斯的研究日記1卷	The Diary of Antares' Investigation	안타레스의 연구 일지 1권
陶瓷工匠的泥板	Potter's Clay Tablet	도공의 점토판
某個少女的泥板	Girl's Clay Tablet	어느 소녀의 점토판
指揮官威利斯的泥板	Commander Willis' Clay Tablet	지휘관 윌리스의 점토판
柯拉佩達農夫的泥板	Klaipeda Farmer's Clay Tablet	클라페다 농부의 점토판
某個士兵的泥板	Soldier's Clay Tablet	어느 병사의 점토판
遊俠大師的泥板	Ranger Master's Clay Tablet	레인저 마스터의 점토판
庫班的泥板	Coben's Clay Tablet	코벤의 점토판
凱賓的泥板	Kevin's Clay Tablet	케빈의 점토판
烏斯卡的泥板	Uska's Clay Tablet	우스카의 점토판
法師大師的泥板	Wizard Master's Clay Tablet	위저드 마스터의 점토판
寫著心願的泥板	Clay Tablet with a wish in it	소원을 적은 점토판
堤塔斯的泥板	Titas' Clay Tablet	티타스의 점토판
聖殿十字軍大師的泥板	Paladin Master's Clay Tablet	팔라딘 마스터의 점토판
希瑞尼亞歐德的泥板	Cyrenia Odell's Clay Tablet	시레니아 오델의 점토판
某個朝聖者的泥板	Pilgrim's Clay Tablet	어느 순례자의 점토판
某個魔法師的泥板	Wizard's Clay Tablet	어느 마법사의 점토판
札卡里耶爾的碎片	Zachariel's Fragment	자카리엘의 파편
泰斯拉的第一個碎片	Tesla's First Fragment	테슬라의 첫 번째 파편
泰斯拉的第二個碎片	Tesla's Second Fragment	테슬라의 두 번째 파편
泰斯拉的第三個碎片	Tesla's Third Fragment	테슬라의 세 번째 파편
泰斯拉的第四個碎片	Tesla's Fourth Fragment	테슬라의 네 번째 파편
梅伊班的碎片	Maven's Fragment	메이번의 파편
露克立斯的碎片	Ruklys' Fragment	루클리스의 파편
利迪亞夏班的碎片	Lydia Schaffen's Fragment	리디아 샤펜의 파편
亞佳伊拉弗羅里的碎片	Agailla Flurry's Fragment	아가일라 플러리의 파편
普利米歐艾米諾特的碎片	Premier Eminent's Fragment	프리미어 에미넌트의 파편
國王卡杜梅爾的碎片	King Kadumel's Fragment	국왕 카듀멜의 파편
琳卡烏達斯的碎片	Rimgaudas' Fragment	림가우다스의 파편
路西德溫特史普恩的碎片	Lucid Winterspoon's Fragment	루시드 윈터스푼의 파편
書櫃	Book Shelf	책장
陶器	Pot	도자기
休息的重要性	Importance of Rest	휴식의 중요성
奧斯特雅女神	Goddess Austeja	아우스테야 여신
膽小的青年	Coward	겁쟁이 청년
調查員	Investigation Unit	조사단원
到底為什麼怪物會這樣增加呢?	Why have so many more monsters appeared?	대체 몬스터가 왜 이렇게 늘어난 걸까?
賣花的大嬸	Flower Shop Lady	꽃 파는 아주머니
警告文	Warning	경고문
柯拉佩達中央廣場	Klaipeda Central Plaza	클라페다 중앙광장
標示牌	Signboard	표지판
夏奧雷伊東邊森林	East Siauliai Woods	샤울레이 동쪽 숲
休業公告	Holiday Notice	휴무 공지
札卡里耶爾王的意志	King Zachariel's Will	자카리엘 왕의 의지
募兵公告	Soldier Recruitment Notice	병사 모집 알림
教堂書桌	Chapel Table	성당 책상
刻在祭壇上的文句	Writings on the Altar	제단에 새겨진 글귀
梅伊班的裝置	Maven's Device	메이번의 장치
藍色朋德爾	Blue Pawndel	푸른 폰델
為什麼會這樣?	What is it?	뭐 때문에 그래?
黑色朋德爾	Black Pawnd	검은 폰드
可以相信你說的話嗎?	Can I trust you?	네 말 믿어도 돼?
那柯堤斯	Naktis	나크티스
大教堂啟示	Cathedral revelation	대성당 계시
啟示解說內容。	Interpretation of the revelation	계시 해석 내용.
拉伊瑪	Laima	라이마
紅色寶珠	Red Marble	빨간색 구슬
藍色寶珠	Blue Marble	파란색 구슬
黃色寶珠	Yellow Marble	노란색 구슬
綠色寶珠	Green Marble	초록색 구슬
紫色寶珠	Purple Marble	보라색 구슬
你找到最後的鑰匙了嗎？	Have you found the last key?	마지막 열쇠를 찾으셨습니까?
警告	Warning	경고
腐敗的食物	Spoiled Food	썩은 음식
醃製食品	Preserved food	보존식
酒	Liquor	술
探索	Explore	탐색
森林深處的驚異	Wonders of the Deep Forests	깊은 숲의 경이
王國的廢都	Fallen City of the Kingdom	왕국의 폐도
怪物誌	Monsters	괴물지
夏奧雷伊產業公司	Siauliai Companies	샤울레이 산업사
神學大戰	Summa Theologica	신학 대전
坎寧安的傳說	Legend of Cunningham	커닝햄의 전설
外科全書	Surgery Book Set	외과 전서
王國旅行記	Kingdom Travelogue	왕국 여행기
我的告白	My Confession	나의 고백
讀書台	Reading Desk	독서대
沒錯。你想說的話是什麼？	Do you have something to say?	그래. 하고 싶은 말은 뭔가.
不知名的魔族	Unknown Demon	이름모를 마족
委託佈告欄	Request Bulletin Board	의뢰 게시판
職員布萊恩登	Employee Brendon	직원 브렌든
(臨時)委託經理	(Temporary) Request Manager	(임시)의뢰매니저
委託開始/結束選擇	Select Request Start/End	의뢰시작/종료 선택
職員蘭達	Employee Ramda	직원 람다
對象吉列姆	Great Merchant Gilliam	대상 길리엄
要進行下個階段嗎？	Are you ready to start the next stage?	다음 단계를 시작 하시겠소?
行政官	Officer	행정관
171[農場地帶47]	171 [Farmland47]	171 [농장지대47]
178[魔族監獄]	178 [Demon Prison]	178 [마족감옥]
189[農場地帶49]	189 [Farmland49]	189 [농장지대49]
196[魔族監獄54_1]	196 [Demon Prison54_1]	196 [마족감옥54_1]
198[夏奧雷伊46]	198 [Siauliai46]	198 [샤울레이46]
208[荊棘林39]	208 [Thorn Forest39]	208 [가시숲39]
245[大地要塞]	245 [Fortress of the Land]	245 [대지의 요새]
魔法師之塔的啟示	Revelation of Mage Tower	마법사의 탑의 계시
柯拉佩達的賭徒	The Gambler of Klaipeda	클라페다의 내기꾼
給騎士堤塔斯	Talk to Knight Titas	기사 티타스에게
給偵查兵	Talk to the Scout	정찰병에게
前往柯拉佩達的路	Road to Klaipeda	클라페다로 가는 길
給戰鬥組長	Talk to the Battle Commander	전투 조장에게
警戒兵的委託	Sentinel's Favor	경계병의 부탁
無法稱心如意的	Not As Intended	뜻대로 되지 않는
阿拉斯的委託	Aras' Commission	아라스의 의뢰
補給兵的委託	Supply Soldier's Favor	보급병의 부탁
石匠家族的藏寶地圖	Treasure Map of the Stonemason Family	석공가문의 보물지도
探險家的委託	Adventurer's Favor	탐험가의 부탁
探險家的日誌碎片	Incinerate the Adventurer's Journal	탐험가의 일지 소각
追思他們	In Their Honor	그들을 추모하며
勞心費神的任務[念力法師轉職]	Bothersome Mission [Psychokino Advancement]	신경 쓰이는 임무[사이코키노 전직]
世上沒有的書[鎖鏈法師轉職]	Non-Existent Book [Linker Advancement]	세상에 없던 책[링커 전직]
做賊心虛[工兵轉職]	Guilty Conscience [Sapper Advancement]	도둑이 제발[새퍼 전직]
弓箭夢想的書1[獵人轉職]	Dream Book of the Bow 1 [Hunter Advancement]	활이 꿈꾸는 책1[헌터 전직]
弓箭夢想的書2[弩箭手轉職]	Dream Book of the Bow 2 [Quarrel Shooter Advancement]	활이 꿈꾸는 책2[쿼렐슈터 전직]
弓箭夢想的書3[弓箭手轉職]	Dream Book of the Bow 3 [Archer Advancement]	활이 꿈꾸는 책3[아처 전직]
弓箭夢想的書4[遊俠轉職]	Dream Book of the Bow 4 [Ranger Advancement]	활이 꿈꾸는 책4[레인저 전직]
花樣盾牌[高地戰士轉職]	Shield Over Flowers [Highlander Advancement]	꽃보다 방패[하이랜더 전직]
有關誓約的道理[輕裝步兵轉職]	Duty of the Pledge [Peltasta Advancement]	맹약에 대한 도리[펠타스타 전직]
寒鐵傳說[寒冰法師轉職]	Legend of the Cold Iron [Cryomancer Advancement]	한철의 전설[크리오맨서 전직]
皇天不負苦心人[法師轉職]	Hard Work Does Not Betray [Wizard Advancement]	노력은 배신하지 않는다[위저드 전직]
完美的聖水[牧師轉職]	Perfect Holy Water [Cleric Advancement]	완벽한 성수[클레릭 전직]
造箭者的祕法[弩箭手轉職]	Secret of Fletchers [Quarrel Shooter Advancement]	플레쳐의 비법[쿼렐슈터 전직]
佩迪米安的補給者[弓箭手轉職]	Completer of Fedimian [Archer Advancement]	페디미안의 보완자[아처 전직]
佩迪米安的探詢者[遊俠轉職]	Investigator of Fedimian [Ranger Advancement]	페디미안의 탐문자[레인저 전직]
謹慎行動[工兵轉職]	Careful Move [Sapper Advancement]	조심스런 행보[새퍼 전직]
尋找模特兒[雕刻師轉職]	Finding the Model [Dievdirbys Advancement]	모델 찾기[딥디르비 전직]
陽光普照的地方[烈焰法師轉職]	Where the Sun Shines [Pyromancer Advancement]	태양이 비출 자리[파이로맨서 전직]
佩迪米安的守護者[法師轉職]	Guardian of Fedimian [Wizard Advancement]	페디미안의 수호자[위저드 전직]
戰利品	War Trophy	전리품
出現在天空中的恐怖	Fear from the Sky	하늘에서 나타난 공포
失常的記錄官	Crazy Archivist	실성한 기록관
札卡里耶爾之眼	Eyes of Zachariel	자카리엘의 눈
士兵的珍貴物品	Soldier's Precious Belongings 	병사의 소중한 물건
確保前往大王關口的路	Secure the Road to Gateway of the Great King	대왕의 관문으로 가는 길 확보
永無止盡的任務	Unfinished Mission	끝나지 않는 임무
毫無意義的名譽	Trivial Honor	부질없는 명예
消失的研究員	Missing Researcher	사라진 연구원
妨礙營業	Business Interference	영업 방해
令人在意的失蹤	Worrisome Disappearances	신경쓰이는 실종
新進王陵研究員的委託	New Researcher's Favor	신입 왕릉 연구원의 부탁
尤那斯的藥	Jonas' Medicine	요나스의 약
修理中央淨化裝置	Fix the Central Purifier 	중앙 정화장치 수리
啟動通道淨化裝置	Activate the Passage Purifier	통로 정화장치 가동
循環淨化裝置的問題	Circulation Purifier Issues	순환 정화장치의 문제
終止運作的補助淨化裝置	Inoperable Auxiliary Purifier	작동을 멈춘 보조 정화장치
破壞主淨化裝置的嫌犯	Destroyer of the Main Purifier	주 정화장치의 파괴범
樹皮的秘密	Secret of the Tree Bark	나무껍질의 비밀
翅膀碎片	Wing Fragment	날개 조각
王家的封印	Seal of the Royal Family	왕가의 봉인
招募傭兵	Recruiting Mercenaries	용병 모집
永無止盡的委託	Unfinished Commission	끝나지 않은 의뢰
關於薩厄加斯的情報	Information about Saugas	사우가스에 대한 정보
探訪礦山村莊	Investigate the Miners' Village	광산마을 탐문
礦山所長布林肯的獻身	Mine Manager Brinker's Dedication	광산 소장 브링커의 헌신
治療師小姐的煩惱	Healer Lady's Worry	치유사 아가씨의 고민
完成靈魂之力	Completing the Strength of Soul	영혼의 힘 완성
迷戀的靈魂們	Reluctant Souls	미련많은 영혼들
慰靈祭	Memorial Service	위령제
危險的王座大蜘蛛	Dangerous Throneweaver	위험한 쓰론위버
錯誤的救援	Wrong Salvation	잘못된 구원
最後的任務	Last Mission	마지막 임무
消失的部隊員	The Missing Troop	사라진 부대원
補給部隊在何處	Where are the Supply Troops	보급부대는 어디에
大根平原的災厄	Disaster of Big Horned Bee	큰뿌리 벌의 재앙
確保補給道路	Secure Supply Route	보급로 확보
掠奪者的殘黨	Remnants of the Thief	약탈자의 잔재
安靜的森林	Forest of Silence	고요의 숲
甕中之魂	Soul in a Jar	독 안에 든 영혼
滲透森林的魔族	Demon Infected Forest	숲에 스며든 마족
靈魂獵人	Soul Hunter	영혼 사냥꾼
開啟關口	Barrier of Heat	관문 열기
徘徊的靈魂	Wandering Spirit	헤메는 영혼
雕刻家的試驗	Sculptor's Trial	조각가의 시험
守護者的罈子	The Guardian's Jar	수호자의 항아리
點火吧	Light the Fire	불을 밝혀라
把火點燃吧	Let's Light the Fire	불을 밝히자
魔力的解放	Liberation of Magic	마력의 해방
隱藏的地方	Hidden Place	숨겨진 곳
緊急狀況	Emergency	긴급상황
被汙染的石燈	Corrupted Stone Lantern	오염된 석등
古老的故事	Old Story	옛날 이야기
受傷的採藥者	Suspicious Herbalist	수상한 약초꾼
為了成為帥氣的士兵	To be a Great Soldier	멋진 병사가 되기 위해
永遠的朋友	Friends Forever	영원한 친구
教堂正門	Church Gate	성당 정문
名留青史的騙術	The Legendary Trick	역사에 남을 속임수
光的襲擊	Light Attack	빛의 습격
隱藏的聖所	Hidden Sanctum	숨겨진 성소
預見的危機	Foreseen Crisis	예견된 위기
尋找寶物	Treasure Hunting	보물찾기
消失的研究團	Missing Research Group	사라진 연구단
史學者雷克西波的研究	Historian Rexipher's Research 	사학자 렉시퍼의 연구
魔族的奸計	Trick of the Demon	마족의 간계
掃蕩偽造者	Mop Up the Forger	위조범 소탕
雷克西波的真面目	Rexipher's True Colors	렉시퍼의 본색
當地採購	Self Sufficiency	현지 조달
保護遺跡	Protect the Heritage	유적보호
永生的豬籠草	The Immortal Nepenthes	영생의 네펜더스
看守者的潛力	The Watcher's Potential	파수꾼의 저력
協商	Negotiation	협상
為了國民和盾牌的劍	Sword for the Shield and People	국민과 방패를 위한 검
飛禽的妨礙	Disturbance of the Winged Beast	날짐승의 방해
第一支箭	First Arrow	첫 번째 화살
星星的痕跡	Astral Tracing	별의 흔적
最後命令	Final Mission	마지막 명령
石化霜預報	Petrifying Frost Forecast	석화서리 예보
善意的謊言	White Lie	선의의 거짓말
掌心之中	Into the Grip	손아귀 속으로
清潔工	Cleaner	청소꾼
大逃亡傳點	Great Escape Portal	대탈출 포탈
同夥	All the Same	한통속
差之毫厘	Small Difference	작은 차이
不堪回首的事故	Irrevocable Accident	돌이킬 수 없는 사고
咒術的見解	Magical Opinion	주술적 견해
享受地面上的釣魚	Fishing on Land	땅 위에서 즐기는 낚시
求知若渴	Ardor for Study	학구열
都是因為蜂蜜	It's the Honey	꿀 때문이야
兩位朋友的友情	Friendship of Two Friends	두 친구의 우정
三溪林怪物們的目標	Objective of the Three Brooks Monster	세개울 몬스터들의 목적
三溪林的祭壇	Three Brooks Altar	세개울의 제단
耕地的秘密	Secret of the Farmland	경작지의 비밀
充滿女神之力的土地	Land Bestowed with the Goddess' Power	여신의 힘이 깃든 땅
稻草人之手	Scarecrow's Hand	허수아비 손이라도
崩壞的封印塔	Destroyed Seal Tower	부서진 봉인탑
青年妖術師奧源	Young Magician Owyn	청년 요술사 오윈
迷惑的證據	Evidence of Bedazzlement	현혹의 증거
被封印的靈魂	Sealed Soul	봉인된 영혼
奇怪的罈子	Suspicious Pot	수상한 항아리
到底犯了什麼罪	What Kind of Sin	도대체 무슨 죄를 지었기에
奇怪的箱子	Suspicious Box	수상한 상자
太多的封印石	Too Many Seals	너무 많은 봉인석
變異術師波利伍德	Transmuter Furry Odd	변이술사 퍼리 오드
熱血男兒賽伊蒙修烏	Hot-Blooded Simon Shaw	열혈남아 사이먼 쇼우
奇怪封印石的真面目	Truth of the Suspicious Seal Stone	수상한 봉인석들의 정체
看守者的夢想	Fantasy of the Watcher	파수꾼의 몽상
翻過來的圖騰	Unsettled Totems	속 뒤집어지는 토템
淨化人偶	Purifying Doll	정화 인형
治療師之路	Healer's Way	치유사의 길
永遠的敬拜	Everlasting Worship	영원한 경배
留下的記憶	Surviving Memory	남겨진 기억
管理女神像	Goddess Statue Control	여신상 관리
財物也是恩惠	Kindness on the Offerings	재물에도 은혜를
解放薩勒女神	Release Goddess Saule	사울레 여신 해방
魔法師和魔法師之塔	The Wizard and the Mage Tower	마법사와 마법사의 탑
芝麻開門	Open Sesame	열려라 참깨
警備兵的委託	Security Guard's Favor	경비병의 부탁
斷層地的威脅	Threat of Fault Line	단층지의 위협
無法滿足的飢餓感	Insatiable Hunger	채워지지 않는 허기
無止盡的貪食	Endless Gluttony	끝없는 식탐
不可以被搶走	Can't Be Taken Away	빼앗길 수 없어
大餓鬼路的糧食堆	Food Supplies of Starving Demon's Way	큰아귀 길의 식량무지
解放憤怒封印的試驗	Raging Soul Releasing Test	분노의 봉인 풀기 시험
為了祝福的參拜	Worship for the Blessing	축복을 위한 경배
真正的女神像	Genuine Goddess Statue	참된 여신상
謊言或真實的聖所	Sanctum of Truth or Lie	거짓 또는 진실의 성소
因金錢獲得的祝福	Blessing Through Money	금전으로 받는 축복
脫離魅惑	Avoiding Infatuation	미혹에서 벗어나
為了空間的移動	To Move Across Space	공간의 이동을 위해
奇異的雕像	Eccentric Statue	기이한 조각상
幽靈集合解體	Disband Ghost Assembly	유령 집결 해체
來歷不明的石板	Mysterious Slate	정체불명의 석판
夏爾蘭的草球	Bush Ball of Siaulamb	샤울렘의 덤블볼
雕刻家喜爾達的資料	Sculptor Hilda's Data	조각가 힐다의 자료
王室的遺產	Legacy of the Royal Family	왕가의 유산
弗羅里的碑文	Epitaph of Flurry	플러리의 비문
主教夢到的女神之夢	Bishop's Dream of the Goddess	주교가 꾼 여신의 꿈
姆杰靈感的真心	Moses' True Feelings	모제 영감의 진심
以毒攻毒	Fight Poison with Poison	이독제독
以信仰之名	In the Name of Faith	신앙의 이름으로
攻佔佛蘭普	Capturing Bramble	브람블 공략
方尖塔運作	Activate the Obelisk	오벨리스크 작동
安德伊村莊祭司的委託	Andale Village Priest's Favor	안데일 마을 사제의 부탁
製作無力草炸彈	Creating the Languid Herb Bomb	나른초 폭탄 제작
裝著靈魂的碗	A Vessel for a Spirit	영혼을 담는 그릇
慈悲和救援	Mercy and Salvation	자비와 구원
祭司的研究	The Priest's Research	사제의 연구
祭司的努力	The Priest's Hard Work	사제의 노력
隨機應變	Adapting to Circumstances	임기응변
主教最後的使命	The Bishop's Last Mission	주교의 마지막 사명
研究資料	Materials for Research	연구 자료
藥師的委託	Pharmacist's Favor	약사의 부탁
某人的日記本	Somebody's Diary	누군가의 일기장
地下墓穴1層內部傳點	Catacomb 1F Interior Warp	카타콤 1층 내부 워프
地下墓穴1層模糊的靈體	Blurry Spirit of Catacomb 1F	카타콤 1층 흐릿한 영체
某人留下的紙條	Letter Someone Left Behind	누군가가 남긴 쪽지
朝聖者通知	Notice for Pilgrims	순례자 알림
信心之樹	Tree of Faith	신심의 나무
兄弟樹木說明	Tree of Brothers Notice	형제의 나무 안내
男爵阿雷魯諾	Baron Allerno	남작 아렐르노
你沒聽過「救濟貧窮，國家也無奈」的話嗎？ 你是說他們的貧窮連我們也束手無策？	Haven't you heard the saying that not even the king can save poverty? What do they expect me to do? 	가난 구제는 나랏님도 못한다고 하는 말 못 들었나? 지들이 가난 한 걸 날더러 어쩌라고?
農民	Farmer	농민
你有豪拉奇烏斯的親筆信？	Do you have a written letter of Horacius? 	호라치우스의 자필 편지라도 있는 거요?
欸咦？ 我憑什麼要相信你？	Huh? Why should I trust you? 	에잉? 뭘로 당신을 믿으라는 거요?
不然你想怎樣？	So what? 	뭐 어쩌라고?
你到底想怎樣？	What do you want?	어쩌라는 거예요?
