皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
村民	Villager	마을 사람
姆杰老人	Old Man Moses	모제 영감
村莊青年 凱伊希	Villager Cahill	마을 청년 케이힐
補給官	Supplies Officer	보급관
朝聖者 莉莉亞	Pilgrim Liliya	순례자 릴리야
朝聖者 由利烏斯	Pilgrim Julius	순례자 율리우스
朝聖者 傑紐斯	Pilgrim Zenius	순례자 재뉴스
朝聖者 葛拉奇烏斯	Pilgrim Gracius	순례자 그라치우스
聖所導覽	Sanctum Notice Board	성소 안내
聖所	Sanctum	성소
旁白	Aside	방백
朝聖者 衛塔斯	Pilgrim Witas	순례자 위타스
寂靜之泉	Pond of Silence	고요의 샘
朝聖者的靈魂	Pilgrim's Spirit	순례자의 영혼
商人 圖凱	Merchant Dulke	상인 둘케
住民 艾密	Villager Emil	주민 에밀
藥師 提阿納	Pharmacist Tiana	약사 티아나
祭司 多支奈	Priest Dazine	사제 다지네
村莊青年 多萊恩	Villager Darren	마을 청년 다렌
奇利納	Kirina	키리나
釀造業者 都勒傑	Brewer Dorjen	양조업자 도르젠
瑪拉斯	Maras	마라스
巴爾達	Valda	발다
這種時候奧斯特雅女神到底是去了哪裡呢？	Where could Goddess Austeja have gone at a time like this?	이런 때에 아우스테야 여신께선 어디로 가신 걸까요?
拉馬勒	Lamar	라마르
利斯	Riesz	리스
祭司 利耶爾利耶	Priest Raeli	사제 라엘리에
農夫德魯巴	Farmer Druva	농사꾼 드루바
完蛋的養蜂專家 羅森	Ruined Bee Farmer Logen	망한 양봉가 로센
要怎麼用這個東西來拯救靈魂們呢？	What should I do about it to save the spirits?	이걸 어떻게 해야 영혼들을 구원할 수 있지?
主教亞烏雷利屋斯的靈魂	Bishop Aurelius' Spirit	주교 아우렐리우스의 영혼
祭司大朗	Priest Daram	사제 다람
祭司高達	Priest Goda	사제 고다
祭司普羅基特	Priest Prosit	사제 프로지트
士兵 魯特爾巴斯	Soldier Rudolfas	병사 루돌파스
士兵 阿斯巴斯	Soldier Aspas	병사 아스파스
墳墓看守人 羅馬思	Grave Keeper Romas	무덤지기 로마스
補給部隊員	Supply Soldier	보급 부대원
大教堂的啟示	Revelation of Great Cathedral	대성당의 계시
主教亞烏雷利屋斯	Bishop Aurelius	주교 아우렐리우스
因此只有我才有資格看師父的資料，而不是侯內斯吧？	So I have the rights to look at the documents of our master and not Hones right?	그러니까 호네스가 아닌 저만이 스승님의 자료를 볼 자격이 있다는 것 아니겠어요?
魔石融合劑	Magic Gem Fusion Device	마석 융합기
侯內斯的一部分紙條	Hones' Regular Memo	호네스의 쪽지 일부
侯內斯的一部分紙條	Hones' Regular Memo	호네스의 메모 일부
奎波爾碧塔	Kupole Vita	큐폴 비타
里莫斯的靈魂	Rimos' Spirit	리모스의 영혼
擊劍手大師	Fencer Master	펜서 마스터
賓申塔斯	Vincentas	빈센타스
因切斷命運的線頭而徬徨	May the threads of destiny be cut loose and flutter freely	운명의 실타래가 끊어져 방황하리라
王國的城牆比王國歷史更悠久	The Kingdom's walls will last longer than the Kingdom itself	왕도의 성벽이 왕도보다 오래 가리라
阿伊特巴拉斯的紀錄	Eitbaras' Records	아이트바라스의 기록
考古學家尤斯達斯	Archeologist Justas	고고학자 유스타스
考古學家阿爾魯達	Archeologist Alruida	고고학자 알뤼다
倒塌的石塔	Collapsing Stone Tower	무너지는 돌탑
鐵匠依拉娜伊	Blacksmith Ilanai	대장장이 일라나이
裝備商人尤拉	Equipment Merchant Jura	장비 상인 율라
還有什麼想知道的嗎？	Is there anything else you want to ask?	혹시 더 궁금한 게 있는가?
祭司 伊內亞	Priest Inea	사제 이네아
祭司路歐德爾	Priest Ruodell	사제 루오델
祭司約瑟那	Priest Yosana	사제 요사나
祭司阿爾莉莎	Priest Alisha	사제 알리샤
朝聖者歐比爾	Pilgrim Orville	순례자 오빌
祭司露亞那	Priest Loana	사제 로아나
台上刻的文字	Writing on the Platform	단상에 새겨진 글귀
露克立斯部隊將校的靈魂	Ruklys Army Officer's Spirit	루클리스 부대 장교의 영혼
什麼嘛，沒有？	What? There isn't anything?	뭐야, 없어?
阿曼達	Amanda	아만다
品質證明有轉交給他們嗎？	Did you deliver the certificates? 	품질 인증서를 잘 전달하고 오셨나요?
尹歐娜	Iona	이오나
奎波爾阿露納	Kupole Arune	큐폴 아루네
德魯伊艾爾利	Druid Ellie	드루이드 엘리
農夫達阿西	Farmer Darcy	농부 다아시
農夫米雷	Farmer Miren	농부 미렌
調查官莫納漢	Investigator Monahan	조사관 모나한
農場監督官多稜	Farm Supervisor Dorn	농장 감독관 도른
農場士兵蓋德森	Farm Soldier Gedson	농장 사병 게드슨
佃戶夏爾洛	Tenant Farmer Charlotte	소작인 샬롯
德魯伊馬勒提內	Druid Martinek	드루이드 마르티넥
佃戶拜斯	Tenant Farmer Weiss	소작인 바이스
庫魯德夏頓	Gord Shaton	고르드 샤튼
芭內莎夏頓	Vanessa Shaton	바네사 샤튼
士兵隊長布洛斯	General Buros	사병대장 뷰로스
管家巴雷	Steward Valen	집사 바렌
還沒完成暮星之鑰嗎？	Is the Evening Star Key still not ready?	저녁별 열쇠는 아직인겁니까?
救援者可以負責卡巴拉孤立區的轉移縫隙嗎？	Can you deal with the dimensional crack at Gavara Isolation District?	구원자님께서 가바라 고립구의 전이 틈새를 맡아 주실 수 없을까요?
受到詛咒的朝聖者	Cursed Pilgrim	저주받은 순례자
克爾雷歐巴斯	Cleopas	클레오파스
米可羅斯	Mikolas	미콜라스
商人托爾納斯	Merchant Dolonas	상인 돌로나스
托馬洛弗	Tomalov	토말로프
怎麼樣？有什麼反應嗎？	How was it? How did they react?	어때. 뭔가 반응이 있었나?
梅伊班的傳聞	Maven's Message	메이번의 전언
證明的祭司	Priest of Evidence	증명의 사제
脫隊的士兵歐漢	Straggling Soldier Upham	낙오된 사병 업햄
沒有其他所得嗎？	Did you find anything?	별 다른 소득은 없었나요?
修道院長	Abbot	수도원장
開始搜查	Start searching	수색 시작
搜查結束	Finished searching	수색 종료
慘叫聲	Sound of a scream	비명 소리
死靈法師亞多瑪斯	Necromancer Adomas	네크로맨서 아도마스
陳舊的信件	Old Letter	낡은 편지
部隊長留下的紙條	Memo left by the Commander	부대장이 남긴 쪽지
躲藏中的部隊長	Hidden Commander	숨은 부대장
戀人之墓	Lover's Grave	연인의 무덤
愛德華	Edward	에드워드
正要清除那些可疑的陷阱的時候，才猛然想到你是不是說那些陷阱可能是用來捕捉怪物用的呢？	Are you saying the suspicious trap you found was made to attract monsters?	수상해 보이는 것이 있어서 제거하려고 했더니, 몬스터를 부르는 함정이었다는 말씀이시지요?
警備兵豪頓	Guard Horton	경비병 호튼
警備兵麥德遜	Guard Manderson	경비병 맨더슨
如果害怕和敵人交手就不能稱作劍鬥士了吧？	How can you claim yourself to be a gladiator if you are afraid of combat?	적과 붙는 것을 두려워한다면 검투사라고 할 수 없잖아?
兩種命令	Two Types of Orders	두 가지 명령
幫忙偵查	I'll help scout around	정찰을 도와 준다고 한다
士兵的珍貴物品(1)	Soldier's Precious Belongings (1)	병사의 소중한 물건(1)
幫忙找	I will find it	찾아 주겠다고 한다
士兵的珍貴物品(2)	Soldier's Precious Belongings (2)	병사의 소중한 물건(2)
要收集枯樹枝回來	I will collect the dried twigs	마른 나뭇가지를 모아오겠다고 한다
不想再插手	I don't want to touch it anymore	더 이상 손대고 싶지 않다고 한다
士兵的珍貴物品(3)	Soldier's Precious Belongings (3)	병사의 소중한 물건(3)
委託	Leave it to me	맡겨달라고 한다
紅樹林哥布林的襲擊	Attack of the Giant Red Wood Goblin	레드 우드 고블린의 습격
確保通往大王關口的路(1)	Secure Route to the Gateway of the Great King (1)	대왕의 관문으로 가는 길 확보(1)
無視	Ignore	무시한다
淨化區域內部	Secure the Area	구역 안정화
確保通往大王關口的路(2)	Secure Route to the Gateway of the Great King (2)	대왕의 관문으로 가는 길 확보(2)
要支援	I will apply for it	지원하겠다고 한다
沒有這種閒暇時間	I don't have time for that	그럴 여유는 없다고 한다
貓頭鷹雕像的小幫助	Owl Sculpture's Little Help	부엉이 조각상의 작은 도움
代替你去消滅	I'll get rid of them for you	대신 처치해 주겠다고 한다
確保通往大王關口的路(3)	Secure Route to the Gateway of the Great King (3)	대왕의 관문으로 가는 길 확보(3)
看起來危險	It looks dangerous	위험해 보인다고 한다
離開的路	Off To A Journey	떠나는 길
遭到襲擊的搜索隊	Search Scouts under Attack	습격받은 수색대
要去德利耶查濕地看一下	I'll go to Drieza Waterland	드리에자 습지로 가 보겠다고 한다
一起去避一下	Let's get out of here together	함께 몸을 피하자고 한다
墳墓的主人	Grave's Owner	무덤의 주인
詢問是因為什麼事	What is it ?	무슨 일 때문인지 묻는다
正在安設裝置	Piling up the firewoods	장작 쌓는 중
恐懼之森	Forest of Fear	공포의 숲
會轉交翅膀碎片	I will deliver the Piece of Wing	날개 조각을 전해주겠다고 한다
翅膀碎片(1)	Piece of Wing (1)	날개 조각(1)
支援後防部隊	Support of Rearguard Troops	후방부대 지원
會幫忙減少周圍怪物的數量	I will lessen the monsters around	주변 몬스터의 수를 줄여 주겠다고 한다
抱歉無法幫忙	Sorry but I can't help you	미안하지만 도와줄 수 없다고 한다
關於森林之路	About the Forest Road	숲속 길에 대해
消失的部隊員(1)	The Missing Troop (1)	사라진 부대원(1)
要幫忙找偵察兵	I will find the scout	정찰병을 찾아 주겠다고 한다
雖然很抱歉，但我還是拒絕	I'm sorry but I can't	미안하지만 거절한다
消失的部隊員(2)	The Missing Troop (2)	사라진 부대원(2)
先幫你消滅怪物	I will kill the monsters first	몬스터를 먼저 처치해 주겠다고 한다
需要一點準備的時間	I need some time to prepare	잠시 준비 할 시간이 필요하다고 한다
補給部隊在哪裡(1)	Where are the Supply Troops (1)	보급부대는 어디에(1)
幫你找補給部隊	I will find the supply troops	보급부대를 찾아 주겠다고 한다
補給部隊在哪裡(2)	Where are the Supply Troops (2)	보급부대는 어디에(2)
幫忙回收補給物	I'll help retrieve the supplies	보급품 회수를 돕겠다고 한다
會等到回收完所有補給品為止	I'll wait until all the supplies are retrieved	보급품을 전부 회수할때까지 기다리겠다고 한다
補給部隊在哪裡(3)	Where are the Supply Troops (3)	보급부대는 어디에(3)
除了任務還是任務	Mission over Mission	임무보다 임무
要幫忙收集鉤子	I'll help collect the hooks	갈고리를 모으는 것을 돕겠다고 한다
等到都收集好為止	Let's wait until everything is collected	다 모을때까지 기다리자
皮爾力巴斯的指揮力	Leadership of Philipas	필리파스의 지휘력
打算協助	I will cooperate	협조하겠다고 한다
不太妥當	That is unfair	부당하다고 한다
獨自留下的分隊員	Troop Left Alone	홀로 남은 분대원
找出卷軸吧	Find the report	보고서를 찾아 주자
最好快點回去	Better return quickly	빨리 돌아가는 게 좋겠다고 한다
最後一次一起	Spend the Last Together	마지막은 함께
要幫你收拾遺物	I will collect the keepsakes	유품을 수습해 주겠다고 한다
史可尼斯原野的災難(1)	Disaster of Saknis Plains (1)	사크니스 벌판의 재앙(1)
跟著去依茲達金卡斯街道吧	Let's follow to Isdaigininko Highway	이즈다깅카스 가도로 따라가자
需要一點準備的時間	I need some time to prepare	잠시 준비할 시간이 필요하다고 한다
史可尼斯原野的災難(2)	Disaster of Saknis Plains (2)	사크니스 벌판의 재앙(2)
我會參與戰鬥	I will join the battle	전투에 참여하겠다고 한다
要求給一點準備的時間	Give me some time to prepare	잠시 준비할 시간을 요청하자
某位無名士兵的恨	Grudge of A Nameless Warrior	어느 무명 용사의 한풀이
正在試戴項鍊	Trying on the necklace	목걸이를 걸어 보는 중
正在祈求冥福	Consoling the soul	명복을 빌어 주는 중
禁止出入	Do Not Enter	출입금지
要求支援	Requesting Support	지원 요청
會守護	I will protect you	지켜주겠다고 한다
要躲好	Stay hidden	잘 숨어 있으라고 한다
易燃石[造箭者轉職]	Burning Stones [Fletcher Advancement]	잘 타는 돌멩이[플레쳐 전직]
受到歡迎的不速之客	Welcomed Uninvited Guest	환영받는 불청객
光榮之路	Glorious Road	영광의 길
關於這座城市	About this city	이 도시에 대해
石化霜預報(1)	Petrifying Frost Forecast (1)	석화서리 예보(1)
要去確認看看	I will check it	확인해 보겠다고 한다
說沒有必要幫忙	Tell him that there's no reason for you to help	도울 이유는 없다고 한다
關於石化霜的詛咒	About the curse of the Petrifying Frost	석화서리 저주에 대해
石化霜預報(2)	Petrifying Frost Forecast (2)	석화서리 예보(2)
說能夠與之抗衡	Tell him that you can get rid of it	상대할 수 있다고 한다
有點勉強	That's too much	무리라고 한다
石化霜預報(3)	Petrifying Frost Forecast (3)	석화서리 예보(3)
說最好等安全一點再說	Tell him that you will wait until it gets safe	안전한 시간을 기다리는 것이 좋겠다고 한다
整理作業場	Cleaned Up Workshop	작업장 정리
合法的所得	Legal Profit	합법적 소득
會收集給你	I will collect for her	모아 주겠다고 한다
敵對的打劫	Hostile Extortion	적대적 갈취
說會帶來贓物	Tell him that you would bring the goods	장물을 가져 오겠다고 한다
拒絕偷東西	Tell him that you don't want to steal	도둑질은 거절한다
關於迪庫盜墓團 	About the Dico Thieves	디코 도굴단에 대해
他們的方式	Their Ways	그들의 방식
避開石化霜的方法	The way to avoid Petrifying Frost	석화서리를 피하는 방법
善意的謊言(1)	White Lie (1)	선의의 거짓말(1)
我會收集回來	I will collect it	수집해 오겠다고 한다
說無法幫忙	Tell him that you can't help	도울 수 없다고 한다
善意的謊言(2)	White Lie (2)	선의의 거짓말(2)
現在好像還不是時候	It's not yet time	아직 때가 아닌 것 같다고 한다
善意的謊言(3)	White Lie (3)	선의의 거짓말(3)
祈求武運	Wish you luck	무운을 빈다
說現在還不是時候	Tell him that it's not the time	아직 때가 아니라고 한다
打雜	Cleaning Up	뒤치다꺼리
說他能夠幫忙除掉怪物	Tell him that you can defeat monsters on behalf of him	대신 몬스터를 처리 해 줄 수 있다고 한다
輕拍你的肩膀，要你加油	Cheer him up	힘내라고 다독인다
關於凱爾利斯騎士團	About the Knights of Kaliss	칼리스 기사단에 대해
不需要的紀錄	Unnecessary Records	불필요한 기록
關於科斯塔斯	About Kostas	코스타스에 대해
最後的收集	The Last Collection	최후의 수집
我會幫忙收拾遺物	I will collect the keepsakes	대신 유품을 거두어 주겠다고 한다
會很辛苦	That will be hard	힘들겠다고 한다
關於王國軍隊與凱爾利斯騎士團	About the Royal Army guards and the Knights of Kaliss	왕국군과 칼리스 기사단에 대해
恢復的機會(1)	A Chance of Recovery (1)	회복의 기회(1)
說應當要幫忙	Tell him that you would help	응당 돕겠다고 한다
關於希爾特的信物	About the symbol of Schilt	실트의 증표에 대해
恢復的機會(2)	A Chance of Recovery (2)	회복의 기회(2)
我會進行實驗	I will experiment it	실험해 보겠다고 한다
說無法再幫忙了	Tell him that you can't help anymore	더 이상 도울 수 없다고 한다
關於石化的研究	About the research of the petrification	석화의 연구에 대해
恢復的機會(3)	A Chance of Recovery (3)	회복의 기회(3)
我會找來驅動核	I will get the activating nucleus	구동핵을 구해 오겠다고 한다
幫忙祈求研究順利	Pray for the successful research	연구가 잘 되길 빌어 준다
敵人的敵人是怪物(1)	The Enemies of the Enemies are Monsters (1)	적의 적은 몬스터(1)
敵人的敵人是怪物(2)	The Enemies of the Enemies are Monsters (2)	적의 적은 몬스터(2)
說會好好處理這件事	Tell him that you would finish the task well	잘 처리하겠다고 한다
說不再插手這件事	Reject	발을 빼겠다고 한다
歸隊時間	Time of Return	복귀 시간
會幫你消滅	I'll take care of it	처리해주겠다고 한다
戰友之愛	Camaraderie	전우애
關於支援	About the support	지원에 대해
踩尾巴	Treading a Tail	꼬리밟기
打發時間	Passing Time	시간 때우기
說會立即找來	Tell him that you would bring it fast	금방 구해오겠다고 한다
不會有事的	Everything will be alright	별 일 없을 거라고 한다
關於莎比納	About Sabina	사비나에 대해
被遺忘的時間	Lost Time	잊혀진 시간
要去做	I'll do it	해오겠다고 한다
關於真相	About the truth	진실에 대해
傳點大逃脫(1)	Great Escape Portal (1)	대탈출 포탈(1)
說不會去做危險的事	Tell him that you won't do anything dangerous	위험한 일은 하지 않겠다고 한다
關於莎比納所說的危險	About the danger that Sabina is talking about	사비나가 말하는 위험에 대해
傳點大逃脫(2)	Great Escape Portal (2)	대탈출 포탈(2)
說會就此罷手	Tell him that you would quit from here	여기서 손을 떼겠다고 한다
傳點大逃脫(3)	Great Escape Portal (3)	대탈출 포탈(3)
都準備好了	I'm ready	준비됐다고 한다
稍等一下	Wait for a while	기다려달라고 한다
不自在的同盟	Uncomfortable Alliance	불편한 동맹
說接受提案	Tell him that you would accept the suggestion	제안을 수락한다고 한다
關於危險的交易	About the dangerous deal	위험한 거래에 대해
同伙(1)	All the Same (1)	한통속(1)
說不想做危險的事	Tell him that you don't want to do something dangerous	위험한 일은 하고 싶지 않다고 한다
同伙(2)	All the Same (2)	한통속(2)
說很危險，要就此打住	Tell him to quit since it's dangerous	이만 위험하니 그만두겠다고 한다
關於做這種事是否沒關係	About whether we could continue to do this	이런 일을 해도 괜찮은지에 대해
殘存的謊言	Surviving Lie	살아남은 거짓말
關於紀錄品	About the records	기록물에 대해
微小差異(1)	Small Difference (1)	작은 차이(1)
詢問該幫忙什麼	Ask him how you can help	무엇을 도우면 될 지 묻는다
說好像很危險，要就此打住	Tell him that you will leave since it seems dangerous	위험할 것 같으니 이만 가겠다고 한다
微小差異(2)	Small Difference (2)	작은 차이(2)
詢問該怎麼做	Ask him what to do	어떻게 하면 되는지 방법을 묻는다
微小差異(3)	Small Difference (3)	작은 차이(3)
說能收集到	Tell him that you would gather them	모아올 수 있다고 한다
微小差異(4)	Small Difference (4)	작은 차이(4)
腦中想起的真相	Surfacing Truth	떠오르는 진실
我會去破壞	I'll destroy it	파괴하겠다고 한다
關於過去的都市	About the city in the past	과거의 도시에 대해
偉大的首相	The Great Chancellor	위대한 재상
我會代替你去做	I will cover for you	대신 해주겠다고 한다
說拒絕做沒用的事	Tell him that you would reject irrelevant tasks	쓸떼없는 일은 거절하겠다고 한다
越發嚴重的動亂	Intensified Rampage	심해진 난동
說要幫忙除掉怪物	Tell him that you would help get rid of monsters	몬스터 처치를 돕겠다고 한다
清爽的工作	Refreshing Work	상쾌한 근무
我會回收回來	I'll retrieve it	회수해 오겠다고 한다
無法挽回的意外(1)	Irrevocable Accident (1)	돌이킬 수 없는 사고(1)
咒術的見解(1)	Magical Opinion (1)	주술적 견해(1)
關於石化霜的詛咒	About the curse of the Petrifying Frost	석화서리의 저주에 대해
咒術的見解(2)	Magical Opinion (2)	주술적 견해(2)
感覺哪裡不太對勁，拒絕這件事吧	Reject	왠지 꺼림칙하니 거절하자
凱爾利斯想知道真相	Kaliss Wants the Truth	칼리스는 진실을 원한다
說要去生火	I'll come back after I light up the bonfire	불을 피우고 오겠다고 한다
練金術士的價值	Value of the Alchemist	연금술사의 가치
關於石化的詛咒	About the curse of petrification	석화의 저주에 대해
有趣的標本	Interesting Copy	흥미로운 표본
說要帶過來	Tell him that you would bring it	가져 오겠다고 한다
實驗室破壞者	Lab Destroyer	실험실 파괴자
秘密交易(1)	Secret Trade (1)	비밀거래(1)
是凱爾利斯騎士團方面	I am on the same side with the Knights of Kaliss	칼리스 기사단 편이라고 한다
是王軍那一邊的	I am on the same side with the Kingdom Soldiers	왕국군 편이라고 한다
秘密交易(2)	Secret Trade (2)	비밀거래(2)
秘密交易(3)	Secret Trade (3)	비밀거래(3)
我會消滅滴水嘴怪	I will defeat Gargoyle	가고일을 처리하겠다고 한다
不好對付	They are too strong to face against	상대하기 버겁다고 한다
跟著盜墓者阿曼達進入大地要塞	Go to the Fortress of the Land by following the Grave Robber Amanda	도굴꾼 아만다를 따라 대지의 요새로 들어가세요
正在確認魔法陣	Checking the magic tile	마법진 확인 중
說要去找女神	I will go to the goddess	여신에게 가겠다고 한다
前往朝聖者之路	To Pilgrim's Way	순례자의 길로
抵達了加比婭女神所說的卡汀森林入口	Arrived at Kateen Forest as Goddess Gabija mentioned	가비야 여신이 이야기한 카틴 숲 입구에 도착했습니다
說現在無法使用魔力，詢問應該怎麼辦	What are you going to do if you can't use the spell?	마력을 쓰지 못하는데 어떻게 할 건지 묻는다
無法使用魔力的原因	Why the spell can't be used	마력을 못 쓰는 이유
支援兵力	Military Support	병력 지원
即使如此也想幫忙	I still want to help	그래도 도움을 주고 싶다고 한다
繼續走走過的路	Continue going your way	가던 길을 계속 간다
拒絕	Refuse	거절
都是因為蜂蜜(1)	It's the Honey (1)	꿀 때문이야(1)
要去看一下再回來	I'll check it out	살펴보고 오겠다고 한다
因為有點忙，還是拒絕吧	I'm busy so I'll pass	바쁘니까 거절하자
關於村莊	About the town	마을에 대해
都是因為蜂蜜(2)	It's the Honey (2)	꿀 때문이야(2)
我會試著去找	I'll take a look	한 번 찾아 보겠다고 한다
這樣事情就差不多都做完了，直接走吧	I've done enough so just go my way	이 정도면 할 일은 다 한것 같으니 그냥 간다
關於怪物與養蜂	About the monsters and bee farming	몬스터와 양봉에 대해
被毀掉的釀造業	Ruined Brewery	망쳐버린 양조업
我先告辭了	I'll get going then	그만 가보겠다고 한다
釀造業者的希望	Brewer's Last Hope	양조업자의 희망
試著安撫他冷靜	Calm down	진정하라고 달래 본다
關於其他啟示者	About the other Revelator	다른 계시자에 대해
找到了都勒傑所說的蜂蜜酒 	Found the mead that Dorjen asked you to bring	도르젠이 가져오라고 한 벌꿀술을 찾았습니다
甜蜜的復仇	Sweet Revenge	달콤한 복수
已經幫了該幫的，那我就先走一步了	I've helped enough so I'm leaving	도와줄 만큼 도와줬으니 자리를 뜬다
占領養蜂場的斯帕露娜絲	Apiary-invader Sparnas	양봉장을 장악한 스파르나스
把蜂蜜全吃掉的比特雷巨蜂	Honey-eating Biteregina	꿀을 전부 먹어치운 비테레지나
討厭危險的東西	Dislike for Danger	위험한 건 싫어
我會幫你整理周圍的怪物	I'll take care of the monsters around	주변의 몬스터를 정리해 주겠다고 한다
勸你最好別掉以輕心，回去的路上要小心	Be careful and don't let your guard down on your way back	긴장을 늦추지 말고 조심히 돌아가라고 충고한다
硬要僱用啟示者的理由	Reason behind hiring Revelators	굳이 계시자를 고용하려는 이유
要去確認怪物是否真的是被蜂蜜香氣引來的	I'll check if the monsters are really attracted to the scent of honey	몬스터가 정말 꿀 향기에 이끌리는지 확인해보겠다고 한다
關於祭壇	About the Altar	제단에 대해
會去確認比奇吳祭壇	I'll check Bichiu Altar	비치우 제단을 확인하겠다고 한다
比爾那森林的祭壇(1)	Altar of Vilna Forest (1)	빌나 숲의 제단(1)
要確認看看	I'll check	확인해보겠다고 한다
正在察看祭壇	Looking at the altar	제단을 살펴보는 중
比爾那森林的祭壇(2)	Altar of Vilna Forest (2)	빌나 숲의 제단(2)
最好去見祭司	Better meet the priest	사제를 만나보는 게 좋을 것 같다고 한다
請種田	Help My Farm Recover	농사를 짓게 해주세요
會幫你找農具	I will find the farm tools	농기구를 찾아 주겠다고 한다
甜甜的真好	Desirable Combs	달콤한게 좋아
會幫忙找	I'll get it	구해주겠다고 한다
播種好可怕	Too Scared to Sow	파종은 무서워
耕作地的秘密(2)	Secret of the Farmland (2)	경작지의 비밀(2)
