警戒兵	Sentinel	경계병
礦山所長	Mine Manager	광산 소장
信徒 亞德雷	Believer Adele	신도 아델레
竟然在頭上養香菇，真的很神奇吧？	Isn't it strange that mushrooms grow from their heads?	머리에 버섯을 키우다니 참 신기하죠?
信徒 皮勒基史	Believer Virgis	신도 비르기스
信徒 諾尤司	Believer Nojus	신도 노유스
維塞特	Vincent	빈센트
浮現的字句	Wispy Floating Words	떠오른 글귀
就算知道老人家我要用在什麼地方又能怎樣呢？	Why would an old man like me be trying to figure out what this does?	늙은이가 그걸 뭣에 쓰려는지 알아서 뭐하려고?
信徒托馬斯	Believer Domas	신도 도마스
信徒 普羅紐斯	Believer Bronius	신도 브로뉴스
信徒 猶勒卡	Believer Jurga	신도 유르가
安德伊村莊元老	Old Man of Andale Village	안데일 마을 원로
安德伊村莊神官	Andale Village Priest	안데일 마을 신관
安德伊村莊祭司	Andale Village Priest	안데일 마을 사제
安德伊村莊村長	Andale Village Headman	안데일 마을 촌장
信徒 奧奴泰	Believer Onute	신도 오누테
信徒 沙曼塔	Believer Samantha	신도 사만타
信徒卡基斯	Believer Kazis	신도 카지스
偏斜的王陵碑石	Broken Royal Mausoleum Tombstone	어그러진 왕릉 비석
王陵碑石	Royal Mausoleum Tombstone	왕릉 비석
王陵守護者	Royal Mausoleum Guardian	왕릉 수호자
被汙染的王陵守護者	Corrupted Royal Mausoleum Guardian	오염된 왕릉 수호자
安德伊村莊老人	Old Man of Andale Village	안데일 마을 노인
受傷的村民	Injured Villager	부상당한 마을 주민
王陵守護者的石像	Royal Mausoleum Guardian Stone Statue	왕릉 수호자의 석상
守護者的石像	Guardian Stone Statue	수호작의 석상
守護者石像	Guardian Stone Statue	수호자 석상
啟示的夢中是否有提到女神在什麼地方呢？	Did the goddess mention her whereabouts in a dream of revelation?	혹시 계시의 꿈에서 여신께서 어디 계시다고 말씀하시진 않던가요?
飾品商人猶勒斯	Accessory Merchant Jurus	악세서리 상인 유르스
巴奇斯的靈魂	Varkis' Spirit	바키스의 영혼
凱勒達	Gerda	게르다
賽拉彼納斯	Serapinas	세라피나스
馬勒傑利尤思	Margellius	마르젤리유스
你去特洛茲空地設置陷阱吧	Go to the Drose Empty Lot and set up the trap	드로즈 공터로가서 덫을 놓아봐
阿爾費納	Albinas	알비나스
怪物應該不會把全部的皮革都給吃掉吧？	What if the monsters have eaten it?	설마 몬스터들이 먹어치우거나 그런 건 아니겠지요?
奎波爾 特理亞	Kupole Trija	큐폴 트리아
奎波爾 賽力亞	Kupole Serija	큐폴 세리야
流動商人卡西亞斯	Traveling Merchant Cassius	행상인 카시야스
流動商人安德列斯	Traveling Merchant Andres	행상인 안드레스
流動商人高梅斯	Traveling Merchant Gomez	행상인 고메스
德斯	Tess	테스
採藥者塔拉斯	Herbalist Talas	약초꾼 탈라스
克洛亞村莊居民	Croa Village Resident	크로아 마을 주민
實驗被害人皮爾斯	Experiment Victim Fils	실험 피해자 필스
實驗被害人希爾貝斯	Experiment Victim Hilbeth	실험 피해자 힐베스
安妮	Anne	안네
亞倫阿斯	Allonas	알론아스
村長的孫女	Elder's Granddaughter	촌장의 손녀
修道士阿貝斯	Monk Abels	수도사 아벨스
魔法師次級大師	Wizard Submaster	위자드 서브 마스터
這些是在諾巴哈本院內發現的資料嗎？	Are these materials you found inside the Novaha Monastery?	이것들이 노바하 본원에서 발견하신 자료들입니까?
流動商人亞爾雷斯	Traveling Merchant Ales	행상인 알레스
流動商人柯倫斯	Traveling Merchant Krens	행상인 크렌스
克羅拉斯	Kornas	코느라스
羅娜	Rona	로나
你要親自製作給寵物的飼料嗎？	Do you wanna try and make some food for your companion?	컴패니언에게 줄 먹이를 직접 만들어 보겠나?
啟示者米歇爾	Revelator Mihail	계시자 미하일
迷失的靈魂	Lost Spirit	헤매는 영혼
微弱的貓頭鷹雕像	Frail Owl Sculpture	미약한 부엉이 조각상
貼在裝置上的紙條	Device Note	장치에 붙어 있는 메모지
金塔斯的靈魂	Gintas' Spirit	긴타스의 영혼
柯拉佩達市長的靈魂	Klaipeda Mayor's Spirit	클라페다 시장의 영혼
祭司拉美莉耶	Priest Ramelie	사제 라멜리에
冤魂	Innocent Spirit	억울한 영혼
跑腿者	Errand Man	심부름꾼
路克索那內戰1章	1st Page of the Roxona Conflict	록소나 내전 1장
現在要試試看嗎？	Why don't you try it out?	지금 한 번 해보시겠어요?
可以幫詢問那個人何時可以把我們安置在這裡呢？	Could you ask that person how much longer he's going to make us stand here?	우릴 언제까지 여기 세워둘 생각인지 저 사람에게 물어봐 주시겠소?
必須創造	Must be filled	작성해야함
緊急動力裝置	Emergency Power Source	비상 동력장치
金石學者 黛爾特蘭	Epigraphist Deltran	금석학자 델트란
採藥者 塔拉斯	Herbalist Talas	약초 탈라스
史學家 葛利努斯	Historian Grenus	사학자 그리누스
開墾民 羅德納斯	Settler Rodonas	개척민 로도나스
拉泰露斯	Laterous	라테루스
流浪信徒的靈魂	Wandering Believer's Soul	떠도는 신도의 영혼
朝聖者 賽羅尼亞	Pilgrim Seronia	순례자 세로니야
追隨者 內特爾諾斯	Follower Nedluss	추종자 네들러스
啟示者庫奈	Revelator Connor	계시자 코너
農民 戴爾琉瑪	Farmer Deluma	농민 델류마
祭司 蘿芙莉	Priest Rovli	사제 로블리
女信徒 德蕾卡	Believer Dreka	여신도 드레카
和這些膽小鬼是要怎麼去到歐勒夏啊？	How am I supposed to get to Orsha with these cowards?	이런 겁쟁이들이랑 어떻게 오르샤까지 가지?
這樣你還想挑戰嗎？	But does your pounding heart command you still?	그래도 도전해 보겠는가.
魔法師梅西歐拉斯	Mage Melchioras	마법사 멜히오라스
追隨者安德雷雅	Follower Andrea	추종자 안드레아
追隨者路歐達斯	Follower Nuodas	추종자 누오다스
追隨者約志	Follower Wedge	추종자 웨지
如果方便的話，能請你消滅小豬嗎？	Would you please help me and clear out a few Pags?	괜찮으시다면 페이그들을 퇴치해 주시지 않겠습니까?
不說出你的目的，卻跟我要東西，只會更為難我而已。	Why are you pestering me when you won't even tell me what it is for?	목적도 말하지 않으면서 무엇을 내놓으라고 나를 괴롭히는 것인가.
神秘的少女	Mysterious Girl	신비한 소녀
女神拉達	Goddess Lada	여신 라다
蛤？	What?	네?
奎波爾 艾雷那	Kupole Alena	큐폴 알레나
跟你一起來的這位就是救援者嗎？	Then the person with you right now is the Revelator?	그럼 옆에 함께 오신 분이 구원자이신가요?
達莉雅的靈魂	Dalia's Spirit	달리아의 영혼
到底是覬覦著什麼，這樣執著地一而再再而三來犯。	What are they searching that makes them so persistent?	대체 뭘 노리고 이렇게 끈질기게 덤벼오는 걸까요?
您正在進行地下城新手教學啊？	Are you doing the instanced dungeon tutorial?	인스턴스 던전에 대한 튜토리얼을 진행 중이시군요?
到底有沒有把我這個村長放在眼裡？	Where's the respect for the village chief?	도대체 촌장을 뭘로 알고 이러는거야?
那帕里斯	Napalis	나팔리스
雷那達斯	Lanaldas	래날다스
村莊青年	Town Youth	마을 청년
獵人莫吉斯	Hunter Modis	사냥꾼 모지스
多虧您的幫忙	Thanks to your help 	도와주신 덕에 
啟示者普丹	Revelator Pudhin 	계시자 푸덴
繼承者烏克奴思	Loremaster Ugnius	전승자 우그뉴스
繼承者奈里烏思	Loremaster Narius	전승자 내리우스
啟示者尼奇	Revelator Nichi	계시자 니치
破壞魔族的裝置了嗎？{nl}	Is the Demon Device destroyed?	마족의 장치가 파괴되었습니까?{nl}
嗯？	Hm?	흠?
繼承者埃莫艾利斯	Loremaster Emmanuelis	전승자 애마누엘리스
如果可以，能請您再幫忙一下嗎？	Would you be willing to help?	괜찮으시면 조금 더 도와주실 수 있으십니까?
希來尼亞‧歐德爾	Cyrenia Odell	시레니아 오델
奇怪的布袋	Strange Sack	이상한 자루
在布袋內發現了紙條。	Found a letter in the sack	자루 안에서 쪽지를 발견했다.
布袋內的紙條	The letter in the sack	자루 안의 쪽지
亞夏克地牢	Ashaq Underground Prison	아샤크 지하 감옥
水晶礦山的啟示	Revelation of Crystal Mine	수정광산의 계시
泰內聖堂的啟示	Revelation of Tenet Church	테넷 성당의 계시
荊棘林的啟示	Revelation of Kvailas Forest	가시숲의 계시
札卡里耶爾王陵的啟示	Revelation of Royal Mausoleum	자카리엘 왕릉의 계시
公會活動	Guild Event	길드 이벤트
奎波爾伺服器	Kupole Server	큐폴 서버
抽寶石商人	Gem Draw Merchant	젬 뽑기 상인
shutdown	Shutdown	셧다운
270_315_一般裝備販賣商人	270_315_Normal Equipment Merchant 	270_315_일반 장비 판매 상인
釣魚管理員	Fishing Manager	낚시 관리인
隊伍戰鬥聯賽 巴利斯	Team Battle League Valis	팀 배틀 리그 발리스
副本訊息	Dungeon Message 	인던 메시지
傭兵委託所的委託	Mercenary Post Receptionist	용병 의뢰소의 의뢰
接受委託	Accept the mission	의뢰를 수락한다
我很忙，沒辦法接受委託	I won't accept the mission since I'm busy	바빠서 의뢰를 받을 수 없다고 한다
去找騎士堤塔斯(1)	Talk to Knight Titas (1)	기사 티타스에게(1)
我要回去找堤塔斯	Return to Knight Titas	티타스에게 돌아가겠다고 한다
去找騎士堤塔斯(2)	Talk to Knight Titas (2)	기사 티타스에게(2)
拒絕	Decline	거절한다
尋找偵察兵(1)	Talk to the Scout (1)	정찰병에게(1)
我只是來轉達集合命令而已	I'm just here to tell the troops to assemble	집합 명령을 전달해 주러 왔을 뿐이라고 한다
立刻逃跑	Quickly run away	재빨리 도망간다
尋找偵察兵(2)	Talk to the Scout (2)	정찰병에게(2)
我會幫忙尋找行李	I'll find your missing belongings	짐 꾸러미를 대신 찾아 주겠다고 한다
在找到之前我會一直等下去	I'll wait until you find it	찾을 때 까지 기다리겠다고 한다
請點擊'M'鍵確認地圖。	Check the map by pressing the M key	'M' 키를 눌러 지도를 확인하세요
去找騎士堤塔斯(3)	Talk to Knight Titas (3)	기사 티타스에게(3)
我知道了	Alright	알겠다고 한다
結束	Cancel	종료
告訴搜查兵	Talk to the Search Scout	수색병에게
轉達集合命令的事情	There is an order to assemble	집합 명령이 있음을 알려준다
拉伊摩那斯的委託	Laimonas' Favor	라이모나스의 부탁
詢問發生什麼事情	What will happen next?	어떤 일이 생기는지 묻는다
我沒有任何興趣	I'm not interested	관심 없다고 한다
關於女神像	About the Goddess Statues	여신상에 대해
前往柯拉佩達的路(1)	The Road to Klaipeda (1)	클라페다로 가는 길(1)
前往柯拉佩達的路(2)	The Road to Klaipeda (2)	클라페다로 가는 길(2)
我願意幫忙	I'll lend my strength to you	힘을 보태 주겠다고 한다
進入柯拉佩達	Enter Klaipeda	클라페다로 들어간다
去找戰鬥組長(1)	Talk to the Battle Commander (1)	전투 조장에게(1)
我會幫忙任務	I'll help out with your missions	임무를 돕겠다고 한다
我會等待	I'll wait then	기다리겠다고 한다
關於怪物	About the monsters	몬스터에 대해
去找戰鬥組長(2)	Talk to the Battle Commander (2)	전투 조장에게(2)
同意	Accept	수락
紛爭的開端	The Beginning of Trouble	말썽의 시작
我會去找找看	I'll try to look for them	찾아 보겠다고 한다
我很快就會回來	They will be back soon	곧 돌아올 거라고 한다
可疑的徵兆	Something Fishy	수상한 낌새
我會幫忙去找	I'll take a look for you	대신 찾아 보겠다고 한다
營地的危機	Camp Crisis	캠프의 위기
我沒看到那種東西	I didn't see anything like that	그런 건 보지 못했다고 한다
完全不在乎	Not really my problem	신경쓰지 않는다
東邊森林的威脅	Threats of the Eastern Woods	동쪽 숲의 위협
會答應這個提議	I will accept your suggestion	제안에 응하겠다고 한다
等到解決為止	I will wait until the problem is solved	해결 될 때 까지 기다린다
警戒兵的委託(1)	Sentinel's Favor (1)	경계병의 부탁(1)
說會去消滅卓柏卡布拉	I'll defeat the Chupacabra	츄파카브라를 처치하겠다고 한다
那種事情自己看著辦吧	You should take care of it yourself	그런 건 알아서 하라고 한다
阿拉斯部隊的作用	The role of Aras' Troops	아라스 부대의 역할
警戒兵的委託(2)	Sentinel's Favor (2)	경계병의 부탁(2)
我會幫忙收復補給地	I'll get the Supplies Camp back	보급지를 되찾아 주겠다고 한다
無法稱心如意的(3)	Not as Intended (3)	뜻대로 되지 않는(3)
提議消滅巨大灰色卓柏卡布拉	I'll defeat the Large Gray Chupacabra	대형 회색 츄파카브라를 처치하겠다고 제안한다
無法稱心如意的(4)	Not as Intended (4)	뜻대로 되지 않는(4)
我會去消滅韋伯	I'll defeat the Weavers	위버를 처치하겠다고 한다
阿拉斯的委託(1)	Aras' Commission (1)	아라스의 의뢰(1)
我會從波波小獅王身上尋找線索	I'll find something that might be a clue from the Popolions	포포리온에게서 단서가 될 만한 것을 찾겠다고 한다
我會負責去進行	I'll do it later	나중에 하겠다고 한다
阿拉斯的委託(2)	Aras' Commission (2)	아라스의 의뢰(2)
我能幫忙進行確認	I'll take a look	확인해 줄 수 있다고 한다
那種事情自己看著辦吧	I think you should take care of it yourself	그 정도는 알아서 하라고 말한다
關於布貝	About the Vubbes	부베에 대해
補給兵的委託(1)	Supply Soldier's Favor (1)	보급병의 부탁(1)
提議收集韋伯的腳趾甲	I'll help you collect Weaver Claws	위버의 발톱을 모아주겠다고 제안한다
補給兵的委託(2)	Supply Soldier's Favor (2)	보급병의 부탁(2)
提議消滅波庫布	I'll deal with the Pokubus	포쿠부를 처치해 주겠다고 제안한다
不需要等，我會負責去消滅布貝鬥士	Let me defeat the Vubbe Fighter instead of waiting	기다릴 것 없이 부베 투사를 처치하겠다고 한다
我會等待新增兵力的到來	I am going to wait for backup	추가 병력을 기다리겠다고 한다
進入礦山村莊	Enter the Miners' Village	광산 마을 진입
會前往礦山村莊	I would like to go to the Miners' Village	광산 마을로 가겠다고 한다
利用時間進行準備	Give me some time to prepare	잠시 준비할 시간을 갖는다
拯救村民	Rescue the Villagers	마을 주민 구출
拯救村莊居民後，說打算去尋找救贖之光	Rescue the villagers and then search for the Light of Salvation	마을 주민을 구하고 나서 구원의 빛을 찾겠다고 한다
停止	Quit	그만둔다
尼多普巴伊的襲擊	Netherbovine's Attack	네더보바인의 습격
被封鎖的區域的魔族	Demons of the Closed Area	폐쇄된 구역의 마족
石匠皮波堤的朋友	Stonemason Pipoti's Friend	석공 피포티의 친구
我會去幫忙尋找同伴	I will find your colleague	동료를 찾아 주겠다고 한다
我很快就會回來	I will come back soon	금방 돌아올 것이라고 한다
石匠家族的寶物地圖(1)	Treasure Map of the Stonemason's Family (1)	석공가문의 보물지도(1)
石匠家族的寶物地圖(2)	Treasure Map of the Stonemason's Family (2)	석공가문의 보물지도(2)
石匠家族的寶物地圖(3)	Treasure Map of the Stonemason's Family (3)	석공가문의 보물지도(3)
石匠家族的寶物地圖(4)	Treasure Map of the Stonemason's Family (4)	석공가문의 보물지도(4)
探險家的委託(1)	Adventurer's Favor (1)	탐험가의 부탁(1)
能夠找到	I can find it	찾아줄 수 있다고 한다
探險家的委託(2)	Adventurer's Favor (2)	탐험가의 부탁(2)
永遠的探險(1)	The Eternal Adventure (1)	영원한 탐험(1)
就這樣離開吧	Leave	그만 떠난다
尋找巴奇斯的資料中	Looking for the documents of Varkis	바키스의 자료를 찾는 중
永遠的探險(2)	The Eternal Adventure (2)	영원한 탐험(2)
尋找巴奇斯藏起來的材料中	Looking for the documents Varkis hid	바키스가 숨겨둔 자료 찾는 중
上面寫著阿帕堤懸崖裡藏有下個材料	It is written that the next document is hidden at Apatinis Cliff	아파티 벼랑에 다음 자료를 숨겨 두었다고 적혀 있습니다
永遠的探險(3)	The Eternal Adventure (3)	영원한 탐험(3)
追思著他們(1)	In their Honor (1)	그들을 추모하며(1)
我願意幫忙	I'll accept your request	부탁을 들어 주겠다고 한다
我很忙	I'm busy	바쁘다고 한다
追思著他們(2)	In their Honor (2)	그들을 추모하며(2)
太貴了	Tell him that it's too expensive	너무 비싸다고 한다
追思著他們(3)	In their Honor (3)	그들을 추모하며(3)
我要去一趟	I'll go there	다녀오겠다고 한다
親自去做會比較好	I think you better do it yourself	직접 하는 게 더 좋을 것 같다고 한다
空間縫隙中的鑰匙	The Keys Within the Spatial Gap	공간의 틈새 속 열쇠
我會去找鑰匙	I'll find the keys	열쇠를 찾겠다고 한다
到此為止吧	I'd like to stop	그만 두겠다고 한다
邪靈祭司的符咒[邪靈祭司轉職]	Charm of a Bokor [Bokor Advancement]	보코르의 부적[보코르 전직]
去收集怪獸血液	Go and gather monster's blood	몬스터의 혈액을 모으러 간다
TP商店使用方法	How to Use the TP Shop	TP샵 이용법
嘗試釣魚	Try Fishing	낚시 해보기
傳說卡片片欄位封印解除	Unlock Legend Card Slot	레전드 카드 슬롯 봉인 해제
無法稱心如意的(1)	Not as Intended (1)	뜻대로 되지 않는(1)
我會幫忙回收補給品	I'll help you retrieve the supplies	보급품 회수를 돕겠다고 제안한다
封鎖區域的結界石	Crystal Wall of the Closed Area	폐쇄된 구역의 결계석
誠實的記錄官(1)	Crazy Archivist (1)	실성한 기록관(1)
如果遇見的話，就會帶回來	I will bring him back if I find him	만약 보게 된다면 데려다 주겠다고 한다
安慰說能夠找到	I will search for him	찾을 수 있을 거라고 위로한다
札卡里耶爾的眼睛(2)	Eyes of Zachariel (2)	자카리엘의 눈(2)
我要點火	I will light the signal	불을 피우겠다고 한다
這樣會有負擔	It feels like a burden	부담스럽다고 한다
史學家凱佩克(1)	Historian Kepeck (1)	사학자 케펙(1)
史學家的小技倆	Historian's Trick	사학자의 꼼수
觀察周圍	Look around	주위를 둘러본다
史學家凱佩克(3)	Historian Kepeck (3)	사학자 케펙(3)
雖然不清楚情況，但我會幫忙	I'll help even though you don't know what it is	뭔진 몰라도 일단 도와주겠다고 한다
我並不是來幫忙工作的	I didn't come here to help	일을 도와주러 온 것이 아니라고 한다
記錄中	Recording	기록 중
消失的研究員(1)	Missing Researcher (1)	사라진 연구원(1)
直接走吧	Just go	그냥 간다
妨礙營業(1)	Business Interference (1)	영업 방해(1)
回去吧	Just go back	그냥 돌아가자
妨礙營業(2)	Business Interference (2)	영업 방해(2)
接受提議	Accept the suggestion	제안을 받아 들인다
關於奇怪的結界	About the strange barrier	이상한 결계에 대해
消失的研究員(2)	Missing Researcher (2)	사라진 연구원(2)
我要去拯救艾伊里奈	I'll save Airine	아이리네를 구하러 가겠다고 한다
去找傭兵吧	Call the mercenary	용병을 부르라고 한다
消失的研究員(3)	Missing Researcher (3)	사라진 연구원(3)
我會盡快解除結界裝置，稍微忍耐一下吧	Inform her to hold on until the barrier devices are deactivated	결계장치를 빨리 풀 테니 조금만 참으라고 한다
戴志克說會幫忙	Inform her that Dezic will help	데지크가 구해 줄 것이라고 한다
我會去捕捉薩厄加收集線索	I'll gather some clues by defeating Sauga	사우가를 잡아 단서를 모아보겠다고 한다
關於失蹤	About the disappearances	실종에 대해
消失的研究員(4)	Missing Researcher (4)	사라진 연구원(4)
準備保護艾伊里奈	Prepare to protect Airine	아이리네를 지킬 준비를 한다
逃跑	Run away	도망간다
消失的研究員(5)	Missing Researcher (5)	사라진 연구원(5)
一路順風	Say goodbye	잘 돌아가라고 인사한다
我認為稍微休息一下會比較好	Tell her that it would be better to take some rest here	조금만 쉬었다 가는 게 좋을 것 같다고 한다
新王陵研究員的委託(1)	New Researcher's Favor (1)	신입 왕릉 연구원의 부탁(1)
我會幫忙找	I'll find it for you	대신 찾아 주겠다고 한다
鼓勵說好好加油	Cheer up	힘내라고 격려한다
關於大王關口	About the Gate of the Great King	대왕의 관문에 대해
新王陵研究員的委託(2)	New Researcher's Favor (2)	신입 왕릉 연구원의 부탁(2)
新王陵研究員的委託(3)	New Researcher's Favor (3)	신입 왕릉 연구원의 부탁(3)
誠實的記錄官(2)	Crazy Archivist (2)	실성한 기록관(2)
這裡太危險，還是快點回去吧	Persuade him to go back since this place is too dangerous	그래도 이 곳은 위험하니 돌아가자고 설득한다
