凱帕	Kepa	케파
藍色漁人怪	Blue Fisherman	푸른 피셔맨
綠色漁人怪	Green Fisherman	초록 피셔맨
赤紅漁人怪	Red Fisherman	붉은 피셔맨
燈籠蘑菇精	Gribaru	그리바루
大燈籠蘑菇精	Big Gribaru	빅그리바루
荊棘林蘑菇精	Thorn Forest Griba	가시숲 그리바
梅修花怪	Matsum	메슘
大梅修花怪	Matsuma	메슘마
分身米爾堤斯	Mirtis Ego	분신 미르티스
莫雷克	Molich	몰렉
迷你蘑菇精	Mini Griba	미니 그리바
綠色蘑菇精	Green Griba	초록 그리바
赤紅蘑菇精	Red Griba	붉은 그리바
黃色蘑菇精	Yellow Griba	노란 그리바
巨大赤紅蘑菇精	Large Red Griba	대형 붉은 그리바
大蘑菇精	Big Griba	빅 그리바
藍色大蘑菇精	Big Blue Griba	푸른 빅 그리바
綠色大蘑菇精	Big Green Griba	초록 빅 그리바
赤紅大蘑菇精	Big Red Griba	붉은 빅 그리바
凱帕長老	Old Kepa	늙은케파
凱斯巴斯凱帕長老	Gelsvas Old Kepa	겔스바스 늙은케파
暗黑凱帕長老	Black Old Kepa	검은 늙은케파
赤紅凱帕長老	Red Old Kepa	붉은 늙은케파
巨大凱帕長老	Large Old Kepa	대형 늙은케파
大花草	Rafflesia	라플레시아
綠色大花草	Green Rafflesia	초록 라플레시아
暗黑大花草	Black Rafflesia	검은 라플레시아
赤紅大花草	Red Rafflesia	붉은 라플레시아
拉普利	Raffly	라플리
藍色拉普利	Blue Raffly	푸른 라플리
灰色拉普利	Gray Raffly	회색 라플리
暗黑拉普利	Black Raffly	검은 라플리
利迪梅得	Ridimed	리디메드
藍色利迪梅得	Blue Ridimed	푸른 리디메드
暗黑利迪梅得	Black Ridimed	검은 리디메드
赤紅利迪梅得	Red Ridimed	붉은 리디메드
南瓜精	Sakmoli	사크몰리
綠色南瓜精	Green Sakmoli	초록 사크몰리
橘色南瓜精	Orange Sakmoli	주홍 사크몰리
暗黑南瓜精	Black Sakmoli	검은 사크몰리
利卡烏斯	Rikaus	리카우스
綠色幻影亡靈	Green Apparition	초록 어패리션
暗黑幻影亡靈	Black Apparition	검은 어패리션
斯佩特拉	Spectra	스펙트라
暗黑斯佩特拉	Black Spectra	검은 스펙트라
巨大惡靈	Giant Specter	대형 스펙터
蠱惑惡靈	Specter of Deceit	현혹의 스펙터
綠色利卡烏斯	Green Rikaus	초록 리카우스
斯佩特隆	Spectron	스펙트론
惡靈君主	Specter Monarch	스펙터 군주
刺球怪	Thornball	던볼
大刺球怪	Big Thornball	빅던볼
樹精	Woodspirit	우드스피릿
藍色樹精	Blue Woodspirit	푸른 우드스피릿
綠色樹精	Green Woodspirit	초록 우드스피릿
樹林妖精	Woodsman	우드맨
藍色樹林妖精	Blue Woodsman	푸른 우드맨
灰色樹林妖精	Gray Woodsman	회색 우드맨
赤紅樹林妖精	Red Woodsman	붉은 우드맨
黑暗史萊姆	Dark Slime	다크슬라임
羅斯拉特	Rusrat	러스라트
梅達奇亞	Medakia	메다키아
霍倫	Wheelen	휠렌
霍倫3	Wheelen 3	휠렌3
瑪厄洛斯	Mauros	마우로스
樹根貝里	Truffle	트리펠리
樹根貝里亞	Trufflelia	트리펠리아
佛蘭普	Bramble	브람블
佛蘭普的分身	Bramble Ego	브람블의 분신
維爾洛	Willow	윌로우
維爾洛那	Willowna	윌로우나
粉紅小花怪	Hanaming	하나밍
卓柏卡布拉	Chupacabra	츄파카브라
灰色卓柏卡布拉	Gray Chupacabra	회색 츄파카브라
巨大灰色卓柏卡布拉	Large Gray Chupacabra	대형 회색 츄파카브라
黃色卓柏卡布拉	Yellow Chupacabra	노란 츄파카브라
波波小獅王	Popolion	포포리온
薩厄加	Sauga	사우가
薩厄加斯	Saugas	사우가스
天蠍	Scorpion	스콜피온
吞吐利亞	Tontulia	톤투리아
吞吐斯	Tontus	톤투스
貝卡拉貝	Vekarabe	베카라베
賈沛圖	Geppetto	제페토
普巫葛	Boowook	부우크
貝亞卡拉斯	Bearkaras	베아카라스
皮諾	Pino	피노
頭盔蟲	Helmet Bug	투구벌레
寇里妖花	Coliflower	콜리플라워
寇里妖花露	Coliflowerr	콜리플라워르
畢卡拉斯	Vikaras	비카라스
柯卡特里斯	Cockatrice	코카트리스
墳墓狗	Tombdog	툼독
吉努特卡斯	Zinutekas	지누테카스
波庫布	Pokubu	포쿠부
灰色波庫布	Gray Pokubu	회색 포쿠부
地奴泰那	Zinutena	지누테나
拉屋地奴泰那	Lauzinutena	라우지누테나
丹德爾	Dandel	단델
蠟燭蜘蛛	Candle Spider	양초거미
藍色蠟燭蜘蛛	Blue Candle Spider	푸른 양초거미
黃色蠟燭蜘蛛	Yellow Candle Spider	노란 양초거미
屍體花	Corpse Flower	시체꽃
藍色屍體花	Blue Corpse Flower	푸른 시체꽃
綠色屍體花	Green Corpse Flower	초록 시체꽃
飛天青蛙	Winged Frog	날개 개구리
綠色飛天青蛙	Green Winged Frog	초록 날개 개구리
灰色飛天青蛙	Gray Winged Frog	회색 날개 개구리
地錢苔	Liverwort	우산이끼
地錢苔v2	Liverwort v2	우산이끼v2
竹葉蟲	Leaf Bug	잎방개
地下墓穴竹葉蟲	Catacombs Leaf Bug	카타콤 잎방개
地錢苔王	King Liverwort	킹 우산이끼
不祥的地錢苔王	Unfortunate Liverwort	불길한 킹 우산이끼
薩拉米恩	Salamion	살라미온
沙琳迪	Salindy	살린디
沙爾倫	Salun	살룬
墓地青苔泥人	Gravegolem	묘지골렘
德雷克	Drake	드레이크
綠色德雷克	Green Drake	초록 드레이크
暗黑德雷克	Black Drake	검은 드레이크
大柯卡特里斯	Big Cockatrice	빅 코카트리스
綠色柯卡特	Green Cockat	초록 코카트
赤紅柯卡特	Red Cockat	붉은 코카트
賽夸伊亞	Sequoia	세콰이아
藍色賽夸伊亞	Blue Sequoia	푸른 세콰이아
克洛提德	Corrupted	코럽티드
藍色克洛提德	Blue Corrupted	푸른 코럽티드
奴德克奇	Bagworm	누덕고치
奴德克奇特	Bagworm	누덕고치트
賽夸伊亞的火焰	Sequoia Flame	세콰이아의 불길
努德鉤子	Old Hook	누덕 갈고리
樹妖	Stumpy Tree	몽당 나무
地下墓地青苔泥人	Catacomb Gravegolem	카타콤 묘지골렘
根鼠	Root Mole	뿌리두더쥐
波伊咪	Poiming	포이밍
樹根田鼠	Root of the Tree Mole	나무뿌리 두더지
米爾堤斯之眼	Eye of Mirtis	미르티스의 눈
巨大米爾堤斯之眼	Eye of Great Mirtis	대형 미르티스의 눈
石頭	Stone	돌
布貝消滅用炸彈	Vubbe Extermination Bomb	부베 박멸용 폭탄
定時炸彈 (計分地下城專用)	Time Bomb (score dungeon only)	시한폭탄 (스코어던전 전용)
定時炸彈	Time Bomb	시한폭탄
OBB石頭	OBB stone	OBB돌
男魔法師	Male Wizard	남자 마법사
女魔法師	Female Wizard	여자 마법사
被破壞的封印	Damaged Seal	파손된 봉인
罪惡的象徵	Symbol of Sin	죄악의 상징
(臨時)監獄管制裝置	(Temporary) Prison Control Device	(임시)감옥 통제 장치
倒下的警備兵	Collapsed Guard	쓰러진 경비병
傭兵	Mercenary	용병
幽靈士兵	Ghost Soldier	유령 병사
逃兵	Deserter	탈영병
癲狂症戰鬥兵	Lunatic Soldier	광증걸린 전투병
被捆綁的戰鬥員	Tied Combatant	묶인 전투원
傭兵將校	Mercenary Officer	용병 장교
傭兵隊長	Condottiere	용병 대장
盾牌傭兵	Shield Mercenary	방패 용병
幽靈盔甲	Ghost Armor	유령 갑옷
巨大幽靈盔甲	Large Ghost Armor	대형 유령 갑옷
信徒幽靈	Follower Ghost	신도 유령
幽靈少年	Boy Ghost	유령 소년
幽靈大嬸	Madam Ghost	유령 아줌마
幽靈小姐	Ghost Uncle	유령 아저씨
信徒幽靈首領	Follower Ghost Leader	신도 유령 수장
信徒幽靈(分身)	Follower Ghost (Alter Ego)	신도 유령(분신)
尖角三眼怪	Three-Eyed Horn	뿔 세눈박이
羽翼三眼怪	Three-Eyed Wing	날개 세눈박이
信徒	Follower	신도
殭屍重步兵	Heavy Infantry Zombie	좀비 중보병
魔法書	Magic Book	매직북
半生不熟的南瓜	Unripe Pumpkin	덜 익은 호박
死得好的洋蔥	Well Die Onion	잘 죽는 양파
血多的洋蔥	Large HP Onion	피통 큰 양파
南瓜靶子	Amber Target	호박 타겟
柵欄	Stake Stockades	방책
防守守護物	Defense Guardian	디펜스 수호물
巴巴烏吉斯	Babauzi	바바우지스
羅紗殭屍	Nachi Zombie	나사 좀비
殭屍狂劍士	Zombie Berserker	좀비 광전사
蠟燭殭屍	Candle Zombie	양초 좀비
殭屍弓箭手	Zombie Shooter	좀비 궁수
輪椅殭屍	Wheelchair Zombie	휠체어 좀비
高階布貝弓箭手	High Vubbe Archer	하이 부베 궁수
吸血蝙蝠	Desmodus	데스모두스
珍寶布貝	Treasure Vubbe	트레저 부베
布貝掠奪者	Vubbe Thief	부베 약탈자
赤紅布貝掠奪者	Red Vubbe Robber	붉은 부베 약탈자
藍色布貝掠奪者	Blue Vubbe Thief	푸른 부베 약탈자
布貝礦夫	Vubbe Miner	부베 광부
赤紅布貝礦夫	Red Vubbe Miner	붉은 부베 광부
藍色布貝礦夫	Blue Vubbe Miner	푸른 부베 광부
巨大布貝礦夫	Large Vubbe Miner	대형 부베 광부
布貝弓箭手	Vubbe Archer	부베 궁수
赤紅布貝弓箭手	Red Vubbe archer	붉은 부베 궁수
眼睛	Fine Observation	눈팅이
眼珠	Eye	눈까리
監獄禁卒	Prison Guard	감옥 간수
聖殿十字軍追隨者A1	Paladin Follower A1	팔라딘 추종자A1
聖殿十字軍追隨者A2	Paladin Follower A2	팔라딘 추종자A2
聖殿十字軍追隨者A3	Paladin Follower A3	팔라딘 추종자A3
爆發地雷	Explosion Mine	폭발 지뢰
猛毒地雷	Toxic Mine	맹독 지뢰
對人地雷	Antipersonnel Mines	대인 지뢰
煉獄地雷	Hell Mine	불지옥 지뢰
村莊居民	Villager	마을사람
小天使像	Baby Angel Statue	아기천사상
大廳石像	Hall Statue	홀 석상
隱形觸發器怪物型	Hidden Trigger Monster Type	히든 트리거 몬스터형
貓頭鷹雕像	Owl Sculpture	부엉이 조각상
透明物件	Transparent Object	투명 오브젝트
火球	Fire Ball	파이어 볼
自走炮大龜殼	Armed Tortoise Shell Large	자주포 거북 껍질 대
自走炮龜殼	Armed Tortoise Shell	자주포 거북 껍질
男叛教者(3D)	Male Apostate (3D)	남자 배교자(3D)
女叛教者(3D)	Female Apostate (3D)	여자 배교자(3D)
水晶	Modification	수정
鐵甲殘魔	Abomination	어보미네이션
高階布貝鬥士	High Vubbe Fighter	하이 부베 투사
怪物法師	Monster Wizard	몬스터 위저드
砲台(臨時)	Battery (temporary)	포대(임시)
冰塊	Block of Ice	얼음 덩어리
冰柱	Pillar of Ice	얼음 기둥
營火	Bonfire	모닥불
地雷	Mine	지뢰
大盾	Pavise	파비스
零度盾牌	Subzero Shield	서브제로쉴드
骰子	Dice	주사위
投石器	Catapult	투석기
蝶林	Thicket of Butterfly	나비 덤불
荊棘	Bramble Bush	가시덤불
劍練習台	Sword Pell	검 연습대
誘餌	Bait	미끼
打擊物件	Hit object	타격오브젝트
長臂樹怪	Long-Branched Tree	긴팔 나무
勒多	Rocktor	락터
貝奴凱洛斯	Venucelos	베누켈로스
墓地青苔泥人	Cemetery Golem	묘지 골렘
凱帕奇樹妖	Kepa Chieftain	케파치프틴
波亞塔	Poata	포아타
鐵甲殭屍	Deadborn	데드본
火焰蜥蜴王	Salamander	샐러맨더
薩爾提斯托	Saltistter	살티스터
奇葛拉斯	Ginklas	긴클라스
石鯨怪	Stone Whale	석화고래
毒魔蛙圖圖	Tutu	투투
約納喬雷	Yonazolem	요나졸렘
神燈魔神	Master Genie	마스터 지니
比特雷巨蜂	Biteregina	비테레지나
伊提斯大嘴獸	Iltiswort	일티스워트
紅樹林巨獸	Giant Red Wood Goblin	자이언트 레드 우드
雷普斯	Lepus	레푸스
蘑菇卡利亞	Mushcaria	머슈카리아
切波勒	Chafer	체이퍼
魔龍凱拉斯	Gaigalas	가이갈라스
王座大蜘蛛	Throneweaver	쓰론위버
火暴地鼠獸	Bebraspion	베브라스피온
潮濕的蘑菇沃特	Soggy Mushwort	눅눅한 머쉬워트
斯帕勒那絲	Sparnas	스파르나스
瑪因洛德	Mineloader	마인로더
拉查托特	Rajatoad	라자토드
鬼影凱伊洛	Shadowgaler	섀도게일러
赫嘉塞露女妖	Helgasercle	헬가세르클
地獄亡靈	Necroventer	네크로벤터
蠕動的魯托普士	Wriggling Lutopus	꿈틀대는 루토푸스
克羅洛鐘	Linkroller	링크롤러
遠古石龜獸	Rocktortuga	락토르투가
耶庫	Yekub	예쿱
毒孢子霸王食人花	Poisonous Rytaswort	독포자 리타스워트
尖角皮德蟲	Ravinepede	라바인피드
尼多普巴伊	Netherbovine	네더보바인
變狂暴的魔花卡諾波	Wild Carnivore	광폭해진 카너버
墓主洛德	Tomb Lord	툼로드
艾哈特	Achat	에하트
虛那印	Shnayim	쉬나임
鬼眼蜘蛛	Honeypin	허니핀
魔鬼鰩	Rajapearl	라자펄
獨眼巨人	Cyclops	사이클롭스
亞崑	Archon	아콘
蓋洛貝斯寄居蟹	Carapace	캐러페이스
狼人	Werewolf	웨어울프
提尼	Tini	티니
安布羅樹精	Tree Ambulo	트리암불로
小青苔泥人	Golemlet	골렘릿
布貝斯夸	Vubbesqua	부베스콰
地鼠獸	Spion	스피온
米堤斯蘭波	Mirtislampa	미티스램파
斯佩摳爾	Spekull	스페컬
斯凱伯	Scap	스캡
撕裂者	Shredded	쉬레디드
約克巴伊特	Yekubite	에큐바이트
夏德斯泰爾	Shardstatue	샤드스태튜
死產斯凱伯	Deadborn Scap	데드본스캡
塞爾	Cire	사이어
利塔斯鋒	Ritasfung	리타스펑
堤斯鋒	Tisfung	티스펑
蒙修鋒	Mushpung	머쉬펑
樹精庫爾	Treegool	트리굴
西斯特	Cyst	시스트
阿蒙	Ammon	암몬
歐涪羅	Operor	오페러
切波勒	Chafperor	체이퍼러
毒妖花	Ravinelarva	러바인러바
地獄牛怪	Nethercalf	네더카프
因普羅卡拉斯	Infrogalas	인프로갈라스
食人花	Carnivorefung	카니버펑
暗黑蝙蝠	Vesper	베스퍼
卡拉斯	Karas	카라스
阿哈得	Echad	에하드
休塔因	Shtayim	쉬타임
圖辛克	Tombsinker	툼싱커
克拉茲達斯	Graztas	그라즈타스
奧伯古斯特	Abogust	어보거스트
韋伯	Weaver	위버
幽靈范托	Hallowventer	할로우벤터
毛蟲獸	Meleech	멜리치
因普羅火焰蜥蜴王	Infro Salamander	인프로 샐러맨더
喬雷	Zolem	졸렘
凱帕雷德	Kepa Raider	케파레이더
蘑菇卡邦	Mushcarfung	머슈카펑
樹林哥布林	Wood Goblin	우드고블린
赤紅樹林哥布林	Red Wood Goblin	붉은 우드고블린
神殿奴隸	Templeslave	템플슬레이브
鈴鈴	Ringring	링링
烏汀	Woodin	우딘
石頭歐魯卡	Stone Orca	스톤오르카
拉札波拉伊特	Rajapearlite	라자펄라이트
德雷普	Drape	드레이프
因普羅大嘴怪	Infroholder	인프로홀더
雷普斯兔子	Lepusbunny	레푸스버니
努窩特	Nuwort	누워트
青玉鳥	Beadbird	청옥조
米諾斯	Minos	미노스
阿姆里	Armori	아모리
魔人雷波	Mine Lever	마인레버
鬼影凱伊洛_召喚物	Shadowgaler_summon	섀도게일러_소환물
獵犬	Hound	하운드
牠背上掛著那個可以稱為尾巴嗎？	Is that another tail hanging on its back?	대체 저것을 등에 달린 꼬리라고 해야 할까요?
史塔烏利特	Stoulet	스타울리트
拉札泰特波	Rajatadpole	라자태드폴
觸手	Cuticle	촉수
因普洛博克	Infroburk	인프로버크
曼達拉士兵	Mandara Soldier	만다라병사
月夜侍女	Night Maid	밤의시녀
倭克	Worg	워그
薩爾提斯都托	Saltisdaughter	살티스도터
牢獄鬥士	Prison Fighter	뇌옥투사
縫蟹	Greentoshell	틈게
斯帕尼希特	Sparnicht	스파니히트
礦石龜	Infrorocktor	인프로락터
地下墓穴瑪冠特	Catacombs Maggot	카타콤 마고트
瑪冠特蛋	Maggot Egg	마고트에그
綠色瑪冠特	Green Maggot	초록 마고트
黃色瑪冠特	Yellow Maggot	노란 마고트
綠色瑪冠特蛋	Green Maggot Egg	초록 마고트에그
黃色瑪冠特蛋	Yellow Maggot Egg	노란 마고트에그
仙人掌妖精	Cactusvel	캑터스벨
奇魯毛蟲獸	Kirmeleech	키르멜리치
火山龜獸	Magburk	매그버크
德拉涪里溫	Drapeliun	드라페리운
斯帕娜史霍	Sparnashorn	스파나스혼
鋼鐵巴溫	Ironbaum	아이언바움
布貝追蹤者	Vubbe Chaser	부베 추격꾼
葛雷斯墨爾	Glass Mole	글래스몰
巨眼丹提	Denoptic	덴옵틱
史潘飛行獸人	Sparnasman	스파나스맨
杜梅頓	Tomb Maiden	툼메이든
邪惡寶箱怪	Unknocker	언낙커
木乃伊賈西特	Mummyghast	머미가스트
庫巴斯	Kubas	큐바스
克萊獰怪	Grinender	그라이넨더
派伊羅艾庫	Pyroego	파이로에고
庫勒坤魔牛	Gorgon	고르곤
利托雷克斯	Lithorex	리토렉스
莫厄	Moa	모아
巨魔蠍	Scorpio	스콜피오
死亡魔女	Deathweaver	데스위버
神殿射手	Templeshooter	템플슈터
死靈查普利	Chapparition	채퍼리션
米諾牛頭怪	Minotaur	미노타우로스
地獄三頭犬	Cerberus	켈베로스
受到詛咒的惡魔葛洛夫	Cursed Devilglove	저주 받은 데블글로브
樹林巨獸哥布林	Giant Wood Goblin	자이언트 우드 고블린
赫嘉塞露女妖的分身體	Helgasercle's Reflection	헬가세르클의 분신체
浩利魔法師	Hori Wizard	호리 마법사
布貝劍士	Vubbe Warrior	부베 전사
召喚物	Summoned Minion	소환물
稻草人	Scarecrow	허수아비
聖火	Aukuras	아우쿠라스
高階布貝	High Vubbe	하이 부베
鐵蒺藜	Caltrop	마름쇠
火炬	Torch	횃불
水晶蜘蛛	Crystal Spider	수정거미
蜂群	Swarm of Bees	벌떼
鐵蒺藜	Caltrop	캘트롭
普利卜	Filibo	플리보
聖水_水瓶	Holy Water Bottle	성수_물병
佛蘭普活動用	Bramble Event	브람블이벤트
鎖鏈	Chain	체인
隱身盒	Hyde box	은신박스
蝙蝠	Bat	박쥐
野外奇葛拉斯	Field Ginklas	필드 긴클라스
野外尼多普巴伊	Field Netherbovine	필드 네더보바인
致命性的比特雷巨蜂	Fatal Biteregina	치명적인 비테레지나
小黃	Nureongi	누렁이
小花	Speck	점박이
小白點	White Spots	흰점박이
個	x	개
鐵砧	Anvil	모루
霍克瑪劍士	Hogma Warrior	호그마 전사
霍克瑪弓箭手	Hogma Archer	호그마 궁수
霍克瑪咒術師	Hogma Shaman	호그마 주술사
艾倫	Ellom	엘룸
綠色艾倫	Green Ellom	초록 엘룸
黃色艾倫	Yellow Ellom	노란 엘룸
梅羅葛咒術師	Merog Shaman	메로그 주술사
梅羅葛毒針術士	Merog Stinger	메로그 독침술사
霍克瑪戰鬥隊長	Hogma Captain	호그마 전투대장
喬帕露卡	Chupaluka	츄파루카
艾洛瑪庫	Ellomago	엘로마고
艾洛庫亞	Ellogua	엘로구아
格羅爾	Groll	그롤
溫迪戈	Wendigo	웬디고
蜥蜴人	Lizardman	리자드맨
泰瑪	Tama	타마
凱帕里	Kepari	케파리
克多摩爾	Kodomor	코도모르
柯瓦	Kowak	코왁
爆發陷阱	Explosion Trap	폭발트랩
太可怕讓人忍不住逃跑的女神像。	Frightful Goddess Statue	무서워서 도망가게 하는 여신상
技能點數增加女神像	Skill Point Up Goddess Statue	스킬포인트업 여신상
屬性增加女神像	Status Up Goddess Statue	스탯업 여신상
讓人進行地區移動的女神像。	Zone Transit Goddess Statue	존 이동 하게 하는 여신상
雷姆爾	Lemur	레무르
雷姆力亞	Lemuria	레무리아
霍克瑪戰鬥兵	Hogma Fighter	호그마 전투병
霍克瑪看守者	Hogma Scout	호그마 파수꾼
藤蔓	Crane	덩굴
羊駝	Alpaca	알파카
雪球	Snowman	눈덩이
水螅	Hydra	히드라
女妖克萊默	Clymen	클라이멘
地心蟲王	Reaverpede	리버피드
曼陀花獸	Colimencia	콜리멘시아
南瓜燈籠怪	Jack O'Lantern	잭오랜턴
魔斯怪	Mothstem	모스템
夏勒琵雅	Harpeia	하르피아
凱吉青苔泥人	Gazing Golem	게이징 골렘
魔地獸	Moldyhorn	몰디혼
孟堤肯	Manticen	맨티켄
莫亞班羅喀	Moyabruka	모야브루카
貝洛查德	Velorchard	벨로차드
吉努特	Zinute	지누테
拉屋地奴泰那	Lauzinute	라우지누테
沙漠卓柏卡布拉	Desert Chupacabra	사막 츄파카브라
王陵關口	Royal Mausoleum Gate	왕릉 게이트
黃色吉努特	Yellow Zinute	노란 지누테
藍色拉屋地奴泰那	Blue Lauzinute	푸른 라우지누테
野外惡靈	Field Specter	필드 스펙터
巴普	Varv	바브
野外藍色樹精	Field Blue Woodspirit	필드 푸른 우드스피릿
野外水螅	Field Hydra	필드 히드라
野外綠色樹精	Field Green Woodspirit	필드 초록 우드스피릿
骨頭項鍊波亞塔	Bone Necklace Poata	뼈목걸이 포아타
粗暴的灰色青苔泥人	Rough Gray Golem	난폭한 회색 골렘
吸塵的葛雷斯墨爾	Dirt-eating Glass Mole	먼지 먹는 글래스몰
發瘋的樹精	Crazy Woodspirit	정신 나간 우드스피릿
蒼白的利卡烏斯	Pale Rikaus	창백한 리카우스
堅強的蓋洛貝斯寄居蟹	Solid Carapace	굳건한 캐러페이스
鐵壁的獨眼巨人	Impregnable Cyclops	철벽의 사이클롭스
大膽的藍色賽夸伊亞	Fearless Blue Sequoia	겁 없는 푸른 세콰이아
帶剌的鬼影凱伊洛	Thorned Shadowgaler	가시 돋친 섀도게일러
石盔甲遠古石龜獸	Rock Armor Rocktortuga	돌갑옷 락토르투가
鐵角尼多普巴伊	Cast Iron Horn Netherbovine	무쇠뿔 네더보바인
凶暴的莫雷克	Ferocious Molich	흉폭한 몰렉
搖晃的約納喬雷	Judder Yonazolem	요동치는 요나졸렘
毒霧王座大蜘蛛	Poisonous Throneweaver	독안개 쓰론위버
敏捷的火暴地鼠獸	Quick Bebraspion	재빠른 베브라스피온
長腿鬼眼蜘蛛	Hopping Bridge Honeypin	껑충다리 허니핀
吃石頭奇魯毛蟲獸	Stone-eating Kirmeleech	돌 파먹는 키르멜리치
火甕火山龜獸	Fire Jar Magburk	불항아리 매그버크
發熱的亞崑	Tempered Archon	달아오른 아콘
不屈服的凱帕奇樹妖	Indomitable Kepa Chieftain	불굴의 케파치프틴
奇怪的貝洛查德	Bizarre Velochard	기괴한 벨로차드
龍捲風夏勒琵雅	Whirlwind Harpeia	돌개바람 하르피아
發惡的樹林巨獸哥布林	Frantic Giant Wood Goblin	발악하는 자이언트 우드 고블린
鋼鐵的鐵甲殭屍	Deadborn of Steel	강철의 데드본
囂張的鋼鐵巴溫	Leaping Ironbaum	날뛰는 아이언바움
震撼的艾哈特	Shaking Achat	뒤흔드는 에하트
重新活動的虛那印	Reanimated Shnayim	다시 움직이는 쉬나임
興奮的米諾牛頭怪	Excited Minotaur	흥분한 미노타우로스
飄曳的巨眼丹提	Fluttering Denoptic	흐느적거리는 덴옵틱
危險的女妖克萊默	Precarious Clymen	위태로운 클라이멘
放火的南瓜燈籠怪	Igniting Jack O'Lantern	불지르는 잭오랜턴
擺動的魔斯怪	Fluttering Mothstem	나풀거리는 모스템
吵鬧的魔地獸	Noisy Moldyhorn	시끄러운 몰디혼
貫穿的孟堤肯	Pierced Manticen	꿰뚫어버리는 맨티켄
石刺莫亞班羅喀	Stone Thorned Moyabruka	돌가시 모야브루카
發瘋的曼陀花獸	Crazy Colimencia	정신나간 콜리멘시아
釘子手切波勒	Wedge Hand Chafer	쐐기손 체이퍼
無禮的死亡魔女	Blasphemous Deathweaver	불경스러운 데스위버
原野薩爾提斯托	Field Saltistter	필드 살티스터
激烈的地獄三頭犬	Violent Cerberus	격렬한 켈베로스
陰森的死靈查普利	Bleak Chapparition	음산한 채퍼리션
吵雜的瑪因洛德	Noisy Mineloader	요란한 마인로더
亞魯瑪	Arma	아르마
迪摩	Dimmer	디머
魔瓶怪	Flask	플라스크
畢拉空	Phyracon	피라콘
咒術人偶	Shaman Doll	주술 인형
暗黑咒術人偶	Black Shaman Doll	검은 주술 인형
黃色咒術人偶	Yellow Shaman Doll	노란 주술 인형
法師咒術人偶	Wizard Shaman Doll	위저드 주술 인형
巨大史萊姆	Large Slime	대형 슬라임
綠色巨大史萊姆	Green Large Slime	초록 대형 슬라임
黃色巨大史萊姆	Yellow Large Slime	노란 대형 슬라임
暗黑巨大史萊姆	Black Large Slime	검은 대형 슬라임
火焰青苔泥人	Fire Golem	파이어 골렘
變得灼熱的凱吉青苔泥人	Warmed Up Gazing Golem	달구어진 게이징 골렘
崇高的墓主洛德	Noble Tomb Lord	고매한 툼로드
藍色喬雷	Blue Zolem	푸른 졸렘
