攻擊	Attack	공격
[傑克諾茲] 物理毒屬性打擊	[Zignuts] Physical Poison Property Strike	[지그너츠] 물리 독속성 타격
[傑克諾茲] 物理一般斬擊	[Zignuts] Physical Normal Slash	[지그너츠] 물리 일반 베기
[圖約勒] 魔法反射盾魔法	[Doyor] Magic Reflect Shield Magic	[도요르] 매직 리플렉트쉴드 매직
[提皮歐] 物理一般打擊	[Tipio] Physical Normal Strike	[티피오] 물리 일반 타격
[提皮歐] 魔法毒屬性魔法	[Tipio] Magic Poison Property Magic	[티피오] 매직 독속성 매직
[赫嘉塞露分身體]魔法暗屬性魔法	[Avatar of Helgasecle] Magic Dark Property Magic	[헬가세르클 분신체] 마법 암속성 매직
[霍克瑪戰士] 物理斬擊火屬性攻擊1次	[Hogma Warrior] Physical Slash Fire Property Attack	[호그마 전사] 물리 베기 화속성 1회 공격
[霍克瑪弓箭手] 遠距離刺擊電氣屬性攻擊1次	[Hogma Archer] Range Pierce Lightning Property Attack	[호그마 궁수] 원거리 찌르기 전기속성 1회 공격
[霍克瑪戰鬥隊長] 物理刺擊暗屬性攻擊1次	[Hogma Battle Commander] Physical Pierce Dark Property Attack	[호그마 전투대장] 물리 찌르기 암속성 1회 공격
[霍克瑪戰鬥隊長] 召喚怪獸	[Hogma Battle Commander] Monster Summon	[호그마 전투대장] 몬스터 소환
[溫迪戈] 物理斬擊火屬性攻擊1次	[Wendigo] Physical Slash Fire Property Attack	[웬디고] 물리 베기 화속성 1회 공격
[霍克瑪戰鬥兵] 物理斬擊電氣屬性攻擊1次	[Hogma Fighter] Physical Slash Lightning Property Attack	[호그마 전투병] 물리 베기 전기속성 1회 공격
[霍克瑪守望者] 物理打擊水屬性攻擊1次	[Hogma Guard] Physical Strike Ice Property Attack	[호그마 파수꾼] 물리 타격 수속성 1회 공격
[歐爾塔倫] 物理刺擊毒屬性攻擊1次	[Ultanun] Physical Pierce Poison Property Attack	[얼타눈] 물리 찌르기 독속성 1회 공격
[歐爾塔倫] 魔法毒屬性魔法	[Ultanun] Magic Poison Property Magic	[얼타눈] 매직 독속성 매직
[彼蘭特]	[Firent]	[피렌트]
[惡靈君主]	[Specter Monarch]	[스펙터 군주]
[青苔泥人] 右邊猛衝	[Golem] Light Smash	[골렘] 라이트 스매시
[青苔泥人] 猛衝	[Golem] Smash	[골렘] 스매시
[青苔泥人] 咆哮	[Golem] Roar	[골렘] 포효
[彼蘭特] 使用能力調換 BUFF	[Firent] Use Transforce Buff	[피렌트] 트랜스포스 버프 사용
[灰色波庫布]	[Gray Pokubu]	[회색 포쿠부]
[潘迪邁爾]	[Pendinmire]	[펜딘마이어]
[迪歐尼亞] 物理無屬性打擊	[Dionia] Physical Non-Property Strike	[디오니아] 물리 무속성 타격
[迪歐尼亞] 魔法毒屬性打擊	[Dionia] Magic Poison Property Strike	[디오니아] 매직 독속성 타격
[貝亞卡拉斯] 物理地屬性打擊	[Bearkaras] Physical Earth Property Strike	[베아카라스] 물리 땅속성 타격
[貝亞卡拉斯] 物理地屬性斬擊	[Bearkaras] Physical Earth Property Slash	[베아카라스] 물리 땅속성 베기
[鐵甲殘魔] 物理無屬性打擊	[Abomination] Physical Non-Property Strike	[어보미네이션] 물리 무속성 타격
[鐵甲殘魔] 魔法無屬性魔法	[Abomination] Magic Non-Property Magic	[어보미네이션] 매직 무속성 마법
[蠱惑惡靈] 物理暗屬性魔法	[Dazzled Specter] Physical Dark Property Magic	[현혹의 스펙터] 물리 암속성 마법
[利卡烏斯] 物理無屬性打擊	[Rikaus] Physical Non-Property Strike	[리카우스] 물리 무속성 타격
[利卡烏斯] 物理暗屬性打擊	[Rikaus] Physical Dark Property Strike	[리카우스] 물리 암속성 타격
[佛朗布] 物理無屬性打擊	[Bramble] Physical Non-Property Strike	[브람블] 물리 무속성 타격
[佛朗布] 物理無屬性刺擊	[Bramble] Physical Non-Property Pierce	[브람블] 물리 무속성 찌르기
[莫雷克] 物理暗屬性打擊	[Molich] Physical Dark Property Strike	[몰렉] 물리 암속성 타격
[莫雷克] 魔法暗屬性魔法	[Molich] Magic Dark Property Magic	[몰렉] 매직 암속성 마법
[賽夸伊亞] 物理無屬性打擊	[Sequoia] Physical Non-Property Strike	[세콰이아] 물리 무속성 타격
[賽夸伊亞] 物理火屬性打擊	[Sequoia] Physical Fire Property Strike	[세콰이아] 물리 화속성 타격
[賽夸伊亞] 魔法火屬性魔法	[Sequoia] Magic Fire Property Magic	[세콰이아] 매직 화속성 마법
[利卡烏斯] 魔法暗屬性魔法	[Rikaus] Magic Dark Property Magic	[리카우스] 매직 암속성 마법
[史潘飛行獸人] 物理無屬性打擊	[Sparnasman] Physical Non-Property Strike	[스파나스맨] 물리 무속성 타격
[史潘飛行獸人] 物理無屬性魔法	[Sparnasman] Physical Non-Property Magic	[스파나스맨] 물리 무속성 마법
[杜梅頓] 魔法無屬性魔法	[Tomb Maiden] Magic Non-Property Magic	[툼메이든] 매직 무속성 마법
[杜梅頓] 物理無屬性打擊	[Tomb Maiden] Physical Non-Property Strike	[툼메이든] 물리 무속성 타격
[庫巴斯] 物理無屬性魔法	[Kubas] Physical Non-Property Magic	[큐바스] 물리 무속성 마법
[庫巴斯] 物理電氣屬性魔法	[Kubas] Physical Lightning Property Magic	[큐바스] 물리 전기속성 마법
[庫巴斯] 物理水屬性魔法	[Kubas] Physical Ice Property Magic	[큐바스] 물리 수속성 마법
[庫巴斯] 物理火屬性魔法	[Kubas] Physical Fire Property Magic	[큐바스] 물리 화속성 마법
[克萊獰怪] 物理火屬性打擊	[Grinender] Physical Fire Property Strike	[그라이넨더] 물리 화속성 타격
[克萊獰怪] 物理火屬性 刺擊	[Grinender] Physical Fire Property Pierce	[그라이넨더] 물리 화속성 찌르기
[克萊獰怪] 物理火屬性魔法	[Grinender] Physical Fire Property Magic	[그라이넨더] 물리 화속성 마법
[克萊獰怪] 魔法火屬性魔法	[Grinender] Magic Fire Property Magic	[그라이넨더] 매직 화속성 마법
[派伊羅艾庫] 物理火屬性打擊	[Pyroego] Physical Fire Property Strike	[파이로에고] 물리 화속성 타격
[派伊羅艾庫] 魔法火屬性魔法	[Pyroego] Magic Fire Property Magic	[파이로에고] 매직 화속성 마법
[利托雷克斯] 魔法毒屬性魔法	[Lithorex] Magic Poison Property Magic	[리토렉스] 매직 독속성 마법
[利托雷克斯] 魔法無屬性魔法	[Lithorex] Magic Non-Property Magic	[리토렉스] 매직 무속성 마법
[莫雷克] 物理無屬性打擊	[Molich] Physical Non-Property Strike	[몰렉] 물리 무속성 타격
[克羅洛鐘] 魔法電氣屬性魔法	[Link Roller] Magic Lightning Property Magic	[링크롤러] 매직 전기속성 마법
[鐵甲殭屍] 物理暗屬性打擊	[Deadborn] Physical Dark Property Strike	[데드본] 물리 암속성 타격
[鐵甲殭屍] 物理暗屬性 斬擊	[Deadborn] Physical Dark Property Slash	[데드본] 물리 암속성 베기
[火焰蜥蜴王] 物理火屬性打擊	[Salamander] Physical Fire Property Strike	[샐러맨더] 물리 화속성 타격
[火焰蜥蜴王] 物理火屬性 刺擊	[Salamander] Physical Fire Property Pierce	[샐러맨더] 물리 화속성 찌르기
[克帕奇樹妖] 物理無屬性打擊	[Kepachieftain] Physical Non-Property Strike	[케파치프틴] 물리 무속성 타격
[克帕奇樹妖] 魔法無屬性打擊	[Kepachieftain] Magic Non-Property Strike	[케파치프틴] 매직 무속성 타격
[青苔泥人] 物理地屬性打擊	[Golem] Physical Earth Property Strike	[골렘] 물리 땅속성 타격
[蠱惑惡靈] 魔法暗屬性打擊	[Dazzled Specter] Magic Dark Property Strike	[현혹의 스펙터] 매직 암속성 타격
[惡靈君主] 魔法暗屬性魔法	[Specter Monarch] Magic Dark Property Magic	[스펙터 군주] 매직 암속성 마법
[米爾堤斯] 物理暗屬性 斬擊	[Mirtis] Physical Dark Property Slash	[미르티스] 물리 암속성 베기
[米爾堤斯] 物理暗屬性魔法	[Mirtis] Physical Dark Property Magic	[미르티스] 물리 암속성 마법
[米爾堤斯] 魔法暗屬性魔法	[Mirtis] Magic Dark Property Magic	[미르티스] 매직 암속성 마법
[米爾堤斯] 魔法暗屬性斬擊	[Mirtis] Magic Dark Property Slash	[미르티스] 매직 암속성 베기
[薩爾提斯托] 物理水屬性打擊	[Saltistter] Physical Ice Property Strike	[살티스터] 물리 수속성 타격
[薩爾提斯托] 物理水屬性魔法	[Saltistter] Physical Ice Property Magic	[살티스터] 물리 수속성 마법
[樹精] 物理無屬性打擊	[Woodspirit] Physical Non-Property Strike	[우드스피릿] 물리 무속성 타격
[樹精] 物理無屬性魔法	[Woodspirit] Physical Non-Property Magic	[우드스피릿] 물리 무속성 마법
[樹精] 魔法無屬性魔法	[Woodspirit] Magic Non-Property Magic	[우드스피릿] 매직 무속성 마법
[石鯨怪] 魔法地屬性魔法	[Stone_Whale] Magic Earth Property Magic	[석화고래] 매직 땅속성 마법
[奇葛拉斯] 物理火屬性打擊	[Ginklas] Physical Fire Property Strike	[긴클라스] 물리 화속성 타격
[約納喬雷] 物理無屬性打擊	[Yonazolem] Physical Non-Property Strike	[요나졸렘] 물리 무속성 타격
[約納喬雷] 魔法無屬性打擊	[Yonazolem] Magic Non-Property Strike	[요나졸렘] 매직 무속성 타격
[毒魔蛙圖圖] 物理毒屬性打擊	[Tutu] Physical Poison Property Strike	[투투] 물리 독속성 타격
[毒魔蛙圖圖] 魔法毒屬性魔法	[Tutu] Magic Poison Property Magic	[투투] 매직 독속성 마법
[比特雷巨蜂] 物理無屬性 刺擊	[Biteregina] Physical Non-Property Pierce	[비테레지나] 물리 무속성 찌르기
[比特雷巨蜂] 物理毒屬性 斬擊	[Biteregina] Physical Poison Property Slash	[비테레지나] 물리 독속성 베기
[比特雷巨蜂] 物理毒屬性魔法	[Biteregina] Physical Poison Property Magic	[비테레지나] 물리 독속성 마법
[神燈魔神] 物理無屬性打擊	[Master Genie] Physical Non-Property Strike	[마스터 지니] 물리 무속성 타격
[神燈魔神] 魔法水屬性魔法	[Master Genie] Magic Ice Property Magic	[마스터 지니] 매직 수속성 마법
[伊提斯大嘴獸] 物理無屬性打擊	[Iltiswort] Physical Non-Property Strike	[일티스워트] 물리 무속성 타격
[伊提斯大嘴獸] 物理毒屬性魔法	[Iltiswort] Physical Poison Property Magic	[일티스워트] 물리 독속성 마법
[雷普斯] 物理無屬性斬擊	[Lepus] Physical Non-Property Slash	[레푸스] 물리 무속성 베기
[蘑菇卡利亞] 物理毒屬性魔法	[Mushcaria] Physical Poison Property Magic	[머슈카리아] 물리 독속성 마법
[蘑菇卡利亞] 物理毒屬性打擊	[Mushcaria] Physical Poison Property Strike	[머슈카리아] 물리 독속성 타격
[機角卡洛斯] 物理無屬性打擊	[Ellaganos] Physical Non-Property Strike	[엘라가노스] 물리 무속성 타격
[迪歐尼亞] 魔法無屬性魔法	[Dionia] Magic Non-Property Magic	[디오니아] 매직 무속성 마법
[石鯨怪] 物理地屬性打擊	[Stone_Whale] Physical Earth Property Strike	[석화고래] 물리 땅속성 타격
[石鯨怪] 物理地屬性刺擊	[Stone_Whale] Physical Earth Property Pierce	[석화고래] 물리 땅속성 찌르기
[奇葛拉斯] 物理火屬性魔法	[Ginklas] Physical Fire Property Magic	[긴클라스] 물리 화속성 마법
[雷普斯] 魔法無屬性打擊	[Lepus] Magic Non-Property Strike	[레푸스] 매직 무속성 타격
[樹林巨獸] 魔法火屬性刺擊	[Giantredwood] Magic Fire Property Pierce	[자이언트 레드 우드] 매직 화속성 찌르기
[火暴地鼠獸] 物理無屬性打擊	[Bebraspion] Physical Non-Property Strike	[베브라스피온] 물리 무속성 타격
[火暴地鼠獸] 物理電氣屬性打擊	[Bebraspion] Physical Lightning Property Strike	[베브라스피온] 물리 전기속성 타격
[斯帕勒那絲] 物理無屬性打擊	[Sparnas] Physical Non-Property Strike	[스파르나스] 물리 무속성 타격
[斯帕勒那絲] 物理無屬性刺擊	[Sparnas] Physical Non-Property Pierce	[스파르나스] 물리 무속성 찌르기
[斯帕勒那絲] 物理電氣屬性魔法	[Sparnas] Physical Lightning Property Magic	[스파르나스] 물리 전기속성 마법
[拉查托特] 魔法無屬性魔法	[Rajatoad] Magic Non-Property Magic	[라자토드] 매직 무속성 마법
[拉查托特] 物理水屬性打擊	[Rajatoad] Physical Ice Property Strike	[라자토드] 물리 수속성 타격
[查伊波] 物理毒屬性斬擊	[Chafer] Physical Poison Property Slash	[체이퍼] 물리 독속성 베기
[查伊波] 物理毒屬性刺擊	[Chafer] Physical Poison Property Pierce	[체이퍼] 물리 독속성 찌르기
[查伊波] 物理毒屬性魔法	[Chafer] Physical Poison Property Magic	[체이퍼] 물리 독속성 마법
[王座大蜘蛛] 物理毒屬性魔法	[Throneweaver] Physical Poison Property Magic	[쓰론위버] 물리 독속성 마법
[王座大蜘蛛] 物理毒屬性打擊	[Throneweaver] Physical Poison Property Strike	[쓰론위버] 물리 독속성 타격
[王座大蜘蛛] 魔法毒屬性魔法	[Throneweaver] Magic Poison Property Magic	[쓰론위버] 매직 독속성 마법
[瑪因洛德] 物理電氣屬性打擊	[Mineloader] Physical Lightning Property Strike	[마인로더] 물리 전기속성 타격
[鬼影凱伊洛] 物理暗屬性斬擊	[Shadowgaler] Physical Dark Property Slash	[섀도게일러] 물리 암속성 베기
[鬼影凱伊洛] 魔法暗屬性魔法	[Shadowgaler] Magic Dark Property Magic	[섀도게일러] 매직 암속성 마법
[鬼影凱伊洛] 物理暗屬性魔法	[Shadowgaler] Physical Dark Property Magic	[섀도게일러] 물리 암속성 마법
[樹林巨獸] 物理無屬性打擊	[Giantredwood] Physical Non-Property Strike	[자이언트 레드 우드] 물리 무속성 타격
[樹林巨獸] 物理火屬性打擊	[Giantredwood] Physical Fire Property Strike	[자이언트 레드 우드] 물리 화속성 타격
[雷克西波] 物理暗屬性打擊	[Rexipher] Physical Dark Property Strike	[렉시퍼] 물리 암속성 타격
[遠古石龜獸] 物理地屬性打擊	[Rocktortuga] Physical Earth Property Strike	[락토르투가] 물리 땅속성 타격
[魯托普士] 物理無屬性刺擊	[Luropus] Physical Non-Property Pierce	[루토푸스] 물리 무속성 찌르기
[地獄亡靈] 魔法暗屬性打擊	[Necroventer] Magic Dark Property Strike	[네크로벤터] 매직 암속성 타격
[地獄亡靈] 魔法暗屬性魔法	[Necroventer] Magic Dark Property Magic	[네크로벤터] 매직 암속성 마법
[赫嘉塞露女妖] 魔法暗屬性斬擊	[Helgasercle] Magic Dark Property Slash	[헬가세르클] 매직 암속성 베기
[赫嘉塞露女妖] 物理暗屬性斬擊	[Helgasercle] Physical Dark Property Slash	[헬가세르클] 물리 암속성 베기
[赫嘉塞露女妖] 魔法暗屬性魔法	[Helgasercle] Magic Dark Property Magic	[헬가세르클] 매직 암속성 마법
[魯托普士] 物理無屬性打擊	[Luropus] Physical Non-Property Strike	[루토푸스] 물리 무속성 타격
[魯托普士] 魔法無屬性魔法	[Luropus] Magic Non-Property Magic	[루토푸스] 매직 무속성 마법
[地錢苔王] 物理毒屬性打擊	[King Liverwort] Physical Poison Property Strike	[킹 우산이끼] 물리 독속성 타격
[亞崑] 物理火屬性打擊	[Archon] Physical Fire Property Strike	[아콘] 물리 화속성 타격
[耶庫] 物理暗屬性打擊	[Yekub] Physical Dark Property Strike	[예쿱] 물리 암속성 타격
[耶庫] 魔法暗屬性打擊	[Yekub] Magic Dark Property Strike	[예쿱] 매직 암속성 타격
[耶庫] 魔法無屬性魔法	[Yekub] Magic Non-Property Magic	[예쿱] 매직 무속성 마법
[蓋洛貝斯寄居蟹] 物理水屬性打擊	[Carapace] Physical Ice Property Strike	[캐러페이스] 물리 수속성 타격
[蓋洛貝斯寄居蟹] 物理水屬性斬擊	[Carapace] Physical Ice Property Slash	[캐러페이스] 물리 수속성 베기
[狼人] 物理無屬性斬擊	[Werewolf] Physical Non-Property Slash	[웨어울프] 물리 무속성 베기
[狼人] 物理無屬性打擊	[Werewolf] Physical Non-Property Strike	[웨어울프] 물리 무속성 타격
[狼人] 物理暗屬性魔法	[Werewolf] Physical Dark Property Magic	[웨어울프] 물리 암속성 마법
[狼人] 物理暗屬性斬擊	[Werewolf] Physical Dark Property Slash	[웨어울프] 물리 암속성 베기
[亞崑] 魔法無屬性魔法	[Archon] Magic Non-Property Magic	[아콘] 매직 무속성 마법
[機角卡洛斯] 物理無屬性刺擊	[Ellaganos] Physical Non-Property Pierce	[엘라가노스] 물리 무속성 찌르기
[機角卡洛斯] 物理暗屬性魔法	[Ellaganos] Physical Dark Property Magic	[엘라가노스] 물리 암속성 마법
[獨眼巨人] 物理暗屬性打擊	[Cyclops] Physical Dark Property Strike	[사이클롭스] 물리 암속성 타격
[獨眼巨人] 魔法暗屬性魔法	[Cyclops] Magic Dark Property Magic	[사이클롭스] 매직 암속성 마법
[魔鬼鰩] 物理無屬性斬擊	[Rajapearl] Physical Non-Property Slash	[라자펄] 물리 무속성 베기
[魔鬼鰩] 物理水屬性魔法	[Rajapearl] Physical Ice Property Magic	[라자펄] 물리 수속성 마법
[鬼眼蜘蛛] 物理毒屬性打擊	[Honeypin] Physical Poison Property Strike	[허니핀] 물리 독속성 타격
[鬼眼蜘蛛] 物理毒屬性魔法	[Honeypin] Physical Poison Property Magic	[허니핀] 물리 독속성 마법
[克帕奇樹妖] 魔法無屬性魔法	[Kepachieftain] Magic Non-Property Magic	[케파치프틴] 매직 무속성 마법
[尼多普巴伊] 物理暗屬性刺擊	[Netherbovine] Physical Dark Property Pierce	[네더보바인] 물리 암속성 찌르기
[尼多普巴伊] 物理暗屬性魔法	[Netherbovine] Physical Dark Property Magic	[네더보바인] 물리 암속성 마법
[尼多普巴伊] 物理暗屬性打擊	[Netherbovine] Physical Dark Property Strike	[네더보바인] 물리 암속성 타격
[艾哈特] 物理無屬性打擊	[Achat] Physical Non-Property Strike	[에하트] 물리 무속성 타격
[霸王食人花] 物理毒屬性打擊	[Rytaswort] Physical Poison Property Strike	[리타스워트] 물리 독속성 타격
[霸王食人花] 物理毒屬性魔法	[Rytaswort] Physical Poison Property Magic	[리타스워트] 물리 독속성 마법
[霸王食人花] 魔法毒屬性魔法	[Rytaswort] Magic Poison Property Magic	[리타스워트] 매직 독속성 마법
[霸王食人花] 魔法無屬性魔法	[Rytaswort] Magic Non-Property Magic	[리타스워트] 매직 무속성 마법
[雷普斯] 物理無屬性打擊	[Lepus] Physical Non-Property Strike	[레푸스] 물리 무속성 타격
[雷克西波] 魔法暗屬性魔法	[Rexipher] Magic Dark Property Magic	[렉시퍼] 매직 암속성 마법
[克洛提德] 魔法暗屬性魔法	[Corrupted] Magic Dark Property Magic	[코럽티드] 매직 암속성 마법
[克洛提德] 魔法暗屬性打擊	[Corrupted] Magic Dark Property Strike	[코럽티드] 매직 암속성 타격
[蘑菇卡利亞] 魔法毒屬性魔法	[Mushcaria] Magic Poison Property Magic	[머슈카리아] 매직 독속성 마법
[遠古石龜獸] 魔法地屬性魔法	[Rocktortuga] Magic Earth Property Magic	[락토르투가] 매직 땅속성 마법
[查伊波] 魔法毒屬性魔法	[Chafer] Magic Poison Property Magic	[체이퍼] 매직 독속성 마법
[布貝鬥士] 物理地屬性斬擊	[Vubbe Fighter] Physical Earth Property Slash	[부베 투사] 물리 땅속성 베기
[布貝鬥士] 物理地屬性打擊	[Vubbe Fighter] Physical Earth Property Strike	[부베 투사] 물리 땅속성 타격
[蠱惑惡靈] 魔法暗屬性魔法	[Dazzled Specter] Magic Dark Property Magic	[현혹의 스펙터] 매직 암속성 마법
[蘑菇沃特] 物理無屬性打擊	[Mushwort] Physical Non-Property Strike	[머쉬워트] 물리 무속성 타격
[蘑菇沃特] 物理無屬性魔法	[Mushwort] Physical Non-Property Magic	[머쉬워트] 물리 무속성 마법
[蘑菇沃特] 魔法無屬性魔法	[Mushwort] Magic Non-Property Magic	[머쉬워트] 매직 무속성 마법
[蘑菇沃特] 魔法毒屬性魔法	[Mushwort] Magic Poison Property Magic	[머쉬워트] 매직 독속성 매직
[那克提斯] 魔法無屬性打擊	[Naktis] Magic Non-Property Strike	[나크티스] 매직 무속성 타격
[德拉涪里溫] 物理無屬性刺擊	[Drapeliun] Physical Non-Property Pierce	[드라페리운] 물리 무속성 찌르기
[德拉涪里溫] 物理無屬性魔法	[Drapeliun] Physical Non-Property Magic	[드라페리운] 물리 무속성 마법
[德拉涪里溫] 魔法暗屬性魔法	[Drapeliun] Magic Dark Property Magic	[드라페리운] 매직 암속성 마법
[斯帕娜史霍] 物理無屬性打擊	[Sparnas Horn] Physical Non-Property Strike	[스파나스혼] 물리 무속성 타격
[斯帕娜史霍] 物理無屬性刺擊	[Sparnas Horn] Physical Non-Property Pierce	[스파나스혼] 물리 무속성 찌르기
[斯帕娜史霍] 物理電氣屬性魔法	[Sparnas Horn] Physical Lightning Property Magic	[스파나스혼] 물리 전기속성 마법
[火山龜獸] 物理火屬性打擊	[Magburk] Physical Fire Property Strike	[매그버크] 물리 화속성 타격
[魔龍凱拉斯] 物理無屬性打擊	[Gaigalas] Physical Non-Property Strike	[가이갈라스] 물리 무속성 타격
[魔龍凱拉斯] 物理火屬性魔法	[Gaigalas] Physical Fire Property Magic	[가이갈라스] 물리 화속성 마법
[鋼鐵巴溫] 物理無屬性打擊	[Ironbaum] Physical Non-Property Strike	[아이언바움] 물리 무속성 타격
[鋼鐵巴溫] 物理火屬性打擊	[Ironbaum] Physical Fire Property Strike	[아이언바움] 물리 화속성 타격
[鋼鐵巴溫] 物理火屬性魔法	[Ironbaum] Physical Fire Property Magic	[아이언바움] 물리 화속성 마법
[鋼鐵巴溫] 魔法無屬性魔法	[Ironbaum] Magic Non-Property Magic	[아이언바움] 매직 무속성 마법
[魔花卡諾波] 物理毒屬性打擊	[Carnivore] Physical Poison Property Strike	[카너버] 물리 독속성 타격
[魔花卡諾波] 物理毒屬性魔法	[Carnivore] Physical Poison Property Magic	[카너버] 물리 독속성 마법
[魔花卡諾波] 物理毒屬性刺擊	[Carnivore] Physical Poison Property Pierce	[카너버] 물리 독속성 찌르기
[魔花卡諾波] 魔法毒屬性魔法	[Carnivore] Magic Poison Property Magic	[카너버] 매직 독속성 마법
[瑪因洛德] 物理電氣屬性魔法	[Mineloader] Physical Lightning Property Magic	[마인로더] 물리 전기속성 마법
