皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
補給官	Supplies Officer	보급관
朝聖者 莉莉亞	Pilgrim Liliya	순례자 릴리야
朝聖者的紙條	Pilgrim's Memo	순례자의 쪽지
朝聖者 由利烏斯	Pilgrim Julius	순례자 율리우스
朝聖者 傑紐斯	Pilgrim Zenius	순례자 재뉴스
樹根水晶	Tree Root Crystal	나무뿌리 수정
是否攻擊樹根水晶？	Would you like to hit the Tree Root Crystal?	나무뿌리 수정을 가격하시겠습니까?
朝聖者 葛拉奇烏斯	Pilgrim Gracius	순례자 그라치우스
所以你能幫我個忙嗎？	So can you help me?	그러니 저를 좀 도와주시겠어요?
赤褐木斷層森林介紹	Purple Tree Fault Forest Notice	적갈나무 단층숲 안내
聖所的佈告欄	Altar Notice	성소의 알림판
聖所	Sanctum	성소
是否透過捐款獲得祝福？	Will you offer money and receive blessings?	헌금을 하여 축복을 받으시겠습니까?
能把清水帶來嗎？	Will you fetch clear water?	맑은 물을 떠 오시겠습니까?
要藉由獻花證明自己的信仰嗎？	Will you prove your faith by offering flowers?	헌화 함으로써 신앙을 증명 하시겠습니까?
要藉由捐款證明自己的信仰嗎？	Will you prove your faith by offering money?	헌금 함으로써 신앙을 증명 하시겠습니까?
{nl}無論如何，要是不把它們破壞掉	If you don't destroy it	{nl}어떻게든 그것들을 파괴하지 않으면
朝聖者 泰伍皮里斯	Pilgrim Theophilis	순례자 테오필리스
旁白	Aside	방백
朝聖者 衛塔斯	Pilgrim Witas	순례자 위타스
你到底是誰？女妖的美艷居然沒效，你是誰？	Who are you? Even the beauty of the Succubus is not working?	대체 누구냐? 서큐버스 님의 아름다움이 통하지 않는 너는 누구냐?
虛假之泉	Pretense Stream	가식의 샘
被束縛的朝聖者的靈魂	Pilgrim soul that was trapped	속박당했던 순례자의 영혼
被束縛的靈魂	Trapped Soul	속박되어 있던 영혼
朝聖者的靈魂	Pilgrim's Spirit	순례자의 영혼
你是誰？是被女妖的美艷迷惑的傢伙嗎？	Who are you? Are you dazzled by the beauty of the Succubus?	누구냐? 서큐버스님의 아름다움에 빠져있는 놈이냐?
這裡調查完後，下一個要去哪裡呢？	Where will I head to next after this?	이 조사가 끝나면 다음엔 어디로 가게 되려나?
偵察兵	Patrol Scout	순찰병
朝聖者紀念碑內容	Writings on Pilgrim Memorial Stone	순례자 추모비 내용
有許多眷戀的護衛兵靈魂	Lingering Escort Soldier	미련 많은 호위병 영혼
有許多眷戀的商人靈魂	Lingering Soul of Merchant	미련 많은 상인 영혼
有許多眷戀的學者靈魂	Lingering Soul of Scholar	미련 많은 학자 영혼
迷路的女性探險家靈魂	Soul of Lost Lady Explorer	길 잃은 여류 탐험가 영혼
迫切的貓頭鷹雕像	Desperate Owl Sculpture	절박한 부엉이 조각상
悲傷的貓頭鷹雕像	Sad Owl Sculpture	슬픈 부엉이 조각상
難道真的快要世界末日了嗎？	Do you think the end of the world is really coming?	정말 세상의 종말이 다가오고 있는 걸까요?
害羞的貓頭鷹雕像	Shy Owl Sculpture	부끄러운 부엉이 조각상
悲痛的貓頭鷹雕像	Sad Owl Sculpture	애절한 부엉이 조각상
軍官的靈魂	Officer's Spirit	장교의 영혼
士兵 魯特爾巴斯	Soldier Rudolfas	병사 루돌파스
士兵 阿斯巴斯	Soldier Aspas	병사 아스파스
主教亞烏雷利屋斯的靈魂	Bishop Aurelius' Spirit	주교 아우렐리우스의 영혼
祭司	Cleric	사제
墳墓看守人 羅馬思	Grave Keeper Romas	무덤지기 로마스
補給部隊員	Supply Soldier	보급 부대원
大教堂的啟示	Revelation of Great Cathedral	대성당의 계시
主教	Bishop	주교
朝聖者戴恩的訊息	Dying Pilgrim's Message	순례자의 다잉 메시지
祭司 伊內亞	Priest Inea	사제 이네아
證明的祭司	Priest of Evidence	증명의 사제
藥材都帶來了嗎？	Did you find the herbs?	약재는 다 구해오셨습니까?
台上刻的文字	Writing on the Platform	단상에 새겨진 글귀
村莊青年 多萊恩	Villager Darren	마을 청년 다렌
釀造業者 都勒傑	Brewer Dorjen	양조업자 도르젠
奇利納	Kirina	키리나
克爾雷歐巴斯	Cleopas	클레오파스
米可羅斯	Mikolas	미콜라스
你還沒見到米可羅斯哥哥嗎？	Is Mikolas not ready yet?	미콜라스 형이랑은 아직이야?
瑪拉斯	Maras	마라스
怎麼樣？有什麼反應嗎？	How was it? How did they react?	어때. 뭔가 반응이 있었나?
拉馬勒	Lamar	라마르
利斯	Riesz	리스
巴爾達	Valda	발다
祭司 利耶爾利耶	Priest Raeli	사제 라엘리에
淨化封印塔的啟示者就是你嗎？	I believe you are the Revelator who purified the sealed tower?	봉인탑을 정화한 계시자가 당신인가요.
果然是因為流露出的魔氣才會變得這麼嚇人嗎？	So could it be the evil forces that turned it to become so grotesque?	역시 마기가 새어나와서 그렇게 흉측하게 변해버린걸까요?
貪心鬼 德魯巴	Greedy Druva	욕심쟁이 드루바
完蛋的養蜂專家 羅森	Ruined Bee Farmer Logen	망한 양봉가 로센
祭司 多支奈	Priest Dazine	사제 다지네
商人 圖凱	Merchant Dulke	상인 둘케
住民 艾密	Villager Emil	주민 에밀
藥師 提阿納	Pharmacist Tiana	약사 티아나
教堂燭台	Church Candlestick	성당 촛대
文獻怎麼樣了？	What about the documents?	문헌들은 어떻게 됐나요?
朝聖者把抹上藥的肉吃了嗎？	Did the pilgrim eat the meat with medicine?	순례자가 약을 바른 고기를 먹었습니까?
我正在尋找主教的行蹤，你能幫我嗎？	Will you help me find him?	주교님의 행방을 찾는데 도움을 주시겠습니까?
梅伊班留下的書籍	Book Left by Maven	메이번이 남긴 서적
兩種命令	Two Types of Orders	두 가지 명령
幫忙偵查	I'll help scout around	정찰을 도와 준다고 한다
士兵的珍貴物品(1)	Soldier's Precious Belongings (1)	병사의 소중한 물건(1)
幫忙找	I will find it	찾아 주겠다고 한다
士兵的珍貴物品(2)	Soldier's Precious Belongings (2)	병사의 소중한 물건(2)
要收集枯樹枝回來	I will collect the dried twigs	마른 나뭇가지를 모아오겠다고 한다
不想再插手	I don't want to touch it anymore	더 이상 손대고 싶지 않다고 한다
士兵的珍貴物品(3)	Soldier's Precious Belongings (3)	병사의 소중한 물건(3)
委託	Leave it to me	맡겨달라고 한다
紅樹林哥布林的襲擊	Attack of the Giant Red Wood Goblin	레드 우드 고블린의 습격
確保通往大王關口的路(1)	Secure Route to the Gateway of the Great King (1)	대왕의 관문으로 가는 길 확보(1)
無視	Ignore	무시한다
地區安全化(1)	Secure the Area(1)	구역 안정화(1)
確保通往大王關口的路(2)	Secure Route to the Gateway of the Great King (2)	대왕의 관문으로 가는 길 확보(2)
要支援	I will apply for it	지원하겠다고 한다
沒有這種閒暇時間	I don't have time for that	그럴 여유는 없다고 한다
貓頭鷹雕像的小幫助	Owl Sculpture's Little Help	부엉이 조각상의 작은 도움
代替你去消滅	I'll get rid of them for you	대신 처치해 주겠다고 한다
確保通往大王關口的路(3)	Secure Route to the Gateway of the Great King (3)	대왕의 관문으로 가는 길 확보(3)
會再來	I will find it	찾아 오겠다고 한다
看起來危險	It looks dangerous	위험해 보인다고 한다
離開的路	Off To A Journey	떠나는 길
遭到襲擊的搜索隊	Search Scouts under Attack	습격받은 수색대
要去德利耶查濕地看一下	I'll go to Drieza Waterland	드리에자 습지로 가 보겠다고 한다
一起去避一下	Let's get out of here together	함께 몸을 피하자고 한다
墳墓的主人	Grave's Owner	무덤의 주인
詢問是因為什麼事	What is it ?	무슨 일 때문인지 묻는다
指揮官巴塞寧(1)	Commander Vacenin (1)	지휘관 바세닌(1)
能夠幫忙	I can help you	도와줄 수 있다고 한다
關於卡汀森林	About Kateen Forest	카틴 숲에 대해
收集苔癬	Collect Moss	이끼 수집
我會收集苔癬回來	I will collect the moss	이끼를 수집해오겠다고 한다
收集變色的草	Collect discolored grass	변색된 풀 수집
我會去收集變色的草回來，請先進行調查	I will collect the discolored grass for you to investigate	변색된 풀을 모아 올테니 조사해 보라고 한다
收集樹皮	Collect Tree Bark	나무껍질 수집
一起解決	Let's take care of it together	같이 해결하자고 한다
樹皮的秘密(4)	Secret of the Tree Bark (4)	나무껍질의 비밀(4)
欣然消滅樹精	I'll get rid of the Woodspirit	기꺼히 우드스피릿을 처치하겠다고 한다
恐懼之森	Forest of Fear	공포의 숲
會轉交翅膀碎片	I will deliver the Piece of Wing	날개 조각을 전해주겠다고 한다
翅膀碎片(1)	Piece of Wing (1)	날개 조각(1)
轉交中/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND	Delivering/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND	전달 중/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND
翅膀碎片(2)	Piece of Wing (2)	날개 조각(2)
提議轉交翅膀碎片	Suggest to deliver the wing	날개 조각을 전해주겠다고 제안한다
巡查路的營火	Bonfire of the Patrol Route	순찰로의 모닥불
沒有這種空閒時間	There is no time for that	그럴 틈은 없다고 한다
巡查路的營火(2)	Bonfire of the Patrol Route (2)	순찰로의 모닥불(2)
巡查路的營火(3)	Bonfire of the Patrol Route (3)	순찰로의 모닥불(3)
巡查路的營火(4)	Bonfire of the Patrol Route (4)	순찰로의 모닥불(4)
指揮官巴塞寧(2)	Commander Vacenin (2)	지휘관 바세닌(2)
回去營地	Return to Camp	캠프로 돌아가자
稍微休息一下再走	I'll rest for a while	조금만 쉬었다 간다고 한다
慰靈祭(1)	Memorial Service (1)	위령제(1)
會幫忙收拾遺骸	I'll collect their remains	유해를 수습해주겠다고 한다
沒有這種空閒時間	There is no time for that	그럴 틈이 없다고 한다
關於貓頭鷹雕像	About the Owl Sculpture	부엉이 조각상에 대해
完成靈魂之力(1)	Completion of the Power of Soul (1)	영혼의 힘 완성(1)
說會帶來靈魂石	I will bring the Soul Stone	영혼석을 가져오겠다고 한다
完成靈魂之力(2)	Completion of the Power of Soul (2)	영혼의 힘 완성(2)
要淨化靈魂	I will purify the soul	영혼을 정화시키겠다고 한다
開啟中/MAKING/3/TRACK_BEFORE/None	Opening/MAKING/3/TRACK_BEFORE/None	여는 중/MAKING/3/TRACK_BEFORE/None
逃跑的水母怪幼蟲	Fleeing Meduja Larvae	도망가는 미듀쟈 유충
提議收集水母怪的幼蟲回來	I will collect Meduja Larvaes	미듀쟈의 유충을 모아오겠다고 제안한다
留下來的靈魂	Soul left behind	남겨진 영혼
代替你去消滅怪物	I will defeat the monsters for you	대신 몬스터를 처치해주겠다고 한다
逃走的靈魂	Soul that fled	도망친 영혼
要幫商人找回包袱	I will find the luggage of the merchant	상인의 짐 꾸러미를 되찾아 주겠다고 한다
被遺忘的靈魂	Forgotten Soul	잊혀진 영혼
要幫他找回卷軸	I will find back the scroll	주문서를 되찾아주겠다고 한다
朝聖者的痕跡	Trace of the Pilgrim	순례자의 흔적
提議寫碑石的內容	I will write the writings of the Stele	비석의 내용을 적어 주겠다고 제안한다
火海	Sea of Fire	불바다
消滅賽夸伊亞的火焰	I'll get rid of the Flame of Sequoia	세콰이아의 불길을 처치하겠다고 한다
支援後防部隊	Support of Rearguard Troops	후방부대 지원
會幫忙減少周圍怪物的數量	I will lessen the monsters around	주변 몬스터의 수를 줄여 주겠다고 한다
抱歉無法幫忙	Sorry but I can't help you	미안하지만 도와줄 수 없다고 한다
關於森林之路	About the Forest Road	숲속 길에 대해
慰靈祭(2)	Memorial Service (2)	위령제(2)
要找回遺物	I will get back their belongings	유품을 되찾아오겠다고 한다
只能幫到這裡	I can only help so much	여기까지만 돕겠다고 한다
慰靈祭(3)	Memorial Service (3)	위령제(3)
詢問能在哪裡取得蝴蝶香	Where can I get Butterfly Fragrance?	나비향은 어디에서 구할 수 있는지 묻는다
為了靈魂祈禱	Prayer for the Souls	영혼을 위한 기도
危險的王座大蜘蛛(1)	Dangerous Throneweaver (1)	위험한 쓰론위버(1)
就這樣無視吧	Just ignore it	그냥 무시하자
關於怪物破壞貓頭鷹的理由	Why are the monsters destroying Owl Sculptures	몬스터가 부엉이를 파괴하는 이유에 대해
危險的王座大蜘蛛(2)	Dangerous Throneweaver (2)	위험한 쓰론위버(2)
要收集南瓜精的腳根回來	I will get Sakmoli Roots	사크몰리의 다리뿌리를 구해 오겠다고 한다
被束縛的靈魂	Restrained Souls	속박된 영혼
要去看一下奈拉斯貝山麓再回來	I will check around Nelasve Shore	녤라스베 기슭을 살펴 보고 오겠다고 한다
不會出什麼事的	Everything will be alright	아무 일 없을 거라고 한다
失誤的救援(1)	Wrong Salvation (1)	잘못된 구원(1)
說服靈魂並將他們送去那裡	I will persuade the souls and send them here	영혼을 설득하여 그리로 보내겠다고 한다
關於靈魂的失蹤	About the missing souls	영혼의 실종에 대해
失誤的救援(2)	Wrong Salvation (1)	잘못된 구원(2)
要去阿姆拉羅丘陵看一下	I'll go to Amolallul Hill	아몰라룰 언덕으로 가 보겠다고 한다
灰色青苔泥人的襲擊	Attack of the Gray Golem	회색 골렘의 습격
最後任務(1)	Last Mission (1)	마지막 임무(1)
關於靈魂	About the Soul	영혼에 대해
最後任務(2)	Last Mission (2)	마지막 임무(2)
收集老凱帕的外皮回來	I will collect the Old Kepa Skins	늙은 케파 껍질을 모아오겠다고 한다
最後任務(3)	Last Mission (3)	마지막 임무(3)
對怪物實驗看看	I will try it on the monster	몬스터에게 시험해보겠다고 한다
最後任務(4)	Last Mission (4)	마지막 임무(4)
去收集艾倫的葉子回來吧	Collect Ellum Leaves	엘룸의 잎사귀를 모아 오자
最後任務(5)	Last Mission (5)	마지막 임무(5)
要完成作戰	I will clear the mission	작전을 완수하겠다고 한다
設置誘餌中/MAKING/3/TRACK_BEFORE/None	Installing bait/MAKING/3/TRACK_BEFORE/None	미끼 설치 중/MAKING/3/TRACK_BEFORE/None
卡汀森林偏僻之處	Remote Area of Kateen Forest	카틴 숲 외진 곳
消失的部隊員(1)	The Missing Troop (1)	사라진 부대원(1)
要幫忙找偵察兵	I will find the scout	정찰병을 찾아 주겠다고 한다
雖然很抱歉，但我還是拒絕	I'm sorry but I can't	미안하지만 거절한다
消失的部隊員(2)	The Missing Troop (2)	사라진 부대원(2)
先幫你消滅怪物	I will kill the monsters first	몬스터를 먼저 처치해 주겠다고 한다
需要一點準備的時間	I need some time to prepare	잠시 준비 할 시간이 필요하다고 한다
補給部隊在哪裡(1)	Where are the Supply Troops (1)	보급부대는 어디에(1)
幫你找補給部隊	I will find the supply troops	보급부대를 찾아 주겠다고 한다
補給部隊在哪裡(2)	Where are the Supply Troops (2)	보급부대는 어디에(2)
幫忙回收補給物	I'll help retrieve the supplies	보급품 회수를 돕겠다고 한다
會等到回收完所有補給品為止	I'll wait until all the supplies are retrieved	보급품을 전부 회수할때까지 기다리겠다고 한다
補給部隊在哪裡(3)	Where are the Supply Troops (3)	보급부대는 어디에(3)
除了任務還是任務	Mission over Mission	임무보다 임무
要幫忙收集鉤子	I'll help collect the hooks	갈고리를 모으는 것을 돕겠다고 한다
等到都收集好為止	Let's wait until everything is collected	다 모을때까지 기다리자
皮爾力巴斯的指揮力	Leadership of Philipas	필리파스의 지휘력
打算協助	I will cooperate	협조하겠다고 한다
不太妥當	That is unfair	부당하다고 한다
獨自留下的分隊員	Troop Left Alone	홀로 남은 분대원
找出卷軸吧	Find the report	보고서를 찾아 주자
趕快回去比較好	Better return quickly	빨리 돌아가는게 좋겠다고 한다
最後一次一起	Spend the Last Together	마지막은 함께
要幫你收拾遺物	I will collect the keepsakes	유품을 수습해 주겠다고 한다
大根平原的災厄(1)	Disaster of Great Root Plain (1)	큰뿌리 벌의 재앙(1)
跟著去依茲達金卡斯街道吧	Let's follow to Isdaigininko Highway	이즈다깅카스 가도로 따라가자
需要一點準備的時間	I need some time to prepare	잠시 준비할 시간이 필요하다고 한다
大根平原的災厄(2)	Disaster of Great Root Plain (2)	큰뿌리 벌의 재앙(2)
我會參與戰鬥	I will join the battle	전투에 참여하겠다고 한다
要求給一點準備的時間	Give me some time to prepare	잠시 준비할 시간을 요청하자
消滅藍色大蘑菇精	Defeat Big Blue Griba	푸른 빅 그리바 처치
試圖觸碰中/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND	Touching it/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND	건드려 보는 중/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND
阻擋去路的怪物妨礙	Interruption of the monster blocking the road	길을 막고있는 몬스터의 방해
某位無名士兵的恨	Grudge of A Nameless Warrior	어느 무명 용사의 한풀이
正在配帶項鍊/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND	Trying on the necklace/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND	목걸이를 걸어 보는 중/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND
為死者祈福中/MAKING/2/TRACK_AFTER/None	Offering condolence/MAKING/2/TRACK_AFTER/None	명복을 빌어 주는 중/MAKING/2/TRACK_AFTER/None
危險的王座大蜘蛛(3)	Dangerous Throneweaver (3)	위험한 쓰론위버(3)
要消滅王座大蜘蛛	I'll get rid of the Throneweaver	쓰론위버를 처치하겠다고 한다
要一點準備的時間	Give me some time to prepare	준비할 시간을 달라고 한다
放置誘餌中/SITGROPE/3/TRACK_BEFORE/None	Placing bait/SITGROPE/3/TRACK_BEFORE/None	미끼를 놓는 중/SITGROPE/3/TRACK_BEFORE/None
禁止出入	Do Not Enter	출입금지
要求支援	Requesting Support	지원 요청
會守護	I will protect you	지켜주겠다고 한다
要躲好	Stay hidden	잘 숨어 있으라고 한다
受到歡迎的不速之客	Welcomed Uninvited Guest	환영받는 불청객
光榮之路	Glorious Road	영광의 길
石化霜預報(1)	Petrifying Frost Forecast (1)	석화서리 예보(1)
要去確認看看	I will check it	확인해 보겠다고 한다
要等看看	I will stand by	대기하겠다고 한다
石化霜預報(2)	Petrifying Frost Forecast (2)	석화서리 예보(2)
我會除掉	I will get rid of it	제거하겠다고 한다
有點勉強	That's too much	무리라고 한다
石化霜預報(3)	Petrifying Frost Forecast (3)	석화서리 예보(3)
情況穩定下來的話會試試看	I'll do it when it's safe	안전해지면 하겠다고 한다
確認中	Checking/MAKING/1/TRACK_BEFORE/None	확인 중/MAKING/1/TRACK_BEFORE/None
整理作業場	Cleaned Up Workshop	작업장 정리
合法的所得	Legal Profit	합법적 소득
我會幫忙收集	I will gather it	모아와 주겠다고 한다
敵對的打劫	Hostile Extortion	적대적 갈취
會偷偷拿來	I will steal it	훔쳐오겠다고 한다
淚眼花	Flower of Tears	눈물꽃
會去拜訪	I will find it	찾아오겠다고 한다
他們的方式	Their Ways	그들의 방식
會去找找看	I will find it	찾겠다고 한다
善意的謊言(1)	White Lie (1)	선의의 거짓말(1)
我會收集回來	I will collect it	수집해 오겠다고 한다
善意的謊言(2)	White Lie (2)	선의의 거짓말(2)
現在好像還不是時候	It's not yet time	아직 때가 아닌 것 같다고 한다
善意的謊言(3)	White Lie (3)	선의의 거짓말(3)
祈求武運	Wish you luck	무운을 빈다
還不是時候	It's not yet time	아직 때가 아니다
說明中	Explaining/TALK/2/TRACK_BEFORE/None	설명 중/TALK/2/TRACK_BEFORE/None
打雜	Cleaning Up	뒤치다꺼리
不需要的紀錄	Unnecessary Records	불필요한 기록
我會代替你去做	I will cover for you	대신 해주겠다고 한다
最後的收集	The Last Collection	최후의 수집
會很辛苦	That will be hard	힘들겠다고 한다
掌心之中(1)	Into the Grip (1)	손아귀 속으로(1)
幫忙	Help	도와준다
掌心之中(2)	Into the Grip (2)	손아귀 속으로(2)
是甚麼聲音	What do you mean?	무슨소리냐고 한다
掌心之中(3)	Into the Grip (3)	손아귀 속으로(3)
掌心之中(4)	Into the Grip (4)	손아귀 속으로(4)
說服中/TALK/2/TRACK_BEFORE/None	Persuading/TALK/2/TRACK_BEFORE/None	설득 중/TALK/2/TRACK_BEFORE/None
清潔工(1)	Janitor (1)	청소꾼(1)
清潔工(2)	Janitor (2)	청소꾼(2)
歸隊時間	Time of Return	복귀 시간
會幫你消滅	I'll take care of it	처리해주겠다고 한다
戰友之愛	Camaraderie	전우애
抓小偷	Catching the Thief	도둑잡기
討厭	I don't want to	싫다고 한다
踩尾巴	Treading a Tail	꼬리밟기
逃走的竊賊們	Bold Thieves	간 큰 도둑들
說會處理	I'll take care of it	처리해 주겠다고 한다
必死的陷阱	Desperate Trap	필사적 함정
清除中/#SITGROPESET/2/TRACK_BEFORE/None	Removing/ # SITGROPESET / 2 / TRACK_BEFORE / None	제거 중/#SITGROPESET/2/TRACK_BEFORE/None
被遺忘的時間	Lost Time	잊혀진 시간
要去做	I'll do it	해오겠다고 한다
找回的時間	Time Recovered	되찾은 시간
拒絕	Refuse	거절
傳點大逃脫(1)	Great Escape Portal (1)	대탈출 포탈(1)
傳點大逃脫(2)	Great Escape Portal (2)	대탈출 포탈(2)
傳點大逃脫(3)	Great Escape Portal (3)	대탈출 포탈(3)
都準備好了	I'm ready	준비됐다고 한다
稍等一下	Wait for a while	기다려달라고 한다
啟動中/MAKING/3/TRACK_BEFORE/None	Operating/ MAKING / 3 / TRACK_BEFORE / None	작동 중/MAKING/3/TRACK_BEFORE/None
不自在的同盟	Uncomfortable Alliance	불편한 동맹
同伙(1)	All the Same (1)	한통속(1)
同伙(2)	All the Same (2)	한통속(2)
轉告中/TALK/0/TRACK_BEFORE/None	Delivering/ TALK / 0 / TRACK_BEFORE / None	전달 중/TALK/0/TRACK_BEFORE/None
殘存的謊言	Surviving Lie	살아남은 거짓말
微小差異(1)	Small Difference (1)	작은 차이(1)
微小差異(2)	Small Difference (2)	작은 차이(2)
微小差異(3)	Small Difference (3)	작은 차이(3)
微小差異(4)	Small Difference (4)	작은 차이(4)
要去收集回來	I'll get it	구해오겠다고 한다
瞭望台	Watchtower Maintenance	망루 보수
腦中想起的真相	Surfacing Truth	떠오르는 진실
我會去破壞	I'll destroy it	파괴하겠다고 한다
遺言	Words Left	남긴 말
偉大的首相	The Great Chancellor	위대한 재상
越發嚴重的動亂	Intensified Rampage	심해진 난동
清爽的工作	Refreshing Work	상쾌한 근무
我會回收回來	I'll retrieve it	회수해 오겠다고 한다
無法挽回的意外(1)	Irrevocable Accident (1)	돌이킬 수 없는 사고(1)
無法挽回的意外(2)	Accident that Can't be Turned Back (2)	돌이킬 수 없는 사고(2)
確認中/#SITGROPESET/2/TRACK_BEFORE/None	Checking/ # SITGROPESET / 2 / TRACK_BEFORE / None	확인 중/#SITGROPESET/2/TRACK_BEFORE/None
咒術的見解(1)	Magical Opinion (1)	주술적 견해(1)
咒術的見解(2)	Magical Opinion (2)	주술적 견해(2)
凱爾利斯想知道真相	Kaliss Wants the Truth	칼리스는 진실을 원한다
我會去收集	I'll collect it	수집하겠다고 한다
練金術士的價值	Value of the Alchemist	연금술사의 가치
有趣的標本	Interesting Copy	흥미로운 표본
承諾	Accept	승락한다
實驗室破壞者	Lab Destroyer	실험실 파괴자
秘密交易(1)	Secret Trade (1)	비밀거래(1)
秘密交易(2)	Secret Trade (2)	비밀거래(2)
秘密交易(3)	Secret Trade (3)	비밀거래(3)
要消滅	I'll take care of it	처리하겠다고 한다
支援兵力	Military Support	병력 지원
即使如此也想幫忙	I still want to help	그래도 도움을 주고 싶다고 한다
