守門者貓頭鷹雕像	Gatekeeper Owl Sculpture	문지기 부엉이 조각상
取得露克立斯的部隊印章、羊皮紙文件	Obtain Ruklys' Army Seals and Parchments	루클리스의 부대 인장, 양피지 문서 구하기
祭司尤塔	Priest Juta	사제 유타
信號	Signal	신호
斬斷尾巴(1)	Cutting the Tail (1)	꼬리자르기(1)
斬斷尾巴(2)	Cutting the Tail (2)	꼬리자르기(2)
斬斷尾巴(3)	Cutting the Tail (3)	꼬리자르기(3)
到達死胡同(1)	A Dead End (1)	막다른 곳에 다다라(1)
到達死胡同(2)	A Dead End (2)	막다른 곳에 다다라(2)
到達死胡同(3)	A Dead End (3)	막다른 곳에 다다라(3)
記錄文物避難所	Archive Shelter	기록물 대피소
高尚的魔君主	Elegant Demon Lord	고상한 마군주
尋找自我的旅程(1)	The Journey to Find Myself (1)	나를 찾는 여정(1)
尋找自我的旅程(2)	The Journey to Find Myself (2)	나를 찾는 여정(2)
尋找自我的旅程(3)	The Journey to Find Myself (3)	나를 찾는 여정(3)
尋找自我的旅程(4)	The Journey to Find Myself (4)	나를 찾는 여정(4)
尋找自我的旅程(5)	The Journey to Find Myself (5)	나를 찾는 여정(5)
尋找自我的旅程(6)	The Journey to Find Myself (6)	나를 찾는 여정(6)
無止盡的交易(1)	An Endless Deal (1)	끝없는 거래(1)
無止盡的交易(2)	An Endless Deal (2)	끝없는 거래(2)
無止盡的交易(3)	An Endless Deal (3)	끝없는 거래(3)
無止盡的交易(4)	An Endless Deal (4)	끝없는 거래(4)
勒肯家的悲劇(1)	The Legwyn Family's Tragedy (1)	르귄가의 비극(1)
勒肯家的悲劇(2)	The Legwyn Family's Tragedy (2)	르귄가의 비극(2)
勒肯家的悲劇(3)	The Legwyn Family's Tragedy (3)	르귄가의 비극(3)
執行	Progress	진행
修理中/HAMMERING/5/TRACK_AFTER/None	Repairing/HAMMERING/5/TRACK_AFTER/None	수리 중/HAMMERING/5/TRACK_AFTER/None
修理中/HAMMERING/3/TRACK_BEFORE/None	Repairing/HAMMERING/3/TRACK_BEFORE/None	수리 중/HAMMERING/3/TRACK_BEFORE/None
和團員伊魯曼塔斯對話	Talk with Member Irmantas	단원 이르만타스와 대화
拜訪團員克拉其那	Go meet Member Grazina	단원 그라지나와 찾기
好像聽到附近有人在叫我。	You can hear someone calling somebody	주변에서 누군가 부르는 소리가 들립니다.
和團員克拉其那對話	Talk with Member Grazina	단원 그라지나와 대화
將物品轉交給伊魯曼塔斯	Hand over the goods to Member Irmantas	이르만타스에게 물품 전달
拜訪團員阿爾利那	Go meet with Member Alina	단원 알리나 찾아가기
和團員阿爾利那對話	Talk with Member Alina	단원 알리나와 대화
和團員阿爾利那對話	Talk with Member Allin	단원 알린와 대화
燃燒中	Getting rid of it	소각 중
連保管所都找不到牠的蹤跡。	There aren't any traces of the storage left	보관소의 흔적조차 남아 있지 않습니다
為大體祈禱	Praying for the dead	시신의 명복을 비는 중
為死者祈禱	Praying for the dead	명복을 비는 중
挖掘中	Looking through it	헤쳐보는 중
挖掘中	Digging it	파 헤치는 중
請移動至下一個地區。	Move to another region	다음 지역으로 이동하세요
點火燃燒中	Lighting it up	불 불이는 중
守著雕像堆的火並消滅怪物！	Defeat all the monsters while protecting the fire around the pile of sculptures	조각상 더미의 불을 지키면서 몬스터를 모두 처치하세요!
收集商的圖鑑	The Collection of the collectors	수집상의 컬렉션
與收集商家對話	Talk with the collector	수집상과 대화
獲得收藏品	Obtained the collections	수집품 획득
魔族 雪德利佳伊拉	Demon Svitrigaila	마족 쉬트리가일라
寫在柱子上的字句	Writings on the Pillar	기둥에 적힌 글귀
[克勞斯的背景]	[Cleros' background]	[클레로스의 배경]
[克勞斯的最後一刻]	[The death of Cleros]	[클레로스의 최후]
[克勞斯之死，死亡以後]	[After the death of Cleros]	[클레로스의 죽음, 그 이후]
刻在柱子上的字句	Writings on the Pillar	기둥에 새겨진 글귀
[侏儒怪與月亮]	[Rumpelstiltskin and the Moon]	[럼펠스틸스킨과 달]
[侏儒怪與利迪亞夏班的弓箭]	[Rumpelstiltskin and Lydia Schaffen's Arrow]	[럼펠스틸스킨과 리디아 샤펜의 화살]
[侏儒怪在哪裡]	[Rumpelstiltskin's Whereabouts]	[럼펠스틸스킨은 어디에]
雷歐普達斯	Leopoldas	레오폴다스
安塔雷士	Antanas	안타나스
士兵靈魂	Soldier Spirit	병사 영혼
(好像昏迷了。)	(Seems to be unconscious)	(정신을 잃은 것 같다)
邪靈祭司 尤塔	Bokor Juta	보코르 유타
咒術人偶[邪靈祭司轉職]	Shaman Doll [Bokor Advancement]	주술인형[보코르 전직]
倒下傭兵的屍體	The dead body of the mercenary who has fallen	쓰러져 있는 용병의 시신
詢問該怎麼辦。	Ask him what you should do	어떻게 하면 되는 지 묻는다
要我看著辦所以拒絕。	Reject	알아서 하라며 거절한다
利迪亞夏班與造箭者的弓箭[造箭者轉職]	Lydia Schaffen and the Fletcher's Arrow [Fletcher Advancement]	리디아 샤펜과 플레쳐의 화살[플레쳐 전직]
我會找找看箭矢。	I will look for the arrow	화살을 찾아보겠다고 한다
因為沒信心而放棄。	Quit since you are not confident enough	자신없으니 그만둔다
詢問如果馴服怪物。	How can I tame the monster?	몬스터를 어떻게 길들이는 지 묻는다
胡說八道。	That's absurd	말도 안되는 소리라고 한다
一發必中[黑暗騎兵轉職]	Perfect Shot [Schwarzer Reiter Advancement]	일발필중[슈바르츠라이터 전직]
我有信心。	I am confident	자신있다고 한다
拒絕說並非如此。	That's not true	그렇지 않다고 거절한다
我會轉交。	I will pass it	전해주겠다고 한다
因為可疑而拒絕。	I don't want to do it	수상하니 거절해둔다
我會帶帳簿來。	I will go get the book	장부를 가져오겠다고 한다
我下次會再來。	I will come back later	다음에 다시오겠다고 한다
我會解決。	I will resolve it	해결하겠다고 한다
給我考慮的時間。	I need some time to think	생각할 시간을 달라고 한다
某人的記錄(1)	Someone's Record (1)	누군가의 기록(1)
正在刮灰塵	Scraping off dust	먼지를 긁어 내느 중
正在抖出黑粉	Brushing off the black powders	검은 가루를 털어 내는 중
某人的記錄(2)	Someone's Record (2)	누군가의 기록(2)
再次觀察中	Looking at it again	다시 살펴 보는 중
某人的記錄(3)	Someone's Record (3)	누군가의 기록(3)
正在觀察柱子	Looking at the pillar	기둥 살펴 보는 중
柱子的字句閱讀中	Reading the writings on the pillar	기둥의 글귀 읽는 중
刻在柱子上的人物(1)	Carvings on the Pillar (1)	기둥에 새겨진 인물(1)
正在閱讀柱子的字句	Reading the writings on the pillar	기둥의 글귀를 읽는 중
刻在柱子上的人物(2)	Carvings on the Pillar (2)	기둥에 새겨진 인물(2)
需要黏性液體。	You need viscous liquid	점성 있는 액체가 필요합니다
柱子修理中	Repairing the pillar	기둥 수리 중
刻在柱子上的人物(3)	Carvings on the Pillar (3)	기둥에 새겨진 인물(3)
正在塞碎片進去	Putting in the pieces	조각들을 끼워 넣는 중
收集聖物(4)	Collecting the Sacred Object (4)	성물 수집(4)
我會去挖掘。	I will go excavate it	발굴해 오겠다고 한다
聖物挖掘中	Excavating the Sacred Object	성물 발굴 중
我會收集看看。	I will collect them	모아보겠다고 한다
不會再進入了。	I won't go in again	다시 들어갈 일은 없다고 한다
記載著露克立斯部隊的相關事蹟。	The story written about the Ruklys Army	루클리스 부대와 관련된 이야기가 적혀있습니다
撤退指令	Order to Retreat	퇴각명령
旅程的開始(1)	The Journey Begins (1)	여정의 시작(1)
旅程的開始(2)	The Journey Begins (2)	여정의 시작(2)
旅程的開始(3)	The Journey Begins (3)	여정의 시작(3)
旅程的開始(4)	The Journey Begins (4)	여정의 시작(4)
歐勒夏(1)	Orsha (1)	오르샤(1)
歐勒夏(2)	Orsha (2)	오르샤(2)
歐勒夏(3)	Orsha (3)	오르샤(3)
帶著感恩之心	A Thankful Heart	감사의 마음을 담아
非常想要獻給你	Something to Give	꼭 드리고 싶어요
迷失於森林(1)	Lost in the Forest (1)	숲 속에서 길을 잃다(1)
迷失於森林(2)	Lost in the Forest (2)	숲 속에서 길을 잃다(2)
沒有主人的物品	An Unowned Object	주인없는 물건
不安全的安全地帶	Unsafe Safety Zone	안전하지 않은 안전지대
無法休息的移居民	The Settler Without Rest	쉴 수 없는 이주민
消失的主教(1)	The Missing Bishop (1)	사라진 주교(1)
消失的主教(2)	The Missing Bishop (2)	사라진 주교(2)
消失的主教(3)	The Missing Bishop (3)	사라진 주교(3)
消失的主教(5)	The Missing Bishop (4)	사라진 주교(5)
尋找被消除的痕跡	The Missing Bishop (5)	지워진 흔적 찾기
被燒毀的蹤跡(1)	The Burnt Whereabouts (1)	불타버린 행방(1)
被燒毀的蹤跡(2)	The Burnt Whereabouts (2)	불타버린 행방(2)
尋找被消除的痕跡(5)	Search for the Erased Traces (5)	지워진 흔적 찾기(5)
尋找被消除的痕跡(6)	Search for the Erased Traces (6)	지워진 흔적 찾기(6)
情報員的苦差	Overworked Agent	정보원의 격무
消除味道	Removing the Odor	냄새 없애기
轉變方向	Turning Away	발길 돌리기
怪物群落地(1)	Monster Colony (1)	몬스터 군락지(1)
怪物群落地(2)	Monster Colony (2)	몬스터 군락지(2)
大規模搜索(1)	Large-Scale Search Operation (1)	대규모 수색(1)
大規模搜索(2)	Large-Scale Search Operation (2)	대규모 수색(2)
大規模搜索(3)	Large-Scale Search Operation (3)	대규모 수색(3)
大規模搜索(4)	Large-Scale Search Operation (4)	대규모 수색(4)
大規模搜索(5)	Large-Scale Search Operation (5)	대규모 수색(5)
大規模搜索(6)	Large-Scale Search Operation (6)	대규모 수색(6)
輔助活動	Support Activities	보조 활동
可疑場所	The Suspicious Location	수상한 장소
事前調查(1)	Preliminary Investigation (1)	사전 조사(1)
事前調查(2)	Preliminary Investigation (2)	사전 조사(2)
汙染的怪物	The Corrupted Monster	오염된 몬스터
比錢還珍貴的性命	Precious Life and Money	돈 보다 귀한 목숨
回收本錢	Retrieve the capital	밑천 회수
危險線索(1)	The Dangerous Trace (1)	위험한 단서(1)
危險線索(2)	The Dangerous Trace (2)	위험한 단서(2)
危險線索(3)	The Dangerous Trace (3)	위험한 단서(3)
烏魯波納斯的下落(1)	Bishop Urbonas' Whereabouts (1)	우르보나스의 행방(1)
烏魯波納斯的下落(2)	Bishop Urbonas' Whereabouts (2)	우르보나스의 행방(2)
烏魯波納斯的下落(3)	Bishop Urbonas' Whereabouts (3)	우르보나스의 행방(3)
烏魯波納斯的下落(4)	Bishop Urbonas' Whereabouts (4)	우르보나스의 행방(4)
烏魯波納斯的下落(5)	Bishop Urbonas' Whereabouts (5)	우르보나스의 행방(5)
烏魯波納斯的下落(6)	Bishop Urbonas' Whereabouts (6)	우르보나스의 행방(6)
烏魯波納斯的下落(7)	Bishop Urbonas' Whereabouts (7)	우르보나스의 행방(7)
辦事確實	Do the task properly	일처리는 확실히
新敵人	A New Enemy	새로운 적
魔族包袱(1)	A Pile of Demons (1)	마족 꾸러미(1)
魔族包袱(2)	A Pile of Demons (2)	마족 꾸러미(2)
掌心之中(5)	Into the Hands (5)	손아귀 속으로(5)
掌心之中(6)	Into the Hands (6)	손아귀 속으로(6)
如果又如果(1)	What If Again (1)	만약에 또 만약에(1)
如果又如果(2)	What If Again (2)	만약에 또 만약에(2)
驅逐	To Expel	쫓아내기
募集囚犯	Recruiting Prisoners	죄수 모집
在更深處(1)	A Deeper Place (1)	더 깊은 곳에서(1)
在更深處(2)	A Deeper Place (2)	더 깊은 곳에서(2)
在更深處(3)	A Deeper Place (3)	더 깊은 곳에서(3)
在更深處(4)	A Deeper Place (4)	더 깊은 곳에서(4)
請再等一下。	Tell him to wait a bit	좀 더 기다려 달라고 한다
全部還原(1)	Everything Intact (1)	모든 것이 제자리로(1)
全部還原(2)	Everything Intact (2)	모든 것이 제자리로(2)
除銹	Eliminate the rust	녹 제거
珍貴的	Precious and Valuable	소중하고 귀중한
想法轉換	Change of One's Thinking	발상의 전환
全部還原(3)	Everything Intact (3)	모든 것이 제자리로(3)
餵食飛行型怪物	Feeding the aerial monsters	비행형 몬스터에게 먹이주기
跟馴鷹者大師報告	Report to Falconer Master	응사 마스터에게 보고
對普通怪物連續命中200次	Shoot normal monsters 200 times consecutively	일반 몬스터에게 연속 200회 명중
尋找躲藏的接頭人並轉交物品	Find the hidden contact and hand over the object	숨어있는 접선자를 찾아 물건 건내기
跟武僧大師報告	Report to Monk Master	몽크 마스터에게 보고
搜索寬恕者大師的帳簿	Search the book of Pardoner Master	파드너 마스터의 장부 수색
收集植物怪物的樣本	Collect the samples of Plant-type monsters	식문 몬스터의 샘플 수집
轉交給德魯伊大師	Hand them over to Druid Master	드루이드 마스터에게 전달
在峽谷地帶 36_1設置淨化的羅姆巴	Set Romuva of Purification at 36_1 of Canyon Region	협곡지대 36_1에 정화의 로무바 설치
跟神諭師大師報告	Report to Oracle Master	오라클 마스터에게 보고
開啟寶箱	Open the treasure chest	보물상자 열어 보기
避開石化霜消滅怪物	Defeat the monsters by avoiding the Petrifying Frost	석화서리를 피해 몬스터 처치
觀察柱子	Look at the pillar	기둥 살펴 보기
守護柱子	Protect the pillar	기둥 지키기
從柱子裡抖出粉末	Brush off the powders off from the pillar	기둥에서 가루 털어내기
取得怪物油脂	Collect Monster Oil	몬스터 기름 구하기
閱讀刻在柱子上的字句	Read the writings on the pillar	기둥에 새겨진 글귀 읽기
消滅怪物獲得怪物油脂	Defeat monsters to obtain Monster Oil	몬스터를 처치하여 몬스터 기름 획득
說出數字	Speak out the numbers	숫자 말하기
補修柱子	Repair the pillar	기둥 보수 하기
閱讀柱子的字句	Read the writings on the pillar	기둥의 글귀 읽기
取回黏性液體	Obtain Sticky Liquid	점성 있는 액체 구해 오기
修理柱子	Repair the pillar	기둥 수리하기
取得黏性液體	Obtain the sticky liquid	점성있는 액체 구하기
在柱子裡塞入碎片	Put the pieces into the pillars	기둥에 조각들 끼워 넣기
前來挖掘聖物	Excavate the sacred object	성물 발굴해 오기
跟尤拉泰報告	Report to Jurate	유라테에게 보고
收集露克立斯的部隊印章和羊皮紙文件	Obtain Ruklys' Army Seals and Parchments	루클리스의 부대 인장과 양피지 문서 수집
轉交給葳荷米娜凱利奧特	Hand them over to Wilhelmina Carriot	빌헬미나 캐리어트에게 전달
和露克立斯部隊士兵靈魂對話	Talk with the Ruklys Army Soldier's Spirit	루클리스 부대 병사 영혼과 대화
請和露克立斯部隊士兵靈魂對話。	Talk with the Ruklys Army Soldier's Spirit	루클리스 부대 병사 영혼과 대화하세요
吹響號角並告知靈魂們撤退命令	Pass the retreat order to the spirits by blowing the horn	나팔을 불어 영혼들에게 퇴각 명령 알리기
和祭司伊魯瑪對話	Talk with Priest Irma	사제 이르마와 대화
消滅魔君主馬魯若斯	Defeat Demon Lord Marnox	마군주 마르녹스 처치
什麼也得不到。	You obtained nothing	아무것도 얻지 못했습니다
委託石	Stone of Requests	의뢰석
魔法協會的收集委託	Magic Association Collection Request	마법협회의 수집 의뢰
保管室可疑的秘密裝置	Storage Room's Suspicious Secret Device	보관실의 수상한 비밀 장치
囚犯的信件(2)	Letters from Prison (2)	죄수의 편지(2)
外城壁核心回收作戰(1)	Operation Outter Wall Core Retrieval(1)	외성벽 코어 회수 작전(1)
正在和其他奎波爾們說調查的內容	Talking with other Kupoles	다른 큐폴들과 조사한 내용 이야기 중
外城壁的證據保存	Preserve the Evidence of the Outter Wall	외성벽의 증거 보존
確認委託石	Check the Stone of Requests	의뢰석 확인
